wh,o;HH,UW;s; UW
i,s;IH,Z;s; IH
i,t;IH,T;s; IH
th,a,t;DH,AE,T;s; AE
h,a,th;HH,AE,TH;s; AE
u,s;AH,S;s; 
t,o;T,UW;s; UW
th,e;DH,AH;s; 
i,n;IH,N;s; IH
b,r,ie,f;B,R,IY,F;s; IY
w,e;W,IY;s; IY
th,e;DH,AH;s; 
o,f;AH,V;s; 
s,u,b,j,e,c,t,s;S,AH,B,JH,IH,K,T,S;s; IH
f,o,r;F,AO,R;s; AO
h,i,m;HH,IH,M;s; IH
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
h,i,s;HH,IH,Z;s; IH
w,e;W,IY;s; IY
th,i,s;DH,IH,S;s; IH
th,a,t;DH,AE,T;s; AE
c,a,n;K,AE,N;s; AE
w,e;W,IY;s; IY
n,o,t;N,AA,T;s; AA
b,u,t;B,AH,T;s; 
h,e;HH,IY;s; IY
th,a,t;DH,AE,T;s; AE
th,e;DH,AH;s; 
t,o;T,UW;s; UW
h,i,m;HH,IH,M;s; IH
w,i,ll;W,IH,L;s; IH
w,e;W,IY;s; IY
l,o,y,a,l;L,ǝ,IH,ǝ,L;s; IH
t,i,ll;T,IH,L;s; IH
th,a,t;DH,AE,T;s; AE
w,e;W,IY;s; IY
u,p;AH,P;s; 
ou,r;OW,R;s; 
a,g,ai,n,s,t;AH,G,EH,N,S,T;s; 
th,e;DH,AH;s; 
t,i,ll;T,IH,L;s; IH
y,ou;Y,UW;s; UW
c,o,m,p,ou,n,d;K,AA,M,P,AW,N,D;s; AA
i,s;IH,Z;s; IH
w,e;W,IY;s; IY
f,o,r;F,AO,R;s; AO
th,e;DH,AH;s; 
th,e;DH,AH;s; 
f,r,o,m;F,R,AH,M;s; 
b,o,th;B,OW,TH;s; 
h,e,r,a,l,d,s;HH,EH,R,AH,L,D,Z;s; 
f,r,o,m;F,R,AH,M;s; 
o,ff;AO,F;s; AO
ou,r;OW,R;s; 
w,e;W,IY;s; IY
b,e,h,o,l,d;B,IH,HH,OW,L,D;s; IH
f,r,o,m;F,R,AH,M;s; 
t,o;T,UW;s; UW
l,a,s,t;L,AE,S,T;s; AE
th,e;DH,AH;s; 
o,n,s,e,t;AA,N,S,EH,T;s; AA
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
b,o,th;B,OW,TH;s; 
y,ou,r;Y,AO,R;s; AO
b,y;B,AY;s; AY
ou,r;OW,R;s; 
b,e,s,t;B,EH,S,T;s; 
c,a,nn,o,t;K,AE,N,AA,T;s; AE,AA
b,e;B,IY;s; IY
b,l,oo,d;B,L,AH,D;s; 
h,a,th;HH,AE,TH;s; AE
b,l,oo,d;B,L,AH,D;s; 
a,n,d;AH,N,D;s; 
s,t,r,e,n,g,th;S,T,R,EH,NG,K,TH;s; 
w,i,th;W,IH,DH;s; IH
s,t,r,e,n,g,th;S,T,R,EH,NG,K,TH;s; 
a,n,d;AH,N,D;s; 
c,o,n,f,r,o,n,t,e,d;K,AH,N,F,R,AH,N,T,AH,D;s; 
b,o,th;B,OW,TH;s; 
a,n,d;AH,N,D;s; 
b,o,th;B,OW,TH;s; 
w,e;W,IY;s; IY
m,u,s,t;M,AH,S,T;s; 
g,r,ea,t,e,s,t;G,r,e,T,ǝ,S,T;s; 
s,o;S,OW;s; 
e,v,e,n;IY,V,IH,N;s; IY,IH
w,e;W,IY;s; IY
ou,r;OW,R;s; 
f,o,r;F,AO,R;s; AO
n,ei,th,e,r;N,EH,DH,ǝ,R;s; 
y,e,t;Y,EH,T;s; 
f,o,r;F,AO,R;s; AO
b,o,th;B,OW,TH;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
e,n,g,l,a,n,d;IH,NG,G,L,AH,N,D;s; IH
wh,e,n;ʍ,e,N;s; 
w,e;W,IY;s; IY
th,e;DH,AH;s; 
a;AH;s; 
g,r,ea,t,e,r;G,r,e,T,ǝ,R;s; 
th,a,n;DH,AE,N;s; AE
w,e;W,IY;s; IY
a,ll;AA,L;s; AA
th,i,s;DH,IH,S;s; IH
a,n,d;AH,N,D;s; 
t,i,ll;T,IH,L;s; IH
i,t;IH,T;s; IH
b,e;B,IY;s; IY
u,n,d,ou,b,t,e,d;ɤ,N,D,ǝ,UH,T,IH,D;s; UH,IH
w,e;W,IY;s; IY
d,o;D,OW;s; 
l,o,ck;L,AA,K;s; AA
ou,r;OW,R;s; 
i,n;IH,N;s; IH
ou,r;OW,R;s; 
o,f;AH,V;s; 
ou,r;OW,R;s; 
f,ea,r;F,IY,R;s; IY
u,n,t,i,l;AH,N,T,IH,L;s; IH
ou,r;OW,R;s; 
f,ea,r,s;F,IY,R,Z;s; IY
b,e;B,IY;s; IY
b,y;B,AY;s; AY
c,e,r,t,ai,n;S,ɐ,R,T,ǝ,N;s; 
a,n,d;AH,N,D;s; 
