from,'F R AH M', s, 
to,'T UW', s, UW
england,'IH NG G L AH N D', s, IH
never,'N e V ǝ R', s, 
a,'AH', s, 
for,'F AO R', s, AO
was,'W AA Z', s, AA
in,'IH N', s, IH
the,'DH AH', s, 
body,'B AA D IY', s, AA IY
of,'AH V', s, 
a,'AH', s, 
land,'L AE N D', s, AE
the,'DH AH', s, 
copy,'K AA P IY', s, AA IY
of,'AH V', s, 
your,'Y AO R', s, AO
speed,'S P IY D', s, IY
is,'IH Z', s, IH
by,'B AY', s, AY
them,'DH EH M', s, 
for,'F AO R', s, AO
when,'ʍ e N', s, 
you,'Y UW', s, UW
be,'B IY', s, IY
told,'T OW L D', s, 
do,'D OW', s, 
the,'DH AH', s, 
tidings,'T ǝ IH D IH N Z', s, IH IH
that,'DH AE T', s, AE
all,'AA L', s, AA
my,'M AY', s, AY
ear,'IY R', s, IY
is,'IH Z', s, IH
with,'W IH DH', s, IH
dust,'D AH S T', s, 
the,'DH AH', s, 
of,'AH V', s, 
april,'EH P r IH L', s, IH
died,'D AY D', s, AY
your,'Y AO R', s, AO
and,'AH N D', s, 
as,'AE Z', s, AE
i,'AY', s, AY
my,'M AY', s, AY
lord,'L AO R D', s, AO
the,'DH AH', s, 
lady,'L EY D IY', s, EY IY
in,'IH N', s, IH
a,'AH', s, 
died,'D AY D', s, AY
but,'B AH T', s, 
this,'DH IH S', s, IH
from,'F R AH M', s, 
i,'AY', s, AY
idly,'AY D L IY', s, AY IY
if,'IH F', s, IH
true,'T R UW', s, UW
or,'AO R', s, AO
i,'AY', s, AY
not,'N AA T', s, AA
under,'ɤ N D ǝ R', s, 
the,'DH AH', s, 
with,'W IH DH', s, IH
all,'AA L', s, AA
my,'M AY', s, AY
heart,'HH AA R T', s, AA
my,'M AY', s, AY
my,'M AY', s, AY
lord,'L AO R D', s, AO
your,'Y AO R', s, AO
kinsman,'K IH N Z M AE N', s, IH AE
desires,'D IH Z ǝ IH R Z', s, IH IH
your,'Y AO R', s, AO
majesty,'M AE JH AH S T IY', s, AE IY
to,'T UW', s, UW
the,'DH AH', s, 
field,'F IY L D', s, IY
and,'AH N D', s, 
send,'S EH N D', s, 
him,'HH IH M', s, IH
by,'B AY', s, AY
me,'M IY', s, IY
you,'Y UW', s, UW
go,'G OW', s, 
be,'B IY', s, IY
of,'AH V', s, 
good,'G UH D', s, UH
comfort,'K ɤ M F ǝ R T', s, 
for,'F AO R', s, AO
the,'DH AH', s, 
great,'G r e T', s, 
suppply,'S ǝ P L ǝ IH', s, IH
that,'DH AE T', s, AE
was,'W AA Z', s, AA
by,'B AY', s, AY
the,'DH AH', s, 
ago,'ǝ ɡ OW', s, 
on,'AA N', s, AA
goodwin,'G UH D W IH N', s, UH IH
sands,'S AW N D Z', s, 
this,'DH IH S', s, IH
was,'W AA Z', s, AA
to,'T UW', s, UW
but,'B AH T', s, 
even,'IY V IH N', s, IY IH
the,'DH AH', s, 
french,'F R EH N CH', s, 
coldly,'K OW L D L IY', s, IY
and,'AH N D', s, 
