th,e;DH,AH;s; 
s,o,n;S,AO,̃;s; 
a,n,d;AH,N,D;s; 
t,o;T,UW;s; 
th,a,t;DH,AE,T;s; 
m,y;M,AY;s; 
wh,e,n;ʍ,e,N;s; 
th,a,t;DH,AE,T;s; 
m,y;M,AY;s; 
y,ou,r;Y,AO,R;s; 
d,i,d;D,IH,D;s; 
e,m,p,l,o,y;e,M,P,L,ǝ,IH;s; 
m,y;M,AY;s; 
a,n,d;AH,N,D;s; 
h,i,m;HH,IH,M;s; 
i,n;IH,N;s; 
a,n;AE,N;s; 
t,o;T,UW;s; 
w,i,th;W,IH,DH;s; 
th,e;DH,AH;s; 
t,o;T,UW;s; 
t,r,ea,t;T,R,IY,T;s; 
o,f;AH,V;s; 
a,ff,ai,r,s;AH,F,EH,R,Z;s; 
t,ou,ch,i,n,g;T,ɤ,T,SH,IH,N;s; 
th,a,t;DH,AE,T;s; 
o,f;AH,V;s; 
h,i,s;HH,IH,Z;s; 
t,oo,k;T,UH,K;s; 
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
i,n;IH,N;s; 
th,e;DH,AH;s; 
s,o,j,ou,r,n,e,d;S,ɒ,D,ZH,ǝ,R,N,D;s; 
a,t;AE,T;s; 
m,y;M,AY;s; 
h,e;HH,IY;s; 
d,i,d;D,IH,D;s; 
p,r,e,v,ai,l;P,R,IH,V,EY,L;s; 
i;AY;s; 
t,o;T,UW;s; 
s,p,ea,k;S,P,IY,K;s; 
b,u,t;B,AH,T;s; 
t,r,u,th;T,R,UW,TH;s; 
i,s;IH,Z;s; 
t,r,u,th;T,R,UW,TH;s; 
o,f;AH,V;s; 
s,ea,s;S,IY,Z;s; 
a,n,d;AH,N,D;s; 
b,e,t,w,ee,n;B,IH,T,W,IY,N;s; 
m,y;M,AY;s; 
a,n,d;AH,N,D;s; 
m,y;M,AY;s; 
a,s;AE,Z;s; 
i;AY;s; 
m,y;M,AY;s; 
s,p,ea,k;S,P,IY,K;s; 
h,i,m,s,e,l,f;HH,IH,M,S,EH,L,F;s; 
wh,e,n;ʍ,e,N;s; 
th,i,s;DH,IH,S;s; 
g,e,n,t,l,e,m,a,n;JH,EH,N,T,AH,L,M,AH,N;s; 
w,a,s;W,AA,Z;s; 
g,o,t;G,AA,T;s; 
u,p,o,n;AH,P,AA,N;s; 
h,i,s;HH,IH,Z;s; 
h,e;HH,IY;s; 
b,y;B,AY;s; 
w,i,ll;W,IH,L;s; 
b,e,q,uea,th,e,d;B,AH,K,W,IY,TH,T;s; 
h,i,s;HH,IH,Z;s; 
l,a,n,d,s;L,AE,N,D,Z;s; 
t,o;T,UW;s; 
m,e;M,IY;s; 
a,n,d;AH,N,D;s; 
t,oo,k;T,UH,K;s; 
i,t;IH,T;s; 
o,n;AA,N;s; 
h,i,s;HH,IH,Z;s; 
d,ea,th;D,EH,TH;s; 
th,a,t;DH,AE,T;s; 
th,i,s;DH,IH,S;s; 
m,y;M,AY;s; 
s,o,n;S,AO,̃;s; 
w,a,s;W,AA,Z;s; 
o,f;AH,V;s; 
h,i,s;HH,IH,Z;s; 
a,n;AE,N;s; 
i,f;IH,F;s; 
h,e;HH,IY;s; 
w,re;W,ER;s; 
h,e;HH,IY;s; 
i,n,t,o;IH,N,T,UW;s; 
th,e;DH,AH;s; 
f,u,ll;F,UH,L;s; 
f,ou,r,t,ee,n;F,AO,R,T,IY,N;s; 
w,ee,k,s;W,IY,K,S;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,e,n;DH,EH,N;s; 
g,oo,d;G,UH,D;s; 
m,y;M,AY;s; 
l,e,t;L,EH,T;s; 
m,e;M,IY;s; 
wh,a,t;W,AH,T;s; 
i,s;IH,Z;s; 
m,y;M,AY;s; 
l,a,n,d;L,AE,N,D;s; 
a,s;AE,Z;s; 
w,a,s;W,AA,Z;s; 
m,y;M,AY;s; 
w,i,ll;W,IH,L;s; 
sh,a,ll;SH,AE,L;s; 
th,e,n;DH,EH,N;s; 
m,y;M,AY;s; 
w,i,ll;W,IH,L;s; 
b,e;B,IY;s; 
o,f;AH,V;s; 
n,o;N,OW;s; 
t,o;T,UW;s; 
th,a,t;DH,AE,T;s; 
ch,i,l,d;CH,AY,L,D;s; 
i,s;IH,Z;s; 
n,o,t;N,AA,T;s; 
h,i,s;HH,IH,Z;s; 
