man,'M AE N', s, AE
hereby,'ˌ IY R B ǝ IH', s, IY IH
lord,'L AO R D', s, AO
you,'Y UW', s, UW
with,'W IH DH', s, IH
that,'DH AE T', s, AE
so,'S OW', s, 
i,'AY', s, AY
you,'Y UW', s, UW
fair,'F EH R', s, 
after,'AW F T ǝ R', s, 
you,'Y UW', s, UW
god,'G AA D', s, AA
you,'Y UW', s, UW
good,'G UH D', s, UH
master,'M AW S T ǝ R', s, 
good,'G UH D', s, UH
master,'M AW S T ǝ R', s, 
parson,'P EH R S ǝ N', s, 
be,'B IY', s, IY
so,'S OW', s, 
good,'G UH D', s, UH
as,'AE Z', s, AE
read,'r e D', s, 
me,'M IY', s, IY
this,'DH IH S', s, IH
it,'IH T', s, IH
was,'W AA Z', s, AA
given,'G IH V AH N', s, IH
me,'M IY', s, IY
by,'B AY', s, AY
costard,'K ɒ S T ǝ R D', s, 
and,'AH N D', s, 
sent,'S EH N T', s, 
me,'M IY', s, IY
from,'F R AH M', s, 
don,'D AA N', s, AA
armado,'ɐ R M AA D OW', s, AA
i,'AY', s, AY
beseech,'B IY S IY CH', s, IY IY
you,'Y UW', s, UW
read,'r e D', s, 
it,'IH T', s, IH
from,'F R AH M', s, 
berone,'B ə r UW N', s, UW
of,'AH V', s, 
the,'DH AH', s, 
queen's,'K W IY N Z', s, IY
lords,'L AO R D Z', s, AO
good,'G UH D', s, UH
costard,'K ɒ S T ǝ R D', s, 
go,'G OW', s, 
with,'W IH DH', s, IH
god,'G AA D', s, AA
sve,'EH V', s, 
your,'Y AO R', s, AO
god,'G AA D', s, AA
bless,'B L EH S', s, 
the,'DH AH', s, 
i,'AY', s, AY
beseech,'B IY S IY CH', s, IY IY
your,'Y AO R', s, AO
let,'L EH T', s, 
this,'DH IH S', s, IH
be,'B IY', s, IY
read,'r e D', s, 
our,'OW R', s, 
misdoubts,'M IH S D ǝ UH T S', s, IH UH
it,'IH T', s, IH
treason,'T R IY Z AH N', s, IY
he,'HH IY', s, IY
said,'S EH D', s, 
of,'AH V', s, 
costard,'K ɒ S T ǝ R D', s, 
