a,n,d;AH,N,D;s; 
y,ou;Y,UW;s; UW
i;AY;s; AY
b,ee,n;B,IH,N;s; IH
w,i,th;W,IH,DH;s; IH
y,ou,r;Y,AO,R;s; AO
a,n,d;AH,N,D;s; 
g,i,v,e,n;G,IH,V,AH,N;s; IH
h,i,m;HH,IH,M;s; IH
th,a,t;DH,AE,T;s; AE
th,e;DH,AH;s; 
o,f;AH,V;s; 
c,o,r,n,w,a,ll;K,AO,R,N,W,AA,L;s; AO,AA
a,n,d;AH,N,D;s; 
r,e,g,a,n;R,IY,G,AH,N;s; IY
h,i,s;HH,IH,Z;s; IH
d,u,ch,e,ss;D,AH,CH,AH,S;s; 
w,i,ll;W,IH,L;s; IH
b,e;B,IY;s; IY
w,i,th;W,IH,DH;s; IH
h,i,m;HH,IH,M;s; IH
th,i,s;DH,IH,S;s; IH
i;AY;s; AY
n,o,t;N,AA,T;s; AA
y,ou;Y,UW;s; UW
o,f;AH,V;s; 
th,e;DH,AH;s; 
m,ea,n;M,IY,N;s; IY
th,e;DH,AH;s; 
o,n,e,s;W,AH,N,Z;s; 
f,o,r;F,AO,R;s; AO
y,e,t;Y,EH,T;s; 
b,u,t;B,AH,T;s; 
y,ou;Y,UW;s; UW
o,f;AH,V;s; 
n,o;N,OW;s; 
w,a,r,s;W,AO,R,Z;s; AO
th,e;DH,AH;s; 
o,f;AH,V;s; 
c,o,r,n,w,a,ll;K,AO,R,N,W,AA,L;s; AO,AA
a,n,d;AH,N,D;s; 
y,ou;Y,UW;s; UW
d,o;D,OW;s; 
th,e,n;DH,EH,N;s; 
i,n;IH,N;s; IH
y,ou;Y,UW;s; UW
w,e,ll;W,EH,L;s; 
