l,e,t;L,EH,T;s; 
m,e;M,IY;s; IY
h,i,m;HH,IH,M;s; IH
t,oo;T,UW;s; UW
m,y;M,AY;s; AY
y,ou;Y,UW;s; UW
w,re;W,ER;s; 
b,e,s,t;B,EH,S,T;s; 
m,y;M,AY;s; AY
wh,h,y;ʍ,ǝ,IH;s; IH
f,o,r;F,AO,R;s; AO
p,a,r,t;P,AA,R,T;s; AA
ou,t;AW,T;s; 
o,f;AH,V;s; 
a,n;AE,N;s; AE
th,ou;DH,AW;s; 
n,o,t;N,AA,T;s; AA
a,s;AE,Z;s; AE
th,e;DH,AH;s; 
s,i,t,s;S,IH,T,S;s; IH
th,ou;DH,AW;s; 
c,o,l,d;K,OW,L,D;s; 
sh,o,r,t,l,y;SH,AO,R,T,L,IY;s; AO,IY
m,y;M,AY;s; AY
wh,h,y;ʍ,ǝ,IH;s; IH
th,i,s;DH,IH,S;s; IH
o,n;AA,N;s; AA
',s;EH,S;s; 
a,n,d;AH,N,D;s; 
d,i,d;D,IH,D;s; IH
th,e;DH,AH;s; 
a;AH;s; 
a,g,ai,n,s,t;AH,G,EH,N,S,T;s; 
h,i,s;HH,IH,Z;s; IH
w,i,ll;W,IH,L;s; IH
i,f;IH,F;s; IH
th,ou;DH,AW;s; 
h,i,m;HH,IH,M;s; IH
th,ou;DH,AW;s; 
m,u,s,t;M,AH,S,T;s; 
n,ee,d,s;N,IY,D,Z;s; IY
w,ea,r;W,EH,R;s; 
m,y;M,AY;s; AY
i;AY;s; AY
h,a,d;HH,AE,D;s; AE
a,n,d;AH,N,D;s; 
i,f;IH,F;s; IH
i;AY;s; AY
th,e,m;DH,EH,M;s; 
a,ll;AA,L;s; AA
m,y;M,AY;s; AY
k,ee,p;K,IY,P;s; IY
m,y;M,AY;s; AY
m,y,s,e,l,f;M,AY,S,EH,L,F;s; AY
b,e,g;B,EH,G;s; 
a,n,o,th,e,r;ǝ,N,ɤ,DH,ǝ,R;s; 
o,f;AH,V;s; 
a;AH;s; 
d,o,g;D,AO,G;s; AO
m,u,s,t;M,AH,S,T;s; 
t,o;T,UW;s; UW
k,e,nn,e,l;K,EH,N,AH,L;s; 
h,e;HH,IY;s; IY
m,u,s,t;M,AH,S,T;s; 
b,e;B,IY;s; IY
ou,t;AW,T;s; 
wh,e,n;ʍ,e,N;s; 
th,e;DH,AH;s; 
l,a,d,y;L,EY,D,IY;s; EY,IY
s,t,a,n,d;S,T,AE,N,D;s; AE
b,y;B,AY;s; AY
a,n,d;AH,N,D;s; 
s,t,i,n,k;S,T,IH,NG,K;s; IH
t,ea,ch;T,IY,CH;s; IY
th,ee;DH,IY;s; IY
a;AH;s; 
s,p,ee,ch;S,P,IY,CH;s; IY
m,a,r,k;M,AA,R,K;s; AA
i,t;IH,T;s; IH
th,a,n;DH,AE,N;s; AE
th,ou;DH,AW;s; 
s,p,ea,k;S,P,IY,K;s; IY
l,e,ss;L,EH,S;s; 
th,a,n;DH,AE,N;s; AE
th,ou;DH,AW;s; 
l,e,n,d;L,EH,N,D;s; 
l,e,ss;L,EH,S;s; 
th,a,n;DH,AE,N;s; AE
th,ou;DH,AW;s; 
th,a,n;DH,AE,N;s; AE
th,ou;DH,AW;s; 
g,oe,s,t;G,OW,S,T;s; 
th,a,n;DH,AE,N;s; AE
th,ou;DH,AW;s; 
s,e,t;S,EH,T;s; 
l,e,ss;L,EH,S;s; 
th,a,n;DH,AE,N;s; AE
th,ou;DH,AW;s; 
d,r,i,n,k;D,R,IH,NG,K;s; IH
a,n,d;AH,N,D;s; 
a,n,d;AH,N,D;s; 
k,ee,p;K,IY,P;s; IY
a,n,d;AH,N,D;s; 
th,ou;DH,AW;s; 
sh,a,l,t;SH,AE,L,T;s; AE
th,a,n;DH,AE,N;s; AE
t,e,n,s;T,EH,N,Z;s; 
t,o;T,UW;s; UW
a;AH;s; 
th,e,n;DH,EH,N;s; 
th,e;DH,AH;s; 
b,r,ea,th;B,R,EH,TH;s; 
o,f;AH,V;s; 
a,n;AE,N;s; AE
y,ou;Y,UW;s; UW
m,e;M,IY;s; IY
f,o,r;F,AO,R;s; AO
y,ou;Y,UW;s; UW
n,o;N,OW;s; 
o,f;AH,V;s; 
p,r,i,th,ee;P,r,e,DH,IY;s; IY
t,e,ll;T,EH,L;s; 
