th,i,s;DH,IH,S;s; IH
i,s;IH,Z;s; IH
m,o,s,t;M,OW,S,T;s; 
th,a,t;DH,AE,T;s; AE
sh,e;SH,IY;s; IY
wh,o,m;HH,UW,M;s; UW
e,v,e,n;IY,V,IH,N;s; IY,IH
b,u,t;B,AH,T;s; 
w,a,s;W,AA,Z;s; AA
y,ou,r;Y,AO,R;s; AO
b,e,s,t;B,EH,S,T;s; 
o,b,j,e,c,t;AA,B,JH,EH,K,T;s; AA
th,e;DH,AH;s; 
o,f;AH,V;s; 
y,ou,r;Y,AO,R;s; AO
o,f;AH,V;s; 
y,ou,r;Y,AO,R;s; AO
th,e;DH,AH;s; 
b,e,s,t;B,EH,S,T;s; 
th,e;DH,AH;s; 
d,ea,r,e,s,t;D,IY,R,ǝ,S,T;s; IY
i,n;IH,N;s; IH
th,i,s;DH,IH,S;s; IH
o,f;AH,V;s; 
c,o,mm,i,t;K,AH,M,IH,T;s; IH
a;AH;s; 
s,o;S,OW;s; 
t,o;T,UW;s; UW
s,o;S,OW;s; 
f,o,l,d,s;F,OW,L,D,Z;s; 
o,f;AH,V;s; 
m,u,s,t;M,AH,S,T;s; 
b,e;B,IY;s; IY
o,f;AH,V;s; 
u,nn,a,t,u,r,a,l;ɤ,N,N,AW,T,r,ǝ,L;s; 
d,e,g,r,ee;D,IH,G,R,IY;s; IH,IY
th,a,t;DH,AE,T;s; AE
i,t;IH,T;s; IH
o,r;AO,R;s; AO
y,ou,r;Y,AO,R;s; AO
a,ff,e,c,t,io,n;AH,F,EH,K,SH,AH,N;s; 
f,a,ll;F,AA,L;s; AA
i,n,t,o;IH,N,T,UW;s; IH,UW
t,ai,n,t;T,EH,N,T;s; 
t,o;T,UW;s; UW
o,f;AH,V;s; 
m,u,s,t;M,AH,S,T;s; 
b,e;B,IY;s; IY
a;AH;s; 
f,ai,th;F,EY,TH;s; EY
th,a,t;DH,AE,T;s; AE
r,ea,s,o,n;r,EH,Z,ǝ,N;s; 
n,e,v,e,r;N,e,V,ǝ,R;s; 
p,l,a,n,t;P,L,AW,N,T;s; 
i,n;IH,N;s; IH
m,e;M,IY;s; IY
i,s;IH,Z;s; IH
i,t;IH,T;s; IH
b,u,t;B,AH,T;s; 
i,n;IH,N;s; IH
n,a,t,re;N,EY,CH,ER;s; EY
th,e;DH,AH;s; 
th,a,t;DH,AE,T;s; AE
i,t;IH,T;s; IH
i,n,t,e,n,d,s;IH,N,T,EH,N,D,Z;s; IH
t,o;T,UW;s; UW
l,o,r,d;L,AO,R,D;s; AO
o,f;AH,V;s; 
wh,a,t;W,AH,T;s; 
y,ou;Y,UW;s; UW
t,o;T,UW;s; UW
th,e;DH,AH;s; 
l,a,d,y;L,EY,D,IY;s; EY,IY
n,o,t;N,AA,T;s; AA
wh,e,n;ʍ,e,N;s; 
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
m,i,n,g,l,e,d;M,IH,NG,G,AH,L,D;s; IH
w,i,th;W,IH,DH;s; IH
r,e,g,a,r,d,s;r,IH,G,AA,R,D,Z;s; IH,AA
th,a,t;DH,AE,T;s; AE
s,t,a,n,d,s;S,T,AE,N,D,Z;s; AE
a,l,oo,f;AH,L,UW,F;s; UW
f,r,o,m;F,R,AH,M;s; 
w,i,ll;W,IH,L;s; IH
y,ou;Y,UW;s; UW
sh,e;SH,IY;s; IY
i,s;IH,Z;s; IH
a;AH;s; 
f,ai,r,e,s,t;F,EH,R,ǝ,S,T;s; 
th,a,t;DH,AE,T;s; AE
a,r,t;AA,R,T;s; AA
m,o,s,t;M,OW,S,T;s; 
r,i,ch;R,IH,CH;s; IH
b,ei,n,g;B,IY,IH,NG;s; IY,IH
p,oo,r;P,UH,R;s; UH
m,o,s,t;M,OW,S,T;s; 
f,o,r,s,a,k,e,n;F,ǝ,R,S,EH,K,ǝ,N;s; 
a,n,d;AH,N,D;s; 
m,o,s,t;M,OW,S,T;s; 
d,e,s,p,i,s,e,d;D,IH,S,P,ǝ,IH,Z,D;s; IH,IH
th,ee;DH,IY;s; IY
a,n,d;AH,N,D;s; 
i;AY;s; AY
u,p,o,n;AH,P,AA,N;s; AA
b,e;B,IY;s; IY
i,t;IH,T;s; IH
i;AY;s; AY
u,p;AH,P;s; 
c,a,s,t;K,AW,S,T;s; 
g,o,d,s;G,AA,D,Z;s; AA
g,o,d,s;G,AA,D,Z;s; AA
th,a,t;DH,AE,T;s; AE
f,r,o,m;F,R,AH,M;s; 
th,ei,r;DH,EH,R;s; 
n,e,g,l,e,c,t;N,AH,G,L,EH,K,T;s; 
m,y;M,AY;s; AY
t,o;T,UW;s; UW
r,e,s,p,e,c,t;R,IH,S,P,EH,K,T;s; IH
t,o;T,UW;s; UW
m,y;M,AY;s; AY
i,s;IH,Z;s; IH
o,f;AH,V;s; 
u,s;AH,S;s; 
o,f;AH,V;s; 
ou,r,s;OW,R,Z;s; 
a,n,d;AH,N,D;s; 
ou,r;OW,R;s; 
f,ai,r;F,EH,R;s; 
n,o,t;N,AA,T;s; AA
a,ll;AA,L;s; AA
th,e;DH,AH;s; 
o,f;AH,V;s; 
c,a,n;K,AE,N;s; AE
b,u,y;B,ə,IH;s; IH
th,i,s;DH,IH,S;s; IH
u,n,p,r,i,z,e,d;ɤ,N,P,r,ǝ,IH,Z,D;s; IH
p,r,e,c,iou,s;P,R,EH,SH,AH,S;s; 
m,ai,d;M,EY,D;s; EY
o,f;AH,V;s; 
m,e;M,IY;s; IY
b,i,d;B,IH,D;s; IH
th,e,m;DH,EH,M;s; 
th,ou;DH,AW;s; 
a;AH;s; 
b,e,tt,e,r;B,e,T,ə,R;s; 
t,o;T,UW;s; UW
b,i,d;B,IH,D;s; IH
t,o;T,UW;s; UW
y,ou,r;Y,AO,R;s; AO
m,y;M,AY;s; AY
f,ai,r;F,EH,R;s; 
