o;OW;s; 
l,i,p,s;L,IH,P,S;s; IH
th,a,t;DH,AE,T;s; AE
s,o;S,OW;s; 
w,re;W,ER;s; 
f,o,r,s,w,o,r,n;F,AO,R,S,W,AO,R,N;s; AO,AO
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
b,r,ea,k;B,R,EY,K;s; EY
o,f;AH,V;s; 
th,a,t;DH,AE,T;s; AE
d,o;D,OW;s; 
m,i,s,l,ea,d;M,IH,S,L,IY,D;s; IH,IY
th,e;DH,AH;s; 
m,o,r,n;M,AO,R,N;s; AO
b,u,t;B,AH,T;s; 
m,y;M,AY;s; AY
k,i,ss,e,s;K,IH,S,AH,Z;s; IH
a,g,ai,n;ǝ,ɡ,EH,N;s; 
a,g,ai,n;ǝ,ɡ,EH,N;s; 
s,ea,l,s;S,IY,L,Z;s; IY
o,f;AH,V;s; 
b,u,t;B,AH,T;s; 
i,n;IH,N;s; IH
v,ai,n;V,EY,N;s; EY
i,n;IH,N;s; IH
v,ai,n;V,EY,N;s; EY
