wh,h,y;ʍ,ǝ,IH;s; IH
d,o,s,t;D,AA,S,T;s; AA
th,ou;DH,AW;s; 
m,e;M,IY;s; IY
th,u,s;DH,ɤ,S;s; 
t,o;T,UW;s; UW
b,ea,r;B,EH,R;s; 
m,e;M,IY;s; IY
t,o;T,UW;s; UW
p,r,i,s,o,n;P,R,IH,Z,AH,N;s; IH
i;AY;s; AY
a,m;AE,M;s; AE
c,o,mm,i,tt,e,d;K,AH,M,IH,T,AH,D;s; IH
th,u,s;DH,ɤ,S;s; 
c,a,n;K,AE,N;s; AE
th,e;DH,AH;s; 
u,s;AH,S;s; 
d,o,w,n;D,ǝ,UH,N;s; UH
f,o,r;F,AO,R;s; AO
ou,r;OW,R;s; 
b,y;B,AY;s; AY
th,e;DH,AH;s; 
o,f;AH,V;s; 
h,ea,v,e,n;HH,EH,V,AH,N;s; 
o,n;AA,N;s; AA
wh,o,m;HH,UW,M;s; UW
i,t;IH,T;s; IH
w,i,ll;W,IH,L;s; IH
i,t;IH,T;s; IH
w,i,ll;W,IH,L;s; IH
o,n;AA,N;s; AA
wh,o,m;HH,UW,M;s; UW
i,t;IH,T;s; IH
w,i,ll;W,IH,L;s; IH
n,o,t;N,AA,T;s; AA
s,o;S,OW;s; 
y,e,t;Y,EH,T;s; 
s,t,i,ll;S,T,IH,L;s; IH
f,r,o,m;F,R,AH,M;s; 
t,oo;T,UW;s; UW
m,y;M,AY;s; AY
a,s;AE,Z;s; AE
s,u,r,f,ei,t;S,ɐ,R,F,IH,T;s; IH
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
f,a,s,t;F,AW,S,T;s; 
s,o;S,OW;s; 
e,v,e,r,y;e,V,r,ǝ,IH;s; IH
b,y;B,AY;s; AY
th,e;DH,AH;s; 
t,u,r,n,s;T,ɐ,R,N,Z;s; 
t,o;T,UW;s; UW
ou,r;OW,R;s; 
d,o;D,OW;s; 
r,a,t,s;R,AE,T,S;s; AE
th,a,t;DH,AE,T;s; AE
r,a,v,e,n;R,EY,V,AH,N;s; EY
d,o,w,n;D,ǝ,UH,N;s; UH
th,ei,r;DH,EH,R;s; 
a;AH;s; 
e,v,i,l;e,V,IH,L;s; IH
a,n,d;AH,N,D;s; 
wh,e,n;ʍ,e,N;s; 
w,e;W,IY;s; IY
d,r,i,n,k;D,R,IH,NG,K;s; IH
w,e;W,IY;s; IY
wh,a,t;W,AH,T;s; 
b,u,t;B,AH,T;s; 
t,o;T,UW;s; UW
s,p,ea,k;S,P,IY,K;s; IY
o,f;AH,V;s; 
o,ff,e,n,d;AH,F,EH,N,D;s; 
