of,'AH V',s,''
the,'DH AH',s,''
to,'T UW',s,'UW'
unfold,'ɤ N F OW L D',s,''
seem,'S IY M',s,'IY'
in,'IH N',s,'IH'
me,'M IY',s,'IY'
affect,'ǝ F e K T',s,''
speech,'S P IY CH',s,'IY'
and,'AH N D',s,''
i,'AY',s,'AY'
am,'AE M',s,'AE'
put,'P UH T',s,'UH'
to,'T UW',s,'UW'
that,'DH AE T',s,'AE'
your,'Y AO R',s,'AO'
exceeds,'IH K S IY D Z',s,'IH IY'
in,'IH N',s,'IH'
that,'DH AE T',s,'AE'
the,'DH AH',s,''
lists,'L IH S T S',s,'IH'
of,'AH V',s,''
all,'AA L',s,'AA'
my,'M AY',s,'AY'
strength,'S T R EH NG K TH',s,''
can,'K AE N',s,'AE'
you,'Y UW',s,'UW'
then,'DH EH N',s,''
no,'N OW',s,''
remains,'r IH M EH N Z',s,'IH'
but,'B AH T',s,''
that,'DH AE T',s,'AE'
to,'T UW',s,'UW'
your,'Y AO R',s,'AO'
sufficiency,'S AH F IH SH AH N S IY',s,'IH IY'
as,'AE Z',s,'AE'
your,'Y AO R',s,'AO'
worth,'W AO R TH',s,'AO'
is,'IH Z',s,'IH'
and,'AH N D',s,''
let,'L EH T',s,''
them,'DH EH M',s,''
work,'W AO R K',s,'AO'
the,'DH AH',s,''
natre,'N EY CH ER',s,'EY'
of,'AH V',s,''
our,'OW R',s,''
our,'OW R',s,''
institutions,'IH N S T IH T UW SH AH N Z',s,'IH IH UW'
and,'AH N D',s,''
the,'DH AH',s,''
terms,'T ɐ R M Z',s,''
for,'F AO R',s,'AO'
common,'K AA M AH N',s,'AA'
youre,'Y UH R',s,'UH'
as,'AE Z',s,'AE'
pregnant,'P R EH G N AH N T',s,''
in,'IH N',s,'IH'
as,'AE Z',s,'AE'
art,'AA R T',s,'AA'
and,'AH N D',s,''
hath,'HH AE TH',s,'AE'
that,'DH AE T',s,'AE'
we,'W IY',s,'IY'
is,'IH Z',s,'IH'
our,'OW R',s,''
commission,'K AH M IH SH AH N',s,'IH'
from,'F R AH M',s,''
we,'W IY',s,'IY'
not,'N AA T',s,'AA'
you,'Y UW',s,'UW'
i,'AY',s,'AY'
bid,'B IH D',s,'IH'
us,'AH S',s,''
what,'W AH T',s,''
of,'AH V',s,''
us,'AH S',s,''
think,'TH IH NG K',s,'IH'
you,'Y UW',s,'UW'
he,'HH IY',s,'IY'
will,'W IH L',s,'IH'
bear,'B EH R',s,''
for,'F AO R',s,'AO'
you,'Y UW',s,'UW'
must,'M AH S T',s,''
we,'W IY',s,'IY'
with,'W IH DH',s,'IH'
soul,'S OW L',s,''
elected,'IH L EH K T AH D',s,'IH'
him,'HH IH M',s,'IH'
our,'OW R',s,''
to,'T UW',s,'UW'
suppply,'S ǝ P L ǝ IH',s,'IH'
lent,'L EH N T',s,''
him,'HH IH M',s,'IH'
our,'OW R',s,''
terror,'T e r ǝ R',s,''
him,'HH IH M',s,'IH'
with,'W IH DH',s,'IH'
our,'OW R',s,''
and,'AH N D',s,''
given,'G IH V AH N',s,'IH'
his,'HH IH Z',s,'IH'
all,'AA L',s,'AA'
the,'DH AH',s,''
organs,'AO R G AH N Z',s,'AO'
of,'AH V',s,''
our,'OW R',s,''
what,'W AH T',s,''
think,'TH IH NG K',s,'IH'
you,'Y UW',s,'UW'
of,'AH V',s,''
it,'IH T',s,'IH'
look,'L UH K',s,'UH'
he,'HH IY',s,'IY'
is,'IH Z',s,'IH'
a,'AH',s,''
of,'AH V',s,''
in,'IH N',s,'IH'
that,'DH AE T',s,'AE'
to,'T UW',s,'UW'
doth,'D AO TH',s,'AO'
fullly,'F UH L ǝ IH',s,'UH IH'
unfold,'ɤ N F OW L D',s,''
and,'AH N D',s,''
not,'N AA T',s,'AA'
so,'S OW',s,''
as,'AE Z',s,'AE'
to,'T UW',s,'UW'
upon,'AH P AA N',s,'AA'
on,'AA N',s,'AA'
thee,'DH IY',s,'IY'
heaven,'HH EH V AH N',s,''
doth,'D AO TH',s,'AO'
with,'W IH DH',s,'IH'
us,'AH S',s,''
as,'AE Z',s,'AE'
we,'W IY',s,'IY'
with,'W IH DH',s,'IH'
torches,'T AO R CH IH Z',s,'AO IH'
do,'D OW',s,''
not,'N AA T',s,'AA'
them,'DH EH M',s,''
for,'F AO R',s,'AO'
for,'F AO R',s,'AO'
if,'IH F',s,'IH'
our,'OW R',s,''
did,'D IH D',s,'IH'
not,'N AA T',s,'AA'
go,'G OW',s,''
forth,'F AO R TH',s,'AO'
