n,o;N,OW;s; 
i,n,d,ee,d;IH,N,D,IY,D;s; IH,IY
s,o;S,OW;s; 
i;AY;s; AY
d,i,d;D,IH,D;s; IH
i,n,d,ee,d;IH,N,D,IY,D;s; IH,IY
a,ll;AA,L;s; AA
th,i,s;DH,IH,S;s; IH
i,s;IH,Z;s; IH
t,r,ue;T,R,UW;s; UW
i;AY;s; AY
s,o;S,OW;s; 
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
a,n;AE,N;s; AE
o,p,e,n;OW,P,ǝ,N;s; 
r,oo,m;R,UW,M;s; UW
a,n,d;AH,N,D;s; 
g,oo,d;G,UH,D;s; UH
f,o,r;F,AO,R;s; AO
i,n;IH,N;s; IH
y,e,s;Y,IH,S;s; IH
a,n;AE,N;s; AE
y,ou;Y,UW;s; UW
i;AY;s; AY
th,a,n,k;TH,AE,NG,K;s; AE
y,ou,r;Y,AO,R;s; AO
w,o,r,sh,i,p;W,AO,R,SH,IH,P;s; AO,IH
f,o,r;F,AO,R;s; AO
p,a,r,t;P,AA,R,T;s; AA
i;AY;s; AY
n,e,v,e,r;N,e,V,ǝ,R;s; 
i,n,t,o;IH,N,T,UW;s; IH,UW
r,oo,m;R,UW,M;s; UW
i,n;IH,N;s; IH
a;AH;s; 
b,u,t;B,AH,T;s; 
i;AY;s; AY
a,m;AE,M;s; AE
i,n;IH,N;s; IH
