heaven,'HH EH V AH N', s, 
grant,'G r AO N T', s, AO
us,'AH S', s, 
its,'IH T S', s, IH
but,'B AH T', s, 
not,'N AA T', s, AA
the,'DH AH', s, 
of,'AH V', s, 
whhy,'ʍ ǝ IH', s, IH
a,'AH', s, 
commandment,'K AH M AE N D M AH N T', s, AE
to,'T UW', s, UW
command,'K ǝ M AW N D', s, 
the,'DH AH', s, 
captain,'K AE P T AH N', s, AE
and,'AH N D', s, 
all,'AA L', s, AA
the,'DH AH', s, 
rest,'R EH S T', s, 
from,'F R AH M', s, 
their,'DH EH R', s, 
functions,'F AH NG K SH AH N Z', s, 
put,'P UH T', s, UH
forth,'F AO R TH', s, AO
to,'T UW', s, UW
steal,'S T IY L', s, IY
not,'N AA T', s, AA
a,'AH', s, 
of,'AH V', s, 
us,'AH S', s, 
all,'AA L', s, AA
that,'DH AE T', s, AE
in,'IH N', s, IH
the,'DH AH', s, 
thanksgiving,'ˌ TH AW NG K S G IH V IH N', s, IH IH
meat,'M IY T', s, IY
do,'D OW', s, 
relish,'R EH L IH SH', s, IH
the,'DH AH', s, 
well,'W EH L', s, 
that,'DH AE T', s, AE
for,'F AO R', s, AO
what,'W AH T', s, 
in,'IH N', s, IH
i,'AY', s, AY
think,'TH IH NG K', s, IH
or,'AO R', s, AO
in,'IH N', s, IH
religion,'R IH L IH JH AH N', s, IH IH
well,'W EH L', s, 
went,'W EH N T', s, 
but,'B AH T', s, 
a,'AH', s, 
pair,'P EH R', s, 
of,'AH V', s, 
shears,'SH IY R Z', s, IY
between,'B IH T W IY N', s, IH IY
us,'AH S', s, 
and,'AH N D', s, 
thou,'DH AW', s, 
the,'DH AH', s, 
velvet,'V EH L V AH T', s, 
thou,'DH AW', s, 
art,'AA R T', s, AA
good,'G UH D', s, UH
velvet,'V EH L V AH T', s, 
thou,'DH AW', s, 
a,'AH', s, 
thhree-piled,'TH r IY - ˌ P ǝ IH L D', s, IY IH
i,'AY', s, AY
warrant,'W AA r ǝ N T', s, AA
thee,'DH IY', s, IY
i,'AY', s, AY
had,'HH AE D', s, AE
as,'AE Z', s, AE
lief,'L IY F', s, IY
be,'B IY', s, IY
a,'AH', s, 
list,'L IH S T', s, IH
of,'AH V', s, 
an,'AE N', s, AE
english,'IH NG G L IH SH', s, IH IH
kersey,'K ɐ R Z ǝ IH', s, IH
as,'AE Z', s, AE
be,'B IY', s, IY
piled,'P ǝ IH L D', s, IH
as,'AE Z', s, AE
thou,'DH AW', s, 
art,'AA R T', s, AA
piled,'P ǝ IH L D', s, IH
for,'F AO R', s, AO
a,'AH', s, 
french,'F R EH N CH', s, 
velvet,'V EH L V AH T', s, 
do,'D OW', s, 
i,'AY', s, AY
speak,'S P IY K', s, IY
i,'AY', s, AY
think,'TH IH NG K', s, IH
i,'AY', s, AY
myself,'M AY S EH L F', s, AY
i,'AY', s, AY
not,'N AA T', s, AA
and,'AH N D', s, 
thou,'DH AW', s, 
art,'AA R T', s, AA
diseases,'D IH S IY Z IH Z', s, IH IY IH
in,'IH N', s, IH
me,'M IY', s, IY
but,'B AH T', s, 
thou,'DH AW', s, 
art,'AA R T', s, AA
full,'F UH L', s, UH
of,'AH V', s, 
error,'e r ǝ R', s, 
i,'AY', s, AY
am,'AE M', s, AE
of,'AH V', s, 
your,'Y AO R', s, AO
hips,'HH IH P S', s, IH
the,'DH AH', s, 
most,'M OW S T', s, 
profound,'P R OW F AW N D', s, 
to,'T UW', s, UW
prison,'P R IH Z AH N', s, IH
not,'N AA T', s, AA
so,'S OW', s, 
but,'B AH T', s, 
most,'M OW S T', s, 
of,'AH V', s, 
all,'AA L', s, AA
agreeing,'ǝ ɡ r IY IH N', s, IY IH
with,'W IH DH', s, IH
the,'DH AH', s, 
proclamation,'P R AA K L AH M EY SH AH N', s, AA EY
