a,m,e,n;EY,M,EH,N;s; EY
th,ou;DH,AW;s; 
sh,a,l,t;SH,AE,L,T;s; AE
n,o,t;N,AA,T;s; AA
s,t,ea,l;S,T,IY,L;s; IY
i;AY;s; AY
n,e,v,e,r;N,e,V,ǝ,R;s; 
i,t;IH,T;s; IH
n,o;N,OW;s; 
a;AH;s; 
d,o,z,e,n;D,ɤ,Z,ǝ,N;s; 
a,t;AE,T;s; AE
l,ea,s,t;L,IY,S,T;s; IY
y,e,s;Y,IH,S;s; IH
th,a,t;DH,AE,T;s; AE
th,ou;DH,AW;s; 
h,a,s,t;HH,AE,S,T;s; AE
th,ou;DH,AW;s; 
a,r,t;AA,R,T;s; AA
t,ai,n,t,e,d;T,EH,N,T,IH,D;s; IH
o,r;AO,R;s; AO
f,r,ee;F,R,IY;s; IY
t,o;T,UW;s; UW
wh,a,t;W,AH,T;s; 
i;AY;s; AY
t,o;T,UW;s; UW
a;AH;s; 
y,ea,r;Y,IH,R;s; IH
th,a,t;DH,AE,T;s; AE
i;AY;s; AY
th,ee;DH,IY;s; IY
b,e,s,i,d,e,s;B,IH,S,ə,IH,D,Z;s; IH,IH
y,ou;Y,UW;s; UW
i,t;IH,T;s; IH
n,ea,r;N,IY,R;s; IY
t,o;T,UW;s; UW
th,e;DH,AH;s; 
s,p,ee,ch;S,P,IY,CH;s; IY
w,e;W,IY;s; IY
h,a,d;HH,AE,D;s; AE
t,o;T,UW;s; UW
a;AH;s; 
