my,'M AY', s, AY
lord,'L AO R D', s, AO
hath,'HH AE TH', s, AE
sent,'S EH N T', s, 
you,'Y UW', s, UW
this,'DH IH S', s, IH
and,'AH N D', s, 
by,'B AY', s, AY
me,'M IY', s, IY
this,'DH IH S', s, IH
that,'DH AE T', s, AE
you,'Y UW', s, UW
not,'N AA T', s, AA
from,'F R AH M', s, 
the,'DH AH', s, 
smallest,'S M AA L ǝ S T', s, AA
of,'AH V', s, 
it,'IH T', s, IH
neither,'N EH DH ǝ R', s, 
in,'IH N', s, IH
matter,'M AW T ǝ R', s, 
or,'AO R', s, AO
good,'G UH D', s, UH
for,'F AO R', s, AO
as,'AE Z', s, AE
i,'AY', s, AY
it,'IH T', s, IH
it,'IH T', s, IH
is,'IH Z', s, IH
almost,'AA L M OW S T', s, AA
