you,'Y UW',s,'UW'
spotted,'S P AA T AH D',s,'AA'
with,'W IH DH',s,'IH'
thorny,'TH AO R N IY',s,'AO IY'
be,'B IY',s,'IY'
not,'N AA T',s,'AA'
seen,'S IY N',s,'IY'
and,'AH N D',s,''
do,'D OW',s,''
no,'N OW',s,''
not,'N AA T',s,'AA'
near,'N IY R',s,'IY'
our,'OW R',s,''
fairy,'F EH R IY',s,'IY'
with,'W IH DH',s,'IH'
melody,'M EH L AH D IY',s,'IY'
in,'IH N',s,'IH'
our,'OW R',s,''
sweet,'S W IY T',s,'IY'
lullaby,'L AH L AH B AY',s,'AY'
lulla,'L ɤ L ǝ',s,''
lulla,'L ɤ L ǝ',s,''
lullaby,'L AH L AH B AY',s,'AY'
lulla,'L ɤ L ǝ',s,''
lulla,'L ɤ L ǝ',s,''
lullaby,'L AH L AH B AY',s,'AY'
never,'N e V ǝ R',s,''
nor,'N AO R',s,'AO'
spell,'S P EH L',s,''
nor,'N AO R',s,'AO'
our,'OW R',s,''
lovely,'L ɤ V L ǝ IH',s,'IH'
lady,'L EY D IY',s,'EY IY'
so,'S OW',s,''
good,'G UH D',s,'UH'
with,'W IH DH',s,'IH'
lullaby,'L AH L AH B AY',s,'AY'
not,'N AA T',s,'AA'
you,'Y UW',s,'UW'
beetles,'B IY T AH L Z',s,'IY'
black,'B L AE K',s,'AE'
appproach,'ǝ P r OW T SH',s,''
not,'N AA T',s,'AA'
near,'N IY R',s,'IY'
nor,'N AO R',s,'AO'
snail,'S N EY L',s,'EY'
do,'D OW',s,''
no,'N OW',s,''
with,'W IH DH',s,'IH'
melody,'M EH L AH D IY',s,'IY'
in,'IH N',s,'IH'
our,'OW R',s,''
sweet,'S W IY T',s,'IY'
lullaby,'L AH L AH B AY',s,'AY'
lulla,'L ɤ L ǝ',s,''
lulla,'L ɤ L ǝ',s,''
lullaby,'L AH L AH B AY',s,'AY'
lulla,'L ɤ L ǝ',s,''
lulla,'L ɤ L ǝ',s,''
lullaby,'L AH L AH B AY',s,'AY'
never,'N e V ǝ R',s,''
nor,'N AO R',s,'AO'
spell,'S P EH L',s,''
nor,'N AO R',s,'AO'
our,'OW R',s,''
lovely,'L ɤ V L ǝ IH',s,'IH'
lady,'L EY D IY',s,'EY IY'
so,'S OW',s,''
good,'G UH D',s,'UH'
with,'W IH DH',s,'IH'
lullaby,'L AH L AH B AY',s,'AY'
