what,'W AH T',s,''
jealous,'JH EH L AH S',s,''
fairies,'F EH R IY Z',s,'IY'
skip,'S K IH P',s,'IH'
i,'AY',s,'AY'
forsworn,'F AO R S W AO R N',s,'AO AO'
his,'HH IH Z',s,'IH'
bed,'B EH D',s,''
and,'AH N D',s,''
company,'K AH M P AH N IY',s,'IY'
then,'DH EH N',s,''
i,'AY',s,'AY'
must,'M AH S T',s,''
be,'B IY',s,'IY'
lady,'L EY D IY',s,'EY IY'
but,'B AH T',s,''
i,'AY',s,'AY'
when,'ʍ e N',s,''
thou,'DH AW',s,''
hast,'HH AE S T',s,'AE'
from,'F R AH M',s,''
fairyland,'F EH R IY L AE N D',s,'IY AE'
and,'AH N D',s,''
in,'IH N',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
sat,'S AE T',s,'AE'
all,'AA L',s,'AA'
on,'AA N',s,'AA'
of,'AH V',s,''
corn,'K AO R N',s,'AO'
and,'AH N D',s,''
to,'T UW',s,'UW'
whhy,'ʍ ǝ IH',s,'IH'
art,'AA R T',s,'AA'
thou,'DH AW',s,''
from,'F R AH M',s,''
the,'DH AH',s,''
farthest,'F AA R DH AH S T',s,'AA'
steep,'S T IY P',s,'IY'
of,'AH V',s,''
but,'B AH T',s,''
that,'DH AE T',s,'AE'
forsooth,'F ǝ R S UW TH',s,'UW'
the,'DH AH',s,''
your,'Y AO R',s,'AO'
mistress,'M IH S T R AH S',s,'IH'
and,'AH N D',s,''
your,'Y AO R',s,'AO'
to,'T UW',s,'UW'
must,'M AH S T',s,''
be,'B IY',s,'IY'
wedded,'W EH D AH D',s,''
and,'AH N D',s,''
you,'Y UW',s,'UW'
to,'T UW',s,'UW'
their,'DH EH R',s,''
bed,'B EH D',s,''
and,'AH N D',s,''
prosperity,'P R AA S P EH R AH T IY',s,'AA IY'
the,'DH AH',s,''
of,'AH V',s,''
and,'AH N D',s,''
never,'N e V ǝ R',s,''
the,'DH AH',s,''
met,'M EH T',s,''
we,'W IY',s,'IY'
on,'AA N',s,'AA'
in,'IH N',s,'IH'
forest,'F AO R AH S T',s,'AO'
or,'AO R',s,'AO'
mead,'M IY D',s,'IY'
by,'B AY',s,'AY'
or,'AO R',s,'AO'
by,'B AY',s,'AY'
brook,'B R UH K',s,'UH'
or,'AO R',s,'AO'
in,'IH N',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
the,'DH AH',s,''
sea,'S IY',s,'IY'
to,'T UW',s,'UW'
our,'OW R',s,''
to,'T UW',s,'UW'
the,'DH AH',s,''
but,'B AH T',s,''
with,'W IH DH',s,'IH'
thou,'DH AW',s,''
hast,'HH AE S T',s,'AE'
our,'OW R',s,''
sport,'S P AO R T',s,'AO'
therefre,'DH EH R F AO R',s,'AO'
the,'DH AH',s,''
piping,'P ǝ IH P IH N',s,'IH IH'
to,'T UW',s,'UW'
us,'AH S',s,''
in,'IH N',s,'IH'
vain,'V EY N',s,'EY'
as,'AE Z',s,'AE'
in,'IH N',s,'IH'
up,'AH P',s,''
from,'F R AH M',s,''
the,'DH AH',s,''
sea,'S IY',s,'IY'
fogs,'F AO G Z',s,'AO'
in,'IH N',s,'IH'
the,'DH AH',s,''
land,'L AE N D',s,'AE'
hath,'HH AE TH',s,'AE'
every,'e V r ǝ IH',s,'IH'
river,'r IH V ǝ R',s,'IH'
so,'S OW',s,''
that,'DH AE T',s,'AE'
their,'DH EH R',s,''
continents,'K AA N T AH N AH N T S',s,'AA'
the,'DH AH',s,''
hath,'HH AE TH',s,'AE'
therefre,'DH EH R F AO R',s,'AO'
his,'HH IH Z',s,'IH'
in,'IH N',s,'IH'
vain,'V EY N',s,'EY'
the,'DH AH',s,''
lost,'L AO S T',s,'AO'
his,'HH IH Z',s,'IH'
sweat,'S W EH T',s,''
and,'AH N D',s,''
the,'DH AH',s,''
green,'G R IY N',s,'IY'
corn,'K AO R N',s,'AO'
hath,'HH AE TH',s,'AE'
rotted,'R AA T IH D',s,'AA IH'
his,'HH IH Z',s,'IH'
youth,'Y UW TH',s,'UW'
a,'AH',s,''
beard,'B EH R D',s,''
the,'DH AH',s,''
fold,'F OW L D',s,''
stands,'S T AE N D Z',s,'AE'
empty,'e M T ǝ IH',s,'IH'
in,'IH N',s,'IH'
the,'DH AH',s,''
field,'F IY L D',s,'IY'
and,'AH N D',s,''
with,'W IH DH',s,'IH'
the,'DH AH',s,''
flock,'F L AA K',s,'AA'
the,'DH AH',s,''
is,'IH Z',s,'IH'
up,'AH P',s,''
with,'W IH DH',s,'IH'
mud,'M ɤ D',s,''
and,'AH N D',s,''
the,'DH AH',s,''
mazes,'M EY Z IH Z',s,'EY IH'
in,'IH N',s,'IH'
the,'DH AH',s,''
wanton,'W AA N T ǝ N',s,'AA'
green,'G R IY N',s,'IY'
for,'F AO R',s,'AO'
lack,'L AE K',s,'AE'
of,'AH V',s,''
tread,'T R EH D',s,''
the,'DH AH',s,''
human,'Y UW M ǝ N',s,'UW'
mortals,'M AO R T AH L Z',s,'AO'
want,'W AA N T',s,'AA'
their,'DH EH R',s,''
no,'N OW',s,''
is,'IH Z',s,'IH'
with,'W IH DH',s,'IH'
or,'AO R',s,'AO'
carol,'K AE R AH L',s,'AE'
blessed,'B L e S IH D',s,'IH'
therefre,'DH EH R F AO R',s,'AO'
the,'DH AH',s,''
moon,'M UW N',s,'UW'
the,'DH AH',s,''
of,'AH V',s,''
