wh,a,t;W,AH,T;s; 
i,s;IH,Z;s; IH
i;AY;s; AY
a,m;AE,M;s; AE
f,o,r;F,AO,R;s; AO
th,ee;DH,IY;s; IY
th,ou;DH,AW;s; 
a,r,t;AA,R,T;s; AA
t,o;T,UW;s; UW
a;AH;s; 
a,n;AE,N;s; AE
i,n,h,u,m,a,n;IH,N,Y,UW,M,ǝ,N;s; IH,UW
o,f;AH,V;s; 
v,oi,d;V,OY,D;s; 
a,n,d;AH,N,D;s; 
e,m,p,t,y;e,M,T,ǝ,IH;s; IH
f,r,o,m;F,R,AH,M;s; 
d,r,a,m;D,R,AE,M;s; AE
o,f;AH,V;s; 
g,o;G,OW;s; 
a,n,d;AH,N,D;s; 
c,a,ll;K,AO,L;s; AO
th,e;DH,AH;s; 
i,n,t,o;IH,N,T,UW;s; IH,UW
th,e;DH,AH;s; 
c,ou,r,t;K,AO,R,T;s; AO
r,oo,m;R,UW,M;s; UW
a,n,d;AH,N,D;s; 
l,e,t;L,EH,T;s; 
h,i,m;HH,IH,M;s; IH
s,t,a,n,d;S,T,AE,N,D;s; AE
ou,r;OW,R;s; 
sh,h,y,l,o,ck;SH,ǝ,IH,L,ɒ,K;s; IH
th,e;DH,AH;s; 
th,i,n,k,s;TH,IH,NG,K,S;s; IH
a,n,d;AH,N,D;s; 
i;AY;s; AY
th,i,n,k;TH,IH,NG,K;s; IH
s,o;S,OW;s; 
t,oo;T,UW;s; UW
th,a,t;DH,AE,T;s; AE
th,ou;DH,AW;s; 
b,u,t;B,AH,T;s; 
th,i,s;DH,IH,S;s; IH
f,a,sh,io,n;F,AE,SH,AH,N;s; AE
o,f;AH,V;s; 
t,o;T,UW;s; UW
th,e;DH,AH;s; 
l,a,s,t;L,AE,S,T;s; AE
o,f;AH,V;s; 
a,c,t;AE,K,T;s; AE
a,n,d;AH,N,D;s; 
th,e,n;DH,EH,N;s; 
th,ou;DH,AW;s; 
a,n,d;AH,N,D;s; 
th,a,n;DH,AE,N;s; AE
i,s;IH,Z;s; IH
a,pp,a,r,e,n,t;AH,P,EH,R,AH,N,T;s; 
c,r,ue,l,t,y;K,R,UW,L,T,IY;s; UW,IY
a,n,d;AH,N,D;s; 
th,ou;DH,AW;s; 
th,e;DH,AH;s; 
i,s;IH,Z;s; IH
a;AH;s; 
o,f;AH,V;s; 
th,i,s;DH,IH,S;s; IH
p,oo,r;P,UH,R;s; UH
f,l,e,sh;F,L,EH,SH;s; 
th,ou;DH,AW;s; 
w,i,l,t;W,IH,L,T;s; IH
n,o,t;N,AA,T;s; AA
o,n,l,y;OW,N,L,IY;s; IY
th,e;DH,AH;s; 
b,u,t;B,AH,T;s; 
w,i,th;W,IH,DH;s; IH
a,n,d;AH,N,D;s; 
f,o,r,g,ve;F,ER,G,IH,V;s; IH
a;AH;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
g,l,a,n,c,i,n,g;G,L,AW,N,S,·,IH,N;s; IH
a,n;AE,N;s; AE
o,f;AH,V;s; 
o,n;AA,N;s; AA
h,i,s;HH,IH,Z;s; IH
l,o,ss,e,s;L,AO,S,AH,Z;s; AO
th,a,t;DH,AE,T;s; AE
o,f;AH,V;s; 
s,o;S,OW;s; 
o,n;AA,N;s; AA
h,i,s;HH,IH,Z;s; IH
b,a,ck;B,AE,K;s; AE
t,o;T,UW;s; UW
