m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
y,ou;Y,UW;s; UW
w,e;W,IY;s; IY
w,i,ll;W,IH,L;s; IH
y,ou;Y,UW;s; UW
b,u,t;B,AH,T;s; 
a,t;AE,T;s; AE
i;AY;s; AY
y,ou;Y,UW;s; UW
i,n;IH,N;s; IH
w,e;W,IY;s; IY
m,u,s,t;M,AH,S,T;s; 
m,ee,t;M,IY,T;s; IY
w,e,ll;W,EH,L;s; 
w,e;W,IY;s; IY
w,i,ll;W,IH,L;s; IH
y,ou;Y,UW;s; UW
th,e,n;DH,EH,N;s; 
t,i,ll;T,IH,L;s; IH
i;AY;s; AY
m,u,s,t;M,AH,S,T;s; 
b,e;B,IY;s; IY
o,f;AH,V;s; 
m,e,n;M,EH,N;s; 
f,o,r;F,AO,R;s; AO
n,e,v,e,r;N,e,V,ǝ,R;s; 
l,e,t,s;L,EH,T,S;s; 
m,e;M,IY;s; IY
s,p,ea,k;S,P,IY,K;s; IY
w,e;W,IY;s; IY
w,i,ll;W,IH,L;s; IH
i,n;IH,N;s; IH
s,u,pp,e,r;S,ɤ,P,ǝ,R;s; 
u,s;AH,S;s; 
a,t;AE,T;s; AE
m,y;M,AY;s; AY
a,n,d;AH,N,D;s; 
r,e,t,u,r,n;r,IH,T,ɐ,R,N;s; IH
a,ll;AA,L;s; AA
i,n;IH,N;s; IH
a,n;AE,N;s; AE
b,u,t;B,AH,T;s; 
f,ou,r;F,AO,R;s; AO
w,e;W,IY;s; IY
t,o;T,UW;s; UW
u,s;AH,S;s; 
f,r,ie,n,d;F,R,EH,N,D;s; 
th,e;DH,AH;s; 
i;AY;s; AY
th,e;DH,AH;s; 
i,n;IH,N;s; IH
f,ai,th;F,EY,TH;s; EY
a;AH;s; 
f,ai,r;F,EH,R;s; 
a,n,d;AH,N,D;s; 
th,a,n;DH,AE,N;s; AE
th,e;DH,AH;s; 
p,a,p,e,r;P,EH,P,ǝ,R;s; 
i,t;IH,T;s; IH
wr,i,t;R,IH,T;s; IH
o,n;AA,N;s; AA
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
f,ai,r;F,EH,R;s; 
th,a,t;DH,AE,T;s; AE
wr,i,t;R,IH,T;s; IH
g,oe,s,t;G,OW,S,T;s; 
th,ou;DH,AW;s; 
th,i,s;DH,IH,S;s; IH
t,e,ll;T,EH,L;s; 
j,e,ss,i,c,a;JH,EH,S,IH,K,AH;s; IH
i;AY;s; AY
w,i,ll;W,IH,L;s; IH
n,o,t;N,AA,T;s; AA
f,ai,l;F,EH,L;s; 
s,p,ea,k;S,P,IY,K;s; IY
i,t;IH,T;s; IH
g,o;G,OW;s; 
g,e,n,t,l,e,m,e,n;JH,EH,N,T,AH,L,M,IH,N;s; IH
w,i,ll;W,IH,L;s; IH
y,ou;Y,UW;s; UW
y,ou;Y,UW;s; UW
f,o,r;F,AO,R;s; AO
th,i,s;DH,IH,S;s; IH
i;AY;s; AY
a,m;AE,M;s; AE
o,f;AH,V;s; 
a;AH;s; 
m,ee,t;M,IY,T;s; IY
m,e;M,IY;s; IY
a,n,d;AH,N,D;s; 
a,t;AE,T;s; AE
i;AY;s; AY
m,u,s,t;M,AH,S,T;s; 
n,ee,d,s;N,IY,D,Z;s; IY
t,e,ll;T,EH,L;s; 
th,ee;DH,IY;s; IY
a,ll;AA,L;s; AA
sh,e;SH,IY;s; IY
h,a,th;HH,AE,TH;s; AE
i;AY;s; AY
sh,a,ll;SH,AE,L;s; AE
f,r,o,m;F,R,AH,M;s; 
wh,a,t;W,AH,T;s; 
g,o,l,d;G,OW,L,D;s; 
a,n,d;AH,N,D;s; 
sh,e;SH,IY;s; IY
i,s;IH,Z;s; IH
w,i,th;W,IH,DH;s; IH
wh,a,t;W,AH,T;s; 
s,ui,t;SH,UW,T;s; UW
sh,e;SH,IY;s; IY
h,a,th;HH,AE,TH;s; AE
i,n;IH,N;s; IH
r,ea,d,i,n,e,ss;R,EH,D,IY,N,AH,S;s; IY
i,f;IH,F;s; IH
th,e;DH,AH;s; 
t,o;T,UW;s; UW
h,ea,v,e,n;HH,EH,V,AH,N;s; 
i,t;IH,T;s; IH
w,i,ll;W,IH,L;s; IH
b,e;B,IY;s; IY
f,o,r;F,AO,R;s; AO
h,i,s;HH,IH,Z;s; IH
a,n,d;AH,N,D;s; 
n,e,v,e,r;N,e,V,ǝ,R;s; 
c,r,o,ss;K,R,AO,S;s; AO
f,oo,t;F,UH,T;s; UH
u,n,l,e,ss;ɤ,N,L,e,S;s; 
sh,e;SH,IY;s; IY
d,o;D,OW;s; 
i,t;IH,T;s; IH
