wh,o;HH,UW;s; UW
i,f;IH,F;s; IH
b,e;B,IY;s; IY
w,i,th;W,IH,DH;s; IH
h,i,s;HH,IH,Z;s; IH
g,r,ea,t;G,r,e,T;s; 
h,e;HH,IY;s; IY
s,t,r,o,n,g,l,y;S,T,r,ɒ,NG,L,ǝ,IH;s; IH
m,a,d;M,AE,D;s; AE
th,a,t;DH,AE,T;s; AE
l,e,ss,e,r;L,e,S,ǝ,R;s; 
h,i,m;HH,IH,M;s; IH
d,o;D,OW;s; 
c,a,ll;K,AO,L;s; AO
i,t;IH,T;s; IH
b,u,t;B,AH,T;s; 
f,o,r;F,AO,R;s; AO
c,e,r,t,ai,n;S,ɐ,R,T,ǝ,N;s; 
h,e;HH,IY;s; IY
c,a,nn,o,t;K,AE,N,AA,T;s; AE,AA
h,i,s;HH,IH,Z;s; IH
w,i,th,i,n;W,IH,DH,IH,N;s; IH,IH
th,e;DH,AH;s; 
b,e,l,t;B,EH,L,T;s; 
o,f;AH,V;s; 
w,e,ll;W,EH,L;s; 
w,e;W,IY;s; IY
o,n;AA,N;s; AA
t,o;T,UW;s; UW
m,ee,t;M,IY,T;s; IY
w,e;W,IY;s; IY
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
w,i,th;W,IH,DH;s; IH
h,i,m;HH,IH,M;s; IH
p,ou,r;P,UW,R;s; UW
w,e;W,IY;s; IY
i,n;IH,N;s; IH
ou,r;OW,R;s; 
ea,ch;IY,CH;s; IY
d,r,o,p;D,R,AA,P;s; AA
o,f;AH,V;s; 
u,s;AH,S;s; 
