met,'M EH T',s,''
me,'M IY',s,'IY'
in,'IH N',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
and,'AH N D',s,''
i,'AY',s,'AY'
by,'B AY',s,'AY'
the,'DH AH',s,''
report,'r IH P AO R T',s,'IH AO'
in,'IH N',s,'IH'
them,'DH EH M',s,''
than,'DH AE N',s,'AE'
mortal,'M AO R T AA L',s,'AO AA'
when,'ʍ e N',s,''
i,'AY',s,'AY'
in,'IH N',s,'IH'
to,'T UW',s,'UW'
them,'DH EH M',s,''
air,'EH R',s,''
into,'IH N T UW',s,'IH UW'
i,'AY',s,'AY'
stood,'S T UH D',s,'UH'
rapt,'R AE P T',s,'AE'
in,'IH N',s,'IH'
the,'DH AH',s,''
wonder,'W ɤ N D ǝ R',s,''
of,'AH V',s,''
it,'IH T',s,'IH'
from,'F R AH M',s,''
the,'DH AH',s,''
who,'HH UW',s,'UW'
me,'M IY',s,'IY'
of,'AH V',s,''
by,'B AY',s,'AY'
saluted,'S AH L UW T AH D',s,'UW'
me,'M IY',s,'IY'
and,'AH N D',s,''
me,'M IY',s,'IY'
to,'T UW',s,'UW'
the,'DH AH',s,''
on,'AA N',s,'AA'
of,'AH V',s,''
with,'W IH DH',s,'IH'
hail,'HH EY L',s,'EY'
that,'DH AE T',s,'AE'
shalt,'SH AE L T',s,'AE'
be,'B IY',s,'IY'
this,'DH IH S',s,'IH'
i,'AY',s,'AY'
good,'G UH D',s,'UH'
to,'T UW',s,'UW'
deliver,'D IH L IH V ǝ R',s,'IH IH'
thee,'DH IY',s,'IY'
my,'M AY',s,'AY'
dearest,'D IY R ǝ S T',s,'IY'
partner,'P AA R T N ǝ R',s,'AA'
of,'AH V',s,''
greatness,'G r e T N ǝ S',s,''
that,'DH AE T',s,'AE'
thou,'DH AW',s,''
not,'N AA T',s,'AA'
the,'DH AH',s,''
of,'AH V',s,''
by,'B AY',s,'AY'
being,'B IY IH NG',s,'IY IH'
ignorant,'IH G N ǝ r ǝ N T',s,'IH'
of,'AH V',s,''
what,'W AH T',s,''
greatness,'G r e T N ǝ S',s,''
is,'IH Z',s,'IH'
thee,'DH IY',s,'IY'
it,'IH T',s,'IH'
to,'T UW',s,'UW'
heart,'HH AA R T',s,'AA'
and,'AH N D',s,''
glamis,'G L AW M IH S',s,'IH'
thou,'DH AW',s,''
art,'AA R T',s,'AA'
and,'AH N D',s,''
and,'AH N D',s,''
shalt,'SH AE L T',s,'AE'
be,'B IY',s,'IY'
what,'W AH T',s,''
thou,'DH AW',s,''
art,'AA R T',s,'AA'
yet,'Y EH T',s,''
do,'D OW',s,''
i,'AY',s,'AY'
fear,'F IY R',s,'IY'
natre,'N EY CH ER',s,'EY'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
too,'T UW',s,'UW'
full,'F UH L',s,'UH'
milk,'M IH L K',s,'IH'
of,'AH V',s,''
human,'Y UW M ǝ N',s,'UW'
kindness,'K AY N D N AH S',s,'AY'
to,'T UW',s,'UW'
the,'DH AH',s,''
nearest,'N IY r ǝ S T',s,'IY'
thou,'DH AW',s,''
be,'B IY',s,'IY'
great,'G r e T',s,''
art,'AA R T',s,'AA'
not,'N AA T',s,'AA'
ambition,'AE M B IH SH AH N',s,'AE IH'
but,'B AH T',s,''
the,'DH AH',s,''
attend,'AH T EH N D',s,''
it,'IH T',s,'IH'
what,'W AH T',s,''
thou,'DH AW',s,''
that,'DH AE T',s,'AE'
thou,'DH AW',s,''
not,'N AA T',s,'AA'
and,'AH N D',s,''
yet,'Y EH T',s,''
win,'W IH N',s,'IH'
thou,'DH AW',s,''
great,'G r e T',s,''
glamis,'G L AW M IH S',s,'IH'
that,'DH AE T',s,'AE'
cries,'K R AY Z',s,'AY'
thus,'DH ɤ S',s,''
thou,'DH AW',s,''
must,'M AH S T',s,''
do,'D OW',s,''
if,'IH F',s,'IH'
thou,'DH AW',s,''
it,'IH T',s,'IH'
and,'AH N D',s,''
that,'DH AE T',s,'AE'
thou,'DH AW',s,''
dost,'D AA S T',s,'AA'
fear,'F IY R',s,'IY'
to,'T UW',s,'UW'
do,'D OW',s,''
than,'DH AE N',s,'AE'
be,'B IY',s,'IY'
hie,'ǝ IH',s,'IH'
thee,'DH IY',s,'IY'
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
pour,'P UW R',s,'UW'
my,'M AY',s,'AY'
spirits,'S P IH R AH T S',s,'IH'
in,'IH N',s,'IH'
ear,'IY R',s,'IY'
and,'AH N D',s,''
with,'W IH DH',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
my,'M AY',s,'AY'
all,'AA L',s,'AA'
that,'DH AE T',s,'AE'
thee,'DH IY',s,'IY'
from,'F R AH M',s,''
the,'DH AH',s,''
golden,'G OW L D ǝ N',s,''
and,'AH N D',s,''
aid,'EH D',s,''
doth,'D AO TH',s,'AO'
seem,'S IY M',s,'IY'
to,'T UW',s,'UW'
thee,'DH IY',s,'IY'
withal,'W IH DH AA L',s,'IH AA'
what,'W AH T',s,''
is,'IH Z',s,'IH'
your,'Y AO R',s,'AO'
tidings,'T ǝ IH D IH N Z',s,'IH IH'
thou,'DH AW',s,''
mad,'M AE D',s,'AE'
to,'T UW',s,'UW'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
not,'N AA T',s,'AA'
master,'M AW S T ǝ R',s,''
with,'W IH DH',s,'IH'
him,'HH IH M',s,'IH'
who,'HH UW',s,'UW'
wre,'W ER',s,''
so,'S OW',s,''
for,'F AO R',s,'AO'
him,'HH IH M',s,'IH'
he,'HH IY',s,'IY'
great,'G r e T',s,''
the,'DH AH',s,''
raven,'R EY V AH N',s,'EY'
himself,'HH IH M S EH L F',s,'IH'
is,'IH Z',s,'IH'
that,'DH AE T',s,'AE'
the,'DH AH',s,''
fatal,'F EY T AH L',s,'EY'
of,'AH V',s,''
duncan,'D ɤ NG K ǝ N',s,''
under,'ɤ N D ǝ R',s,''
my,'M AY',s,'AY'
you,'Y UW',s,'UW'
spirits,'S P IH R AH T S',s,'IH'
that,'DH AE T',s,'AE'
tend,'T EH N D',s,''
on,'AA N',s,'AA'
mortal,'M AO R T AA L',s,'AO AA'
me,'M IY',s,'IY'
and,'AH N D',s,''
fill,'F IH L',s,'IH'
me,'M IY',s,'IY'
from,'F R AH M',s,''
the,'DH AH',s,''
crown,'K r ǝ UH N',s,'UH'
to,'T UW',s,'UW'
the,'DH AH',s,''
toe,'T OW',s,''
of,'AH V',s,''
direst,'D AY R AH S T',s,'AY'
cruelty,'K R UW L T IY',s,'UW IY'
thick,'TH IH K',s,'IH'
my,'M AY',s,'AY'
