what,'W AH T', s, 
a,'AH', s, 
hate,'AW S T', s, 
looks,'L UH K S', s, UH
his,'HH IH Z', s, IH
so,'S OW', s, 
he,'HH IY', s, IY
look,'L UH K', s, UH
that,'DH AE T', s, AE
seems,'S IY M Z', s, IY
to,'T UW', s, UW
speak,'S P IY K', s, IY
good,'G UH D', s, UH
goes,'G OW Z', s, 
the,'DH AH', s, 
the,'DH AH', s, 
been,'B IH N', s, IH
we,'W IY', s, IY
our,'OW R', s, 
wre,'W ER', s, 
down,'D ǝ UH N', s, UH
and,'AH N D', s, 
as,'AE Z', s, AE
air,'EH R', s, 
sccreams,'S K R IY M Z', s, IY
of,'AH V', s, 
death,'D EH TH', s, 
and,'AH N D', s, 
prophesying,'P r ɒ F IH ˌ S ǝ IH IH N', s, IH IH IH
with,'W IH DH', s, IH
of,'AH V', s, 
combustion,'K AH M B AH S CH AH N', s, 
and,'AH N D', s, 
events,'IH V EH N T S', s, IH
to,'T UW', s, UW
woeful,'W OW F AH L', s, 
the,'DH AH', s, 
bird,'B ɐ R D', s, 
the,'DH AH', s, 
the,'DH AH', s, 
was,'W AA Z', s, AA
and,'AH N D', s, 
did,'D IH D', s, IH
my,'M AY', s, AY
cannot,'K AE N AA T', s, AE AA
parallel,'P EH R AH L EH L', s, 
a,'AH', s, 
to,'T UW', s, UW
it,'IH T', s, IH
the,'DH AH', s, 
matter,'M AW T ǝ R', s, 
mean,'M IY N', s, IY
you,'Y UW', s, UW
his,'HH IH Z', s, IH
majesty,'M AE JH AH S T IY', s, AE IY
of,'AH V', s, 
his,'HH IH Z', s, IH
as,'AE Z', s, AE
it,'IH T', s, IH
had,'HH AE D', s, AE
their,'DH EH R', s, 
and,'AH N D', s, 
faces,'F EH S IH Z', s, IH
wre,'W ER', s, 
all,'AA L', s, AA
with,'W IH DH', s, IH
blood,'B L AH D', s, 
so,'S OW', s, 
wre,'W ER', s, 
their,'DH EH R', s, 
unwiped,'ɤ N W ǝ IH P T', s, IH
we,'W IY', s, IY
upon,'AH P AA N', s, AA
their,'DH EH R', s, 
and,'AH N D', s, 
wre,'W ER', s, 
