w,a,s;W,AA,Z;s; AA
i,t;IH,T;s; IH
s,o;S,OW;s; 
f,r,ie,n,d;F,R,EH,N,D;s; 
y,ou;Y,UW;s; UW
w,e,n,t;W,EH,N,T;s; 
t,o;T,UW;s; UW
b,e,d;B,EH,D;s; 
th,a,t;DH,AE,T;s; AE
y,ou;Y,UW;s; UW
d,o;D,OW;s; 
s,o;S,OW;s; 
wh,a,t;W,AH,T;s; 
d,oe,s;D,AH,Z;s; 
d,r,i,n,k;D,R,IH,NG,K;s; IH
i;AY;s; AY
d,r,i,n,k;D,R,IH,NG,K;s; IH
th,ee;DH,IY;s; IY
th,e;DH,AH;s; 
l,a,s,t;L,AE,S,T;s; AE
i,s;IH,Z;s; IH
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
ou,r;OW,R;s; 
h,i,m;HH,IH,M;s; IH
h,e;HH,IY;s; IY
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
h,e;HH,IY;s; IY
d,i,d;D,IH,D;s; IH
c,o,mm,a,n,d;K,ǝ,M,AW,N,D;s; 
m,e;M,IY;s; IY
t,o;T,UW;s; UW
c,a,ll;K,AO,L;s; AO
o,n;AA,N;s; AA
h,i,m;HH,IH,M;s; IH
i;AY;s; AY
a,l,m,o,s,t;AA,L,M,OW,S,T;s; AA
th,e;DH,AH;s; 
i;AY;s; AY
th,i,s;DH,IH,S;s; IH
i,s;IH,Z;s; IH
a;AH;s; 
t,o;T,UW;s; UW
y,ou;Y,UW;s; UW
b,u,t;B,AH,T;s; 
y,e,t;Y,EH,T;s; 
s,o;S,OW;s; 
b,o,l,d;B,OW,L,D;s; 
t,o;T,UW;s; UW
c,a,ll;K,AO,L;s; AO
f,o,r;F,AO,R;s; AO
m,y;M,AY;s; AY
l,i,m,i,t,e,d;L,IH,M,AH,T,AH,D;s; IH
o;OW;s; 
n,o,r;N,AO,R;s; AO
h,ea,r,t;HH,AA,R,T;s; AA
c,a,nn,o,t;K,AE,N,AA,T;s; AE,AA
n,o,r;N,AO,R;s; AO
th,ee;DH,IY;s; IY
h,a,th;HH,AE,TH;s; AE
h,i,s;HH,IH,Z;s; IH
m,o,s,t;M,OW,S,T;s; 
s,a,c,r,i,l,e,g,iou,s;S,AE,K,R,AH,L,EH,JH,IH,S;s; AE,IH
h,a,th;HH,AE,TH;s; AE
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
a,pp,p,r,oa,ch;ǝ,P,r,OW,T,SH;s; 
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
d,e,s,t,r,o,y;D,IH,S,T,r,ǝ,IH;s; IH,IH
y,ou,r;Y,AO,R;s; AO
w,i,th;W,IH,DH;s; IH
a;AH;s; 
g,o,r,g,o,n;G,AO,R,G,ǝ,N;s; AO
d,o;D,OW;s; 
n,o,t;N,AA,T;s; AA
b,i,d;B,IH,D;s; IH
m,e;M,IY;s; IY
s,p,ea,k;S,P,IY,K;s; IY
s,ee;S,IY;s; IY
a,n,d;AH,N,D;s; 
th,e,n;DH,EH,N;s; 
s,p,ea,k;S,P,IY,K;s; IY
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
t,r,ea,s,o,n;T,R,IY,Z,AH,N;s; IY
a,n,d;AH,N,D;s; 
o,ff;AO,F;s; AO
th,i,s;DH,IH,S;s; IH
s,l,ee,p;S,L,IY,P;s; IY
a,n,d;AH,N,D;s; 
l,oo,k;L,UH,K;s; UH
o,n;AA,N;s; AA
d,ea,th;D,EH,TH;s; 
i,t,s,e,l,f;IH,T,S,EH,L,F;s; IH
u,p;AH,P;s; 
u,p;AH,P;s; 
a,n,d;AH,N,D;s; 
s,ee;S,IY;s; IY
th,e;DH,AH;s; 
g,r,ea,t;G,r,e,T;s; 
a,s;AE,Z;s; AE
f,r,o,m;F,R,AH,M;s; 
y,ou,r;Y,AO,R;s; AO
u,p;AH,P;s; 
a,n,d;AH,N,D;s; 
s,p,r,i,t,e,s;S,P,r,ǝ,IH,T,S;s; IH
t,o;T,UW;s; UW
th,i,s;DH,IH,S;s; IH
th,e;DH,AH;s; 
b,e,ll;B,EH,L;s; 
o;OW;s; 
l,a,d,y;L,EY,D,IY;s; EY,IY
n,o,t;N,AA,T;s; AA
f,o,r;F,AO,R;s; AO
y,ou;Y,UW;s; UW
t,o;T,UW;s; UW
wh,a,t;W,AH,T;s; 
i;AY;s; AY
c,a,n;K,AE,N;s; AE
s,p,ea,k;S,P,IY,K;s; IY
th,e;DH,AH;s; 
r,e,p,e,t,i,t,io,n;R,EH,P,AH,T,IH,SH,AH,N;s; IH
i,n;IH,N;s; IH
a;AH;s; 
ea,r;IY,R;s; IY
a,s;AE,Z;s; AE
i,t;IH,T;s; IH
f,e,ll;F,EH,L;s; 
o;OW;s; 
ou,r;OW,R;s; 
y,ou,r;Y,AO,R;s; AO
d,i,d;D,IH,D;s; IH
y,ou;Y,UW;s; UW
s,o;S,OW;s; 
l,oo,k;L,UH,K;s; UH
t,o;T,UW;s; UW
th,e;DH,AH;s; 
l,a,d,y;L,EY,D,IY;s; EY,IY
a,n,d;AH,N,D;s; 
s,o;S,OW;s; 
d,o;D,OW;s; 
i;AY;s; AY
w,e,ll;W,EH,L;s; 
c,o,n,t,e,n,t,e,d;K,AH,N,T,EH,N,T,AH,D;s; 
wh,h,y;ʍ,ǝ,IH;s; IH
s,ee;S,IY;s; IY
y,ou;Y,UW;s; UW
n,o,t;N,AA,T;s; AA
th,a,t;DH,AE,T;s; AE
m,a,c,b,e,th;M,AH,K,B,EH,TH;s; 
h,a,th;HH,AE,TH;s; AE
s,l,ai,n;S,L,EH,N;s; 
w,re;W,ER;s; 
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
s,o,n,s;S,AH,N,Z;s; 
a,n,d;AH,N,D;s; 
f,l,e,d;F,L,EH,D;s; 
p,u,t,s;P,UH,T,S;s; UH
u,p,o,n;AH,P,AA,N;s; AA
th,e,m;DH,EH,M;s; 
s,u,s,p,i,c,io,n;S,AH,S,P,IH,SH,AH,N;s; IH
o,f;AH,V;s; 
th,e;DH,AH;s; 
d,ee,d;D,IY,D;s; IY
h,e;HH,IY;s; IY
i,s;IH,Z;s; IH
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
t,o;T,UW;s; UW
b,e;B,IY;s; IY
i,n,v,e,s,t,e,d;IH,N,V,EH,S,T,AH,D;s; IH
t,o;T,UW;s; UW
th,e;DH,AH;s; 
s,a,c,r,e,d;S,EY,K,R,AH,D;s; EY
s,t,o,r,e,h,se;S,T,AO,R,HH,AW,S;s; AO
o,f;AH,V;s; 
h,i,s;HH,IH,Z;s; IH
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
th,ei,r;DH,EH,R;s; 
n,o;N,OW;s; 
c,ou,s,i,n;K,AH,Z,AH,N;s; 
t,o;T,UW;s; UW
w,e,ll;W,EH,L;s; 
y,ou;Y,UW;s; UW
s,ee;S,IY;s; IY
w,e,ll;W,EH,L;s; 
a,d,ieu;AH,D,UW;s; UW
l,e,s,t;L,EH,S,T;s; 
ou,r;OW,R;s; 
o,l,d;OW,L,D;s; 
s,i,t;S,IH,T;s; IH
th,a,n;DH,AE,N;s; AE
ou,r;OW,R;s; 
l,e,t;L,EH,T;s; 
u,s;AH,S;s; 
f,a,s,t;F,AW,S,T;s; 
th,e;DH,AH;s; 
m,o,r,t,a,l;M,AO,R,T,AA,L;s; AO,AA
a,n,d;AH,N,D;s; 
g,oo,d;G,UH,D;s; UH
m,e,n;M,EH,N;s; 
ou,r;OW,R;s; 
ea,ch;IY,CH;s; IY
m,o,r,n;M,AO,R,N;s; AO
s,o,rr,o,w,s;S,ɒ,r,ǝ,ǝ,Z;s; 
h,ea,v,e,n;HH,EH,V,AH,N;s; 
o,n;AA,N;s; AA
th,e;DH,AH;s; 
th,a,t;DH,AE,T;s; AE
i,t;IH,T;s; IH
a,s;AE,Z;s; AE
i,f;IH,F;s; IH
i,t;IH,T;s; IH
f,e,l,t;F,EH,L,T;s; 
w,i,th;W,IH,DH;s; IH
a,n,d;AH,N,D;s; 
ou,t;AW,T;s; 
o,f;AH,V;s; 
i;AY;s; AY
a,m;AE,M;s; AE
n,o,t;N,AA,T;s; AA
i;AY;s; AY
l,o,s,t;L,AO,S,T;s; AO
m,y;M,AY;s; AY
b,l,ee,d;B,L,IY,D;s; IY
b,l,ee,d;B,L,IY,D;s; IY
p,oo,r;P,UH,R;s; UH
c,ou,n,t,r,y;K,AH,N,T,R,IY;s; IY
g,r,ea,t;G,r,e,T;s; 
t,y,r,a,nn,n,y;T,IH,r,ǝ,N,ǝ,IH;s; IH,IH
th,ou;DH,AW;s; 
b,a,s,i,s;B,AW,S,IH,S;s; IH
f,o,r;F,AO,R;s; AO
g,oo,d,n,e,ss;G,UH,D,N,AH,S;s; UH
n,o,t;N,AA,T;s; AA
ch,e,ck;CH,EH,K;s; 
th,ee;DH,IY;s; IY
w,ea,r;W,EH,R;s; 
th,ou;DH,AW;s; 
th,e;DH,AH;s; 
i,s;IH,Z;s; IH
th,ee;DH,IY;s; IY
w,e,ll;W,EH,L;s; 
l,o,r,d;L,AO,R,D;s; AO
i;AY;s; AY
n,o,t;N,AA,T;s; AA
b,e;B,IY;s; IY
th,e;DH,AH;s; 
v,i,ll,ai,n;V,IH,L,AH,N;s; IH
th,a,t;DH,AE,T;s; AE
th,ou;DH,AW;s; 
f,o,r;F,AO,R;s; AO
th,e;DH,AH;s; 
i,n;IH,N;s; IH
th,e;DH,AH;s; 
g,r,a,s,p;G,r,AW,S,P;s; 
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
r,i,ch;R,IH,CH;s; IH
ea,s,t;e,S,T;s; 
t,o;T,UW;s; UW
b,oo,t;B,UW,T;s; UW
wh,a,t;W,AH,T;s; 
h,e;HH,IY;s; IY
b,e;B,IY;s; IY
n,o,t;N,AA,T;s; AA
i,n;IH,N;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
c,a,n;K,AE,N;s; AE
a;AH;s; 
d,e,v,i,l;D,IH,V,ǝ,L;s; IH
i,n;IH,N;s; IH
e,v,i,l,s;IY,V,AH,L,Z;s; IY
t,o;T,UW;s; UW
t,o,p;T,AA,P;s; AA
m,a,c,b,e,th;M,AH,K,B,EH,TH;s; 
b,ou,n,d,l,e,ss;B,AW,N,D,L,AH,S;s; 
i,n;IH,N;s; IH
n,a,t,re;N,EY,CH,ER;s; EY
i,s;IH,Z;s; IH
a;AH;s; 
t,y,r,a,nn,n,y;T,IH,r,ǝ,N,ǝ,IH;s; IH,IH
i,t;IH,T;s; IH
h,a,th;HH,AE,TH;s; AE
b,ee,n;B,IH,N;s; IH
o,f;AH,V;s; 
th,e;DH,AH;s; 
th,h,r,ne;TH,r,OW,N;s; 
a,n,d;AH,N,D;s; 
f,a,ll;F,AA,L;s; AA
o,f;AH,V;s; 
