a,s;AE,Z;s; AE
b,i,r,d,s;B,ɐ,R,D,Z;s; 
d,o;D,OW;s; 
w,i,th;W,IH,DH;s; IH
wh,a,t;W,AH,T;s; 
i;AY;s; AY
g,e,t;G,EH,T;s; 
i;AY;s; AY
m,ea,n;M,IY,N;s; IY
a,n,d;AH,N,D;s; 
s,o;S,OW;s; 
d,o;D,OW;s; 
wh,h,y;ʍ,ǝ,IH;s; IH
i;AY;s; AY
p,oo,r;P,UH,R;s; UH
b,i,r,d,s;B,ɐ,R,D,Z;s; 
n,o,t;N,AA,T;s; AA
s,e,t;S,EH,T;s; 
f,o,r;F,AO,R;s; AO
m,y;M,AY;s; AY
i,s;IH,Z;s; IH
n,o,t;N,AA,T;s; AA
d,ea,d;D,EH,D;s; 
f,o,r;F,AO,R;s; AO
a,ll;AA,L;s; AA
y,ou,r;Y,AO,R;s; AO
w,i,ll;W,IH,L;s; IH
y,ou;Y,UW;s; UW
d,o;D,OW;s; 
f,o,r;F,AO,R;s; AO
a;AH;s; 
th,e,n;DH,EH,N;s; 
b,u,y;B,ə,IH;s; IH
t,o;T,UW;s; UW
s,e,ll;S,EH,L;s; 
a,g,ai,n;ǝ,ɡ,EH,N;s; 
w,a,s;W,AA,Z;s; AA
m,y;M,AY;s; AY
a;AH;s; 
wh,a,t;W,AH,T;s; 
i,s;IH,Z;s; IH
a;AH;s; 
a,n,d;AH,N,D;s; 
b,e;B,IY;s; IY
a,ll;AA,L;s; AA
th,a,t;DH,AE,T;s; AE
d,o;D,OW;s; 
s,o;S,OW;s; 
a,n,d;AH,N,D;s; 
m,u,s,t;M,AH,S,T;s; 
a,ll;AA,L;s; AA
b,e;B,IY;s; IY
th,a,t;DH,AE,T;s; AE
s,w,ea,r;S,W,EH,R;s; 
a,n,d;AH,N,D;s; 
wh,o;HH,UW;s; UW
m,u,s,t;M,AH,S,T;s; 
th,e,m;DH,EH,M;s; 
th,e,n;DH,EH,N;s; 
th,e;DH,AH;s; 
l,ia,r,s;L,AY,ER,Z;s; AY
a,n,d;AH,N,D;s; 
f,oo,l,s;F,UW,L,Z;s; UW
f,o,r;F,AO,R;s; AO
l,ia,r,s;L,AY,ER,Z;s; AY
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
b,ea,t;B,IY,T;s; IY
th,e;DH,AH;s; 
m,e,n;M,EH,N;s; 
a,n,d;AH,N,D;s; 
u,p;AH,P;s; 
th,e,m;DH,EH,M;s; 
i,f;IH,F;s; IH
h,e;HH,IY;s; IY
w,re;W,ER;s; 
d,ea,d;D,EH,D;s; 
w,ee,p;W,IY,P;s; IY
f,o,r;F,AO,R;s; AO
h,i,m;HH,IH,M;s; IH
i,f;IH,F;s; IH
y,ou;Y,UW;s; UW
n,o,t;N,AA,T;s; AA
i,t;IH,T;s; IH
w,re;W,ER;s; 
a;AH;s; 
g,oo,d;G,UH,D;s; UH
s,i,g,n;S,ǝ,IH,N;s; IH
th,a,t;DH,AE,T;s; AE
i;AY;s; AY
a;AH;s; 
th,ou;DH,AW;s; 
th,ou;DH,AW;s; 
sh,a,g,-,ea,r,e,d;SH,AW,G,-,ˌ,IY,R,D;s; IY
v,i,ll,ai,n;V,IH,L,AH,N;s; IH
h,e;HH,IY;s; IY
m,e;M,IY;s; IY
r,u,n;r,ɤ,N;s; 
i;AY;s; AY
y,ou;Y,UW;s; UW
