and,'AH N D', s, 
ten,'T EH N', s, 
i,'AY', s, AY
can,'K AE N', s, AE
well,'W EH L', s, 
within,'W IH DH IH N', s, IH IH
the,'DH AH', s, 
of,'AH V', s, 
i,'AY', s, AY
seen,'S IY N', s, IY
dreadful,'D R EH D F AH L', s, 
and,'AH N D', s, 
but,'B AH T', s, 
this,'DH IH S', s, IH
hath,'HH AE TH', s, AE
unnatural,'ɤ N N AW T r ǝ L', s, 
even,'IY V IH N', s, IY IH
the,'DH AH', s, 
deed,'D IY D', s, IY
on,'AA N', s, AA
last,'L AE S T', s, AE
a,'AH', s, 
falcon,'F AE L K AH N', s, AE
in,'IH N', s, IH
of,'AH V', s, 
was,'W AA Z', s, AA
by,'B AY', s, AY
a,'AH', s, 
mousing,'M ǝ UH S IH N', s, UH IH
at,'AE T', s, AE
and,'AH N D', s, 
said,'S EH D', s, 
eat,'IY T', s, IY
each,'IY CH', s, IY
go,'G OW', s, 
with,'W IH DH', s, IH
you,'Y UW', s, UW
and,'AH N D', s, 
with,'W IH DH', s, IH
that,'DH AE T', s, AE
good,'G UH D', s, UH
of,'AH V', s, 
bad,'B AE D', s, AE
and,'AH N D', s, 
friends,'F R EH N D Z', s, 
of,'AH V', s, 
foes,'F OW Z', s, 
