wh,e,n;ʍ,e,N;s; 
sh,a,ll;SH,AE,L;s; AE
w,e;W,IY;s; IY
m,ee,t;M,IY,T;s; IY
a,g,ai,n;ǝ,ɡ,EH,N;s; 
i,n;IH,N;s; IH
o,r;AO,R;s; AO
i,n;IH,N;s; IH
r,ai,n;r,EH,N;s; 
th,e;DH,AH;s; 
i;AY;s; AY
f,ai,r;F,EH,R;s; 
i,s;IH,Z;s; IH
a,n,d;AH,N,D;s; 
i,s;IH,Z;s; IH
f,ai,r;F,EH,R;s; 
th,e;DH,AH;s; 
f,o,g;F,AA,G;s; AA
a,n,d;AH,N,D;s; 
f,i,l,th,h,y;F,IH,L,TH,ǝ,IH;s; IH,IH
ai,r;EH,R;s; 
h,a,s,t;HH,AE,S,T;s; AE
th,ou;DH,AW;s; 
b,ee,n;B,IH,N;s; IH
a;AH;s; 
h,a,d;HH,AE,D;s; AE
i,n;IH,N;s; IH
l,a,p;L,AE,P;s; AE
a,n,d;AH,N,D;s; 
a,n,d;AH,N,D;s; 
a,n,d;AH,N,D;s; 
m,e;M,IY;s; IY
q,uo,th;K,ɒ,TH;s; 
i;AY;s; AY
th,ee;DH,IY;s; IY
th,e;DH,AH;s; 
c,r,ie,s;K,R,AY,Z;s; AY
t,o;T,UW;s; UW
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
b,u,t;B,AH,T;s; 
i,n;IH,N;s; IH
a;AH;s; 
s,ai,l;S,EH,L;s; 
a,n,d;AH,N,D;s; 
a;AH;s; 
r,a,t;R,AE,T;s; AE
a;AH;s; 
t,ai,l;T,EH,L;s; 
d,o;D,OW;s; 
d,o;D,OW;s; 
a,n,d;AH,N,D;s; 
d,o;D,OW;s; 
a,r,t;AA,R,T;s; AA
i;AY;s; AY
m,y,s,e,l,f;M,AY,S,EH,L,F;s; AY
a,ll;AA,L;s; AA
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
v,e,r,y;V,EH,R,IY;s; IY
p,o,r,t,s;P,AO,R,T,S;s; AO
a,ll;AA,L;s; AA
th,e;DH,AH;s; 
q,ua,r,t,e,r,s;K,W,AO,R,T,ER,Z;s; AO
th,a,t;DH,AE,T;s; AE
c,a,r,d;K,AA,R,D;s; AA
d,r,ai,n;D,r,EH,N;s; 
h,i,m;HH,IH,M;s; IH
a,s;AE,Z;s; AE
s,l,ee,p;S,L,IY,P;s; IY
sh,a,ll;SH,AE,L;s; AE
n,ei,th,e,r;N,EH,DH,ǝ,R;s; 
n,o,r;N,AO,R;s; AO
u,p,o,n;AH,P,AA,N;s; AA
h,i,s;HH,IH,Z;s; IH
l,i,d;L,IH,D;s; IH
h,e;HH,IY;s; IY
sh,a,ll;SH,AE,L;s; AE
a;AH;s; 
m,a,n;M,AE,N;s; AE
f,o,r,b,i,d;F,ǝ,R,B,IH,D;s; IH
sh,a,ll;SH,AE,L;s; AE
h,e;HH,IY;s; IY
p,ea,k;P,IY,K;s; IY
a,n,d;AH,N,D;s; 
