no,'N OW', s, 
composition,'K AA M P AH Z IH SH AH N', s, AA IH
in,'IH N', s, IH
that,'DH AE T', s, AE
them,'DH EH M', s, 
credit,'K R EH D AH T', s, 
and,'AH N D', s, 
a,'AH', s, 
forty,'F AO R T IY', s, AO IY
it,'IH T', s, IH
is,'IH Z', s, IH
to,'T UW', s, UW
i,'AY', s, AY
do,'D OW', s, 
not,'N AA T', s, AA
so,'S OW', s, 
me,'M IY', s, IY
in,'IH N', s, IH
the,'DH AH', s, 
error,'e r ǝ R', s, 
but,'B AH T', s, 
the,'DH AH', s, 
main,'M EH N', s, 
i,'AY', s, AY
do,'D OW', s, 
appprve,'AH P R UW V', s, UW
in,'IH N', s, IH
fearful,'F IH R F AH L', s, IH
the,'DH AH', s, 
you,'Y UW', s, UW
by,'B AY', s, AY
this,'DH IH S', s, IH
in,'IH N', s, IH
all,'AA L', s, AA
not,'N AA T', s, AA
for,'F AO R', s, AO
certain,'S ɐ R T ǝ N', s, 
then,'DH EH N', s, 
for,'F AO R', s, AO
cyprus,'S IH P r ǝ S', s, IH
marcus,'M AA R K AH S', s, AA
is,'IH Z', s, IH
not,'N AA T', s, AA
he,'HH IY', s, IY
in,'IH N', s, IH
from,'F R AH M', s, 
us,'AH S', s, 
to,'T UW', s, UW
him,'HH IH M', s, IH
othello,'ǝ TH e L OW', s, 
we,'W IY', s, IY
must,'M AH S T', s, 
employ,'e M P L ǝ IH', s, IH
you,'Y UW', s, UW
against,'AH G EH N S T', s, 
the,'DH AH', s, 
enemy,'EH N AH M IY', s, IY
ottoman,'AA T AH M AH N', s, AA
i,'AY', s, AY
did,'D IH D', s, IH
not,'N AA T', s, AA
see,'S IY', s, IY
you,'Y UW', s, UW
we,'W IY', s, IY
your,'Y AO R', s, AO
and,'AH N D', s, 
your,'Y AO R', s, AO
whhy,'ʍ ǝ IH', s, IH
the,'DH AH', s, 
matter,'M AW T ǝ R', s, 
he,'HH IY', s, IY
be,'B IY', s, IY
that,'DH AE T', s, AE
in,'IH N', s, IH
this,'DH IH S', s, IH
hath,'HH AE TH', s, AE
thus,'DH ɤ S', s, 
your,'Y AO R', s, AO
of,'AH V', s, 
and,'AH N D', s, 
you,'Y UW', s, UW
of,'AH V', s, 
the,'DH AH', s, 
bloody,'B L AH D IY', s, IY
book,'B UH K', s, UH
of,'AH V', s, 
you,'Y UW', s, UW
shall,'SH AE L', s, AE
read,'r e D', s, 
in,'IH N', s, IH
the,'DH AH', s, 
after,'AW F T ǝ R', s, 
your,'Y AO R', s, AO
yea,'Y EH', s, 
our,'OW R', s, 
son,'S AO ̃', s, AO
stood,'S T UH D', s, UH
in,'IH N', s, IH
your,'Y AO R', s, AO
action,'AE K SH AH N', s, AE
we,'W IY', s, IY
very,'V EH R IY', s, IY
for,'F AO R', s, AO
what,'W AH T', s, 
in,'IH N', s, IH
your,'Y AO R', s, AO
part,'P AA R T', s, AA
can,'K AE N', s, AE
you,'Y UW', s, UW
to,'T UW', s, UW
this,'DH IH S', s, IH
to,'T UW', s, UW
this,'DH IH S', s, IH
is,'IH Z', s, IH
no,'N OW', s, 
proof,'P R UW F', s, UW
and,'AH N D', s, 
test,'T EH S T', s, 
than,'DH AE N', s, AE
thin,'TH IH N', s, IH
habits,'HH AE B AH T S', s, AE
and,'AH N D', s, 
poor,'P UH R', s, UH
likelihoods,'L ǝ IH K L IH ˌ UH D Z', s, IH IH UH
of,'AH V', s, 
modern,'M ɒ D ǝ R N', s, 
do,'D OW', s, 
prefer,'P r IH F ɐ R', s, IH
against,'AH G EH N S T', s, 
him,'HH IH M', s, IH
it,'IH T', s, IH
othello,'ǝ TH e L OW', s, 
i,'AY', s, AY
think,'TH IH NG K', s, IH
this,'DH IH S', s, IH
win,'W IH N', s, IH
my,'M AY', s, AY
too,'T UW', s, UW
good,'G UH D', s, UH
up,'AH P', s, 
this,'DH IH S', s, IH
mangled,'M AE NG G AH L D', s, AE
matter,'M AW T ǝ R', s, 
at,'AE T', s, AE
the,'DH AH', s, 
best,'B EH S T', s, 
men,'M EH N', s, 
do,'D OW', s, 
their,'DH EH R', s, 
broken,'B R OW K AH N', s, 
weapons,'W EH P AH N Z', s, 
than,'DH AE N', s, AE
their,'DH EH R', s, 
let,'L EH T', s, 
me,'M IY', s, IY
speak,'S P IY K', s, IY
and,'AH N D', s, 
a,'AH', s, 
as,'AE Z', s, AE
a,'AH', s, 
or,'AO R', s, AO
step,'S T EH P', s, 
into,'IH N T UW', s, IH UW
your,'Y AO R', s, AO
when,'ʍ e N', s, 
remedies,'R EH M AH D IY Z', s, IY
past,'P AW S T', s, 
the,'DH AH', s, 
ended,'EH N D AH D', s, 
by,'B AY', s, AY
seeing,'S IY IH N', s, IY IH
the,'DH AH', s, 
worst,'W AO R S T', s, AO
on,'AA N', s, AA
depended,'D IH P EH N D AH D', s, IH
to,'T UW', s, UW
mourn,'M AO R N', s, AO
a,'AH', s, 
miscchief,'M IH S CH AH F', s, IH
that,'DH AE T', s, AE
is,'IH Z', s, IH
past,'P AW S T', s, 
and,'AH N D', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
to,'T UW', s, UW
miscchief,'M IH S CH AH F', s, IH
on,'AA N', s, AA
what,'W AH T', s, 
cannot,'K AE N AA T', s, AE AA
be,'B IY', s, IY
preserved,'P r IH Z ɐ R V IH D', s, IH IH
when,'ʍ e N', s, 
a,'AH', s, 
the,'DH AH', s, 
that,'DH AE T', s, AE
smiles,'S M ǝ IH L Z', s, IH
steals,'S T IY L Z', s, IY
from,'F R AH M', s, 
the,'DH AH', s, 
thief,'TH IY F', s, IY
he,'HH IY', s, IY
robs,'R AA B Z', s, AA
himself,'HH IH M S EH L F', s, IH
that,'DH AE T', s, AE
spends,'S P EH N D Z', s, 
a,'AH', s, 
grief,'G R IY F', s, IY
the,'DH AH', s, 
with,'W IH DH', s, IH
a,'AH', s, 
most,'M OW S T', s, 
mighty,'M ǝ IH T ǝ IH', s, IH IH
for,'F AO R', s, AO
cyprus,'S IH P r ǝ S', s, IH
othello,'ǝ TH e L OW', s, 
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
is,'IH Z', s, IH
best,'B EH S T', s, 
to,'T UW', s, UW
you,'Y UW', s, UW
and,'AH N D', s, 
we,'W IY', s, IY
a,'AH', s, 
of,'AH V', s, 
most,'M OW S T', s, 
sufficiency,'S AH F IH SH AH N S IY', s, IH IY
yet,'Y EH T', s, 
a,'AH', s, 
mistress,'M IH S T R AH S', s, IH
of,'AH V', s, 
effects,'IH F EH K T S', s, IH
a,'AH', s, 
on,'AA N', s, AA
you,'Y UW', s, UW
you,'Y UW', s, UW
must,'M AH S T', s, 
therefre,'DH EH R F AO R', s, AO
be,'B IY', s, IY
content,'K ǝ N T e N T', s, 
to,'T UW', s, UW
slubber,'S L ɤ B ǝ R', s, 
the,'DH AH', s, 
gloss,'G L AO S', s, AO
of,'AH V', s, 
your,'Y AO R', s, AO
with,'W IH DH', s, IH
this,'DH IH S', s, IH
stubborn,'S T ɤ B ǝ R N', s, 
and,'AH N D', s, 
whhy,'ʍ ǝ IH', s, IH
at,'AE T', s, AE
what,'W AH T', s, 
you,'Y UW', s, UW
be,'B IY', s, IY
it,'IH T', s, IH
as,'AE Z', s, AE
you,'Y UW', s, UW
shall,'SH AE L', s, AE
either,'EH DH ǝ R', s, 
for,'F AO R', s, AO
or,'AO R', s, AO
going,'G OW IH N', s, IH
affair,'AH F EH R', s, 
cries,'K R AY Z', s, AY
hate,'AW S T', s, 
and,'AH N D', s, 
speed,'S P IY D', s, IY
must,'M AH S T', s, 
it,'IH T', s, IH
at,'AE T', s, AE
meet,'M IY T', s, IY
again,'ǝ ɡ EH N', s, 
othello,'ǝ TH e L OW', s, 
behind,'B IH ə IH N D', s, IH IH
and,'AH N D', s, 
he,'HH IY', s, IY
shall,'SH AE L', s, AE
our,'OW R', s, 
commission,'K AH M IH SH AH N', s, IH
to,'T UW', s, UW
you,'Y UW', s, UW
with,'W IH DH', s, IH
of,'AH V', s, 
and,'AH N D', s, 
respect,'R IH S P EH K T', s, IH
as,'AE Z', s, AE
doth,'D AO TH', s, AO
import,'IH M P AO R T', s, IH AO
you,'Y UW', s, UW
let,'L EH T', s, 
it,'IH T', s, IH
be,'B IY', s, IY
so,'S OW', s, 
good,'G UH D', s, UH
to,'T UW', s, UW
and,'AH N D', s, 
if,'IH F', s, IH
no,'N OW', s, 
lack,'L AE K', s, AE
your,'Y AO R', s, AO
son-in-law,'S ɤ N - IH N - ˌ L AO', s, IH AO
is,'IH Z', s, IH
far,'F AA R', s, AA
fair,'F EH R', s, 
than,'DH AE N', s, AE
black,'B L AE K', s, AE
