lads,'L AE D Z', s, AE
our,'OW R', s, 
wars,'W AO R Z', s, AO
the,'DH AH', s, 
desperte,'D EH S P R IH T', s, IH
tempest,'T EH M P AH S T', s, 
hath,'HH AE TH', s, AE
so,'S OW', s, 
the,'DH AH', s, 
that,'DH AE T', s, AE
their,'DH EH R', s, 
a,'AH', s, 
ship,'SH IH P', s, IH
of,'AH V', s, 
hath,'HH AE TH', s, AE
seen,'S IY N', s, IY
a,'AH', s, 
grievous,'G R IY V AH S', s, IY
wrack,'R AE K', s, AE
and,'AH N D', s, 
on,'AA N', s, AA
most,'M OW S T', s, 
part,'P AA R T', s, AA
of,'AH V', s, 
their,'DH EH R', s, 
fleet,'F L IY T', s, IY
the,'DH AH', s, 
ship,'SH IH P', s, IH
is,'IH Z', s, IH
put,'P UH T', s, UH
in,'IH N', s, IH
a,'AH', s, 
lieutenant,'L UW T EH N AH N T', s, UW
to,'T UW', s, UW
the,'DH AH', s, 
moor,'M OW R', s, 
othello,'ǝ TH e L OW', s, 
is,'IH Z', s, IH
on,'AA N', s, AA
the,'DH AH', s, 
moor,'M OW R', s, 
himself,'HH IH M S EH L F', s, IH
at,'AE T', s, AE
sea,'S IY', s, IY
and,'AH N D', s, 
is,'IH Z', s, IH
in,'IH N', s, IH
full,'F UH L', s, UH
commission,'K AH M IH SH AH N', s, IH
for,'F AO R', s, AO
cyprus,'S IH P r ǝ S', s, IH
but,'B AH T', s, 
this,'DH IH S', s, IH
he,'HH IY', s, IY
speak,'S P IY K', s, IY
of,'AH V', s, 
comfort,'K ɤ M F ǝ R T', s, 
touching,'T ɤ T SH IH N', s, IH
the,'DH AH', s, 
turkish,'T ɐ R K IH SH', s, IH
loss,'L AO S', s, AO
yet,'Y EH T', s, 
he,'HH IY', s, IY
looks,'L UH K S', s, UH
sadly,'S AE D L IY', s, AE IY
and,'AH N D', s, 
the,'DH AH', s, 
moor,'M OW R', s, 
be,'B IY', s, IY
for,'F AO R', s, AO
wre,'W ER', s, 
parted,'P AA R T IH D', s, AA IH
with,'W IH DH', s, IH
and,'AH N D', s, 
tempest,'T EH M P AH S T', s, 
do,'D OW', s, 
so,'S OW', s, 
for,'F AO R', s, AO
every,'e V r ǝ IH', s, IH
is,'IH Z', s, IH
of,'AH V', s, 
