m,y;M,AY;s; AY
s,t,a,n,d,s;S,T,AE,N,D,Z;s; AE
i,n;IH,N;s; IH
h,ie;ǝ,IH;s; IH
th,ee;DH,IY;s; IY
a,n,d;AH,N,D;s; 
d,o;D,OW;s; 
u,p,o,n;AH,P,AA,N;s; AA
a,l,t,a,r;AA,L,T,ǝ,R;s; AA
wh,e,n;ʍ,e,N;s; 
m,y;M,AY;s; AY
m,ai,d,e,n;M,EY,D,AH,N;s; EY
p,r,ie,s,t,s;P,R,IY,S,T,S;s; IY
m,e,t;M,EH,T;s; 
th,e;DH,AH;s; 
a,ll;AA,L;s; AA
r,e,v,ea,l;R,IH,V,IY,L;s; IH,IY
th,ou;DH,AW;s; 
a,t;AE,T;s; AE
s,ea;S,IY;s; IY
t,o;T,UW;s; UW
m,ou,r,n;M,AO,R,N;s; AO
c,r,o,ss,e,s;K,R,AO,S,IH,Z;s; AO,IH
w,i,th;W,IH,DH;s; IH
c,a,ll;K,AO,L;s; AO
a,n,d;AH,N,D;s; 
th,e,m;DH,EH,M;s; 
r,e,p,e,t,i,t,io,n;R,EH,P,AH,T,IH,SH,AH,N;s; IH
t,o;T,UW;s; UW
th,e;DH,AH;s; 
o,r;AO,R;s; AO
p,e,r,f,o,r,m;P,ǝ,R,F,AO,R,M;s; AO
m,y;M,AY;s; AY
o,r;AO,R;s; AO
th,ou;DH,AW;s; 
i,n;IH,N;s; IH
w,oe;W,OW;s; 
d,o;D,OW;s; 
a,n,d;AH,N,D;s; 
b,y;B,AY;s; AY
m,y;M,AY;s; AY
a,n,d;AH,N,D;s; 
t,e,ll;T,EH,L;s; 
d,r,ea,m;D,R,IY,M;s; IY
