that,'DH AE T', s, AE
wre,'W ER', s, 
to,'T UW', s, UW
at,'AE T', s, AE
in,'IH N', s, IH
to,'T UW', s, UW
it,'IH T', s, IH
for,'F AO R', s, AO
who,'HH UW', s, UW
digs,'D IH G Z', s, IH
do,'D OW', s, 
down,'D ǝ UH N', s, UH
mountain,'M AW N T AH N', s, 
to,'T UW', s, UW
cast,'K AW S T', s, 
up,'AH P', s, 
a,'AH', s, 
o,'OW', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
even,'IY V IH N', s, IY IH
our,'OW R', s, 
but,'B AH T', s, 
felt,'F EH L T', s, 
and,'AH N D', s, 
seen,'S IY N', s, IY
with,'W IH DH', s, IH
but,'B AH T', s, 
to,'T UW', s, UW
being,'B IY IH NG', s, IY IH
do,'D OW', s, 
my,'M AY', s, AY
best,'B EH S T', s, 
o,'OW', s, 
too,'T UW', s, UW
true,'T R UW', s, UW
our,'OW R', s, 
cheeks,'CH IY K S', s, IY
and,'AH N D', s, 
do,'D OW', s, 
witness,'W IH T N AH S', s, IH
it,'IH T', s, IH
the,'DH AH', s, 
gods,'G AA D Z', s, AA
of,'AH V', s, 
protect,'P R AH T EH K T', s, 
you,'Y UW', s, UW
and,'AH N D', s, 
for,'F AO R', s, AO
you,'Y UW', s, UW
o,'OW', s, 
your,'Y AO R', s, AO
sweet,'S W IY T', s, IY
that,'DH AE T', s, AE
the,'DH AH', s, 
strict,'S T R IH K T', s, IH
had,'HH AE D', s, AE
you,'Y UW', s, UW
had,'HH AE D', s, AE
to,'T UW', s, UW
blessed,'B L e S IH D', s, IH
with,'W IH DH', s, IH
i,'AY', s, AY
myself,'M AY S EH L F', s, AY
who,'HH UW', s, UW
shall,'SH AE L', s, AE
not,'N AA T', s, AA
be,'B IY', s, IY
dear,'D IY R', s, IY
to,'T UW', s, UW
my,'M AY', s, AY
respect,'R IH S P EH K T', s, IH
than,'DH AE N', s, AE
yours,'Y UH R Z', s, UH
my,'M AY', s, AY
lord,'L AO R D', s, AO
oath,'OW TH', s, 
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
sworn,'S W AO R N', s, AO
to,'T UW', s, UW
do,'D OW', s, 
but,'B AH T', s, 
a,'AH', s, 
never,'N e V ǝ R', s, 
shall,'SH AE L', s, AE
be,'B IY', s, IY
thou,'DH AW', s, 
not,'N AA T', s, AA
do,'D OW', s, 
a,'AH', s, 
in,'IH N', s, IH
the,'DH AH', s, 
so,'S OW', s, 
soon,'S UW N', s, UW
to,'T UW', s, UW
yield,'Y IY L D', s, IY
thee,'DH IY', s, IY
so,'S OW', s, 
profit,'P R AA F AH T', s, AA
let,'L EH T', s, 
not,'N AA T', s, AA
is,'IH Z', s, IH
but,'B AH T', s, 
cold,'K OW L D', s, 
in,'IH N', s, IH
bosom,'B UH Z AH M', s, UH
too,'T UW', s, UW
nor,'N AO R', s, AO
let,'L EH T', s, 
even,'IY V IH N', s, IY IH
women,'W IH M AH N', s, IH
cast,'K AW S T', s, 
off,'AO F', s, AO
melt,'M EH L T', s, 
thee,'DH IY', s, IY
but,'B AH T', s, 
be,'B IY', s, IY
a,'AH', s, 
to,'T UW', s, UW
the,'DH AH', s, 
then,'DH EH N', s, 
the,'DH AH', s, 
gods,'G AA D Z', s, AA
she,'SH IY', s, IY
for,'F AO R', s, AO
only,'OW N L IY', s, IY
death,'D EH TH', s, 
thou,'DH AW', s, 
art,'AA R T', s, AA
whhy,'ʍ ǝ IH', s, IH
do,'D OW', s, 
you,'Y UW', s, UW
keep,'K IY P', s, IY
my,'M AY', s, AY
is,'IH Z', s, IH
not,'N AA T', s, AA
with,'W IH DH', s, IH
you,'Y UW', s, UW
do,'D OW', s, 
not,'N AA T', s, AA
your,'Y AO R', s, AO
blood,'B L AH D', s, 
with,'W IH DH', s, IH
you,'Y UW', s, UW
a,'AH', s, 
nuse,'N ER S', s, 
of,'AH V', s, 
me,'M IY', s, IY
lord,'L AO R D', s, AO
your,'Y AO R', s, AO
's,'EH S', s, 
with,'W IH DH', s, IH
this,'DH IH S', s, IH
woe,'W OW', s, 
me,'M IY', s, IY
your,'Y AO R', s, AO
the,'DH AH', s, 
sea,'S IY', s, IY
with,'W IH DH', s, IH
the,'DH AH', s, 
air,'EH R', s, 
is,'IH Z', s, IH
and,'AH N D', s, 
it,'IH T', s, IH
and,'AH N D', s, 
sharpens,'SH AA R P AH N Z', s, AA
the,'DH AH', s, 
by,'B AY', s, AY
the,'DH AH', s, 
arm,'AA R M', s, AA
with,'W IH DH', s, IH
i,'AY', s, AY
the,'DH AH', s, 
your,'Y AO R', s, AO
and,'AH N D', s, 
with,'W IH DH', s, IH
than,'DH AE N', s, AE
heart,'HH AA R T', s, AA
we,'W IY', s, IY
every,'e V r ǝ IH', s, IH
him,'HH IH M', s, IH
when,'ʍ e N', s, 
he,'HH IY', s, IY
shall,'SH AE L', s, AE
and,'AH N D', s, 
our,'OW R', s, 
to,'T UW', s, UW
all,'AA L', s, AA
reports,'r IH P AO R T S', s, IH AO
thus,'DH ɤ S', s, 
blasted,'B L AW S T IH D', s, IH
he,'HH IY', s, IY
will,'W IH L', s, IH
repent,'R IH P EH N T', s, IH
the,'DH AH', s, 
breadth,'B R EH D TH', s, 
of,'AH V', s, 
his,'HH IH Z', s, IH
great,'G r e T', s, 
voyge,'V OY AH JH', s, 
both,'B OW TH', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
and,'AH N D', s, 
me,'M IY', s, IY
that,'DH AE T', s, AE
we,'W IY', s, IY
taken,'T EY K AH N', s, EY
no,'N OW', s, 
to,'T UW', s, UW
your,'Y AO R', s, AO
best,'B EH S T', s, 
go,'G OW', s, 
i,'AY', s, AY
you,'Y UW', s, UW
and,'AH N D', s, 
be,'B IY', s, IY
cheerful,'CH IH R F AH L', s, IH
again,'ǝ ɡ EH N', s, 
reseve,'R IH Z ER V', s, IH
that,'DH AE T', s, AE
did,'D IH D', s, IH
steal,'S T IY L', s, IY
the,'DH AH', s, 
of,'AH V', s, 
and,'AH N D', s, 
old,'OW L D', s, 
not,'N AA T', s, AA
for,'F AO R', s, AO
me,'M IY', s, IY
i,'AY', s, AY
can,'K AE N', s, AE
go,'G OW', s, 
hme,'OW M', s, 
i,'AY', s, AY
good,'G UH D', s, UH
for,'F AO R', s, AO
an,'AE N', s, AE
at,'AE T', s, AE
the,'DH AH', s, 
least,'L IY S T', s, IY
what,'W AH T', s, 
i,'AY', s, AY
said,'S EH D', s, 
you,'Y UW', s, UW
my,'M AY', s, AY
sweet,'S W IY T', s, IY
lady,'L EY D IY', s, EY IY
for,'F AO R', s, AO
a,'AH', s, 
softly,'S AO F T L IY', s, AO IY
do,'D OW', s, 
not,'N AA T', s, AA
your,'Y AO R', s, AO
blood,'B L AH D', s, 
what,'W AH T', s, 
i,'AY', s, AY
must,'M AH S T', s, 
of,'AH V', s, 
you,'Y UW', s, UW
whhy,'ʍ ǝ IH', s, IH
you,'Y UW', s, UW
foolish,'F UW L IH SH', s, UW IH
can,'K AE N', s, AE
it,'IH T', s, IH
be,'B IY', s, IY
i,'AY', s, AY
think,'TH IH NG K', s, IH
turn,'T ɐ R N', s, 
a,'AH', s, 
child,'CH AY L D', s, AY
again,'ǝ ɡ EH N', s, 
that,'DH AE T', s, AE
she,'SH IY', s, IY
is,'IH Z', s, IH
dead,'D EH D', s, 
not,'N AA T', s, AA
the,'DH AH', s, 
to,'T UW', s, UW
is,'IH Z', s, IH
not,'N AA T', s, AA
to,'T UW', s, UW
preseve,'P R AH Z ER V', s, 
she,'SH IY', s, IY
died,'D AY D', s, AY
at,'AE T', s, AE
so,'S OW', s, 
who,'HH UW', s, UW
can,'K AE N', s, AE
cross,'K R AO S', s, AO
it,'IH T', s, IH
unless,'ɤ N L e S', s, 
you,'Y UW', s, UW
