what,'W AH T',s,''
ho,'HH OW',s,''
pilch,'P IH L CH',s,'IH'
what,'W AH T',s,''
i,'AY',s,'AY'
look,'L UH K',s,'UH'
thou,'DH AW',s,''
or,'AO R',s,'AO'
thee,'DH IY',s,'IY'
with,'W IH DH',s,'IH'
a,'AH',s,''
alas,'AH L AE S',s,'AE'
poor,'P UH R',s,'UH'
souls,'S OW L Z',s,''
it,'IH T',s,'IH'
grieved,'G r IY V IH D',s,'IY IH'
my,'M AY',s,'AY'
heart,'HH AA R T',s,'AA'
to,'T UW',s,'UW'
what,'W AH T',s,''
cries,'K R AY Z',s,'AY'
to,'T UW',s,'UW'
us,'AH S',s,''
to,'T UW',s,'UW'
them,'DH EH M',s,''
when,'ʍ e N',s,''
we,'W IY',s,'IY'
whhy,'ʍ ǝ IH',s,'IH'
as,'AE Z',s,'AE'
men,'M EH N',s,''
do,'D OW',s,''
the,'DH AH',s,''
great,'G r e T',s,''
ones,'W AH N Z',s,''
eat,'IY T',s,'IY'
up,'AH P',s,''
the,'DH AH',s,''
ones,'W AH N Z',s,''
i,'AY',s,'AY'
can,'K AE N',s,'AE'
our,'OW R',s,''
rich,'R IH CH',s,'IH'
to,'T UW',s,'UW'
so,'S OW',s,''
as,'AE Z',s,'AE'
to,'T UW',s,'UW'
a,'AH',s,''
he,'HH IY',s,'IY'
and,'AH N D',s,''
tumbles,'T AH M B AH L Z',s,''
driving,'D r ǝ IH V IH N',s,'IH IH'
the,'DH AH',s,''
poor,'P UH R',s,'UH'
him,'HH IH M',s,'IH'
and,'AH N D',s,''
at,'AE T',s,'AE'
last,'L AE S T',s,'AE'
devours,'D IH V AW ER Z',s,'IH'
them,'DH EH M',s,''
all,'AA L',s,'AA'
at,'AE T',s,'AE'
a,'AH',s,''
i,'AY',s,'AY'
on,'AA N',s,'AA'
the,'DH AH',s,''
land,'L AE N D',s,'AE'
who,'HH UW',s,'UW'
never,'N e V ǝ R',s,''
till,'T IH L',s,'IH'
the,'DH AH',s,''
parish,'P AE R IH SH',s,'AE IH'
and,'AH N D',s,''
all,'AA L',s,'AA'
no,'N OW',s,''
friend,'F R EH N D',s,''
cannot,'K AE N AA T',s,'AE AA'
you,'Y UW',s,'UW'
beg,'B EH G',s,''
them,'DH EH M',s,''
in,'IH N',s,'IH'
our,'OW R',s,''
country,'K AH N T R IY',s,'IY'
of,'AH V',s,''
gets,'G EH T S',s,''
with,'W IH DH',s,'IH'
than,'DH AE N',s,'AE'
we,'W IY',s,'IY'
can,'K AE N',s,'AE'
do,'D OW',s,''
with,'W IH DH',s,'IH'
gods,'G AA D Z',s,'AA'
forbid,'F ǝ R B IH D',s,'IH'
an,'AE N',s,'AE'
i,'AY',s,'AY'
a,'AH',s,''
gown,'G ǝ UH N',s,'UH'
put,'P UH T',s,'UH'
it,'IH T',s,'IH'
on,'AA N',s,'AA'
keep,'K IY P',s,'IY'
thee,'DH IY',s,'IY'
warm,'W AA R M',s,'AA'
me,'M IY',s,'IY'
a,'AH',s,''
handsme,'HH AE N S AH M',s,'AE'
thou,'DH AW',s,''
shalt,'SH AE L T',s,'AE'
go,'G OW',s,''
hme,'OW M',s,''
and,'AH N D',s,''
flesh,'F L EH SH',s,''
for,'F AO R',s,'AO'
fish,'F IH SH',s,'IH'
for,'F AO R',s,'AO'
and,'AH N D',s,''
and,'AH N D',s,''
and,'AH N D',s,''
thou,'DH AW',s,''
shalt,'SH AE L T',s,'AE'
be,'B IY',s,'IY'
you,'Y UW',s,'UW'
do,'D OW',s,''
you,'Y UW',s,'UW'
you,'Y UW',s,'UW'
whhy,'ʍ ǝ IH',s,'IH'
tell,'T EH L',s,''
you,'Y UW',s,'UW'
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
and,'AH N D',s,''
our,'OW R',s,''
the,'DH AH',s,''
good,'G UH D',s,'UH'
and,'AH N D',s,''
he,'HH IY',s,'IY'
so,'S OW',s,''
to,'T UW',s,'UW'
be,'B IY',s,'IY'
for,'F AO R',s,'AO'
his,'HH IH Z',s,'IH'
and,'AH N D',s,''
good,'G UH D',s,'UH'
marrry,'M AW r ǝ IH',s,'IH'
a,'AH',s,''
and,'AH N D',s,''
tell,'T EH L',s,''
you,'Y UW',s,'UW'
he,'HH IY',s,'IY'
hath,'HH AE TH',s,'AE'
a,'AH',s,''
fair,'F EH R',s,''
and,'AH N D',s,''
is,'IH Z',s,'IH'
and,'AH N D',s,''
princes,'P R IH N S AH Z',s,'IH'
and,'AH N D',s,''
from,'F R AH M',s,''
all,'AA L',s,'AA'
parts,'P AA R T S',s,'AA'
of,'AH V',s,''
