th,ou;DH,AW;s; 
n,o,t;N,AA,T;s; AA
m,a,r,k;M,AA,R,K;s; AA
th,e;DH,AH;s; 
wh,a,t;W,AH,T;s; 
h,e;HH,IY;s; IY
i;AY;s; AY
n,o;N,OW;s; 
f,r,ie,n,d;F,R,EH,N,D;s; 
w,i,ll;W,IH,L;s; IH
r,i,d;R,IH,D;s; IH
m,e;M,IY;s; IY
o,f;AH,V;s; 
th,i,s;DH,IH,S;s; IH
f,ea,r;F,IY,R;s; IY
w,a,s;W,AA,Z;s; AA
i,t;IH,T;s; IH
n,o,t;N,AA,T;s; AA
s,o;S,OW;s; 
i;AY;s; AY
n,o;N,OW;s; 
f,r,ie,n,d;F,R,EH,N,D;s; 
q,uo,th;K,ɒ,TH;s; 
h,e;HH,IY;s; IY
h,e;HH,IY;s; IY
i,t;IH,T;s; IH
a,n,d;AH,N,D;s; 
i,t;IH,T;s; IH
d,i,d;D,IH,D;s; IH
h,e;HH,IY;s; IY
n,o,t;N,AA,T;s; AA
a,n,d;AH,N,D;s; 
i,t;IH,T;s; IH
h,e;HH,IY;s; IY
o,n;AA,N;s; AA
m,e;M,IY;s; IY
a,s;AE,Z;s; AE
wh,o;HH,UW;s; UW
i;AY;s; AY
th,ou;DH,AW;s; 
th,e;DH,AH;s; 
m,a,n;M,AE,N;s; AE
th,a,t;DH,AE,T;s; AE
th,i,s;DH,IH,S;s; IH
t,e,rr,o,r;T,e,r,ǝ,R;s; 
f,r,o,m;F,R,AH,M;s; 
m,y;M,AY;s; AY
h,ea,r,t;HH,AA,R,T;s; AA
th,e;DH,AH;s; 
a,t;AE,T;s; AE
p,o,m,f,r,e,t;P,ɤ,M,F,r,IH,T;s; IH
g,o;G,OW;s; 
i;AY;s; AY
a,m;AE,M;s; AE
th,e;DH,AH;s; 
f,r,ie,n,d;F,R,EH,N,D;s; 
a,n,d;AH,N,D;s; 
w,i,ll;W,IH,L;s; IH
r,i,d;R,IH,D;s; IH
h,i,s;HH,IH,Z;s; IH
f,oe;F,OW;s; 
a,s;AE,Z;s; AE
f,u,ll;F,UH,L;s; UH
o,f;AH,V;s; 
a,s;AE,Z;s; AE
o,f;AH,V;s; 
b,l,oo,d;B,L,AH,D;s; 
b,o,th;B,OW,TH;s; 
i;AY;s; AY
o;OW;s; 
th,e;DH,AH;s; 
d,ee,d;D,IY,D;s; IY
w,re;W,ER;s; 
g,oo,d;G,UH,D;s; UH
f,o,r;F,AO,R;s; AO
th,e;DH,AH;s; 
d,e,v,i,l;D,IH,V,ǝ,L;s; IH
th,a,t;DH,AE,T;s; AE
t,o,l,d;T,OW,L,D;s; 
m,e;M,IY;s; IY
i;AY;s; AY
d,i,d;D,IH,D;s; IH
w,e,ll;W,EH,L;s; 
th,a,t;DH,AE,T;s; AE
th,i,s;DH,IH,S;s; IH
d,ee,d;D,IY,D;s; IY
i,s;IH,Z;s; IH
i,n;IH,N;s; IH
th,i,s;DH,IH,S;s; IH
d,ea,d;D,EH,D;s; 
t,o;T,UW;s; UW
th,e;DH,AH;s; 
b,ea,r;B,EH,R;s; 
th,e;DH,AH;s; 
r,e,s,t;R,EH,S,T;s; 
a,n,d;AH,N,D;s; 
th,e,m;DH,EH,M;s; 
g,r,ea,t;G,r,e,T;s; 
w,i,th,i,n;W,IH,DH,IH,N;s; IH,IH
th,i,s;DH,IH,S;s; IH
c,o,ff,i,n;K,AO,F,IH,N;s; AO,IH
i;AY;s; AY
p,r,e,s,e,n,t;P,r,IH,Z,e,N,T;s; IH
f,ea,r;F,IY,R;s; IY
h,e,r,ei,n;ˌ,IY,R,IH,N;s; IY,IH
a,ll;AA,L;s; AA
th,e;DH,AH;s; 
o,f;AH,V;s; 
g,r,ea,t,e,s,t;G,r,e,T,ǝ,S,T;s; 
e,n,e,m,ie,s;EH,N,AH,M,IY,Z;s; IY
o,f;AH,V;s; 
b,y;B,AY;s; AY
m,e;M,IY;s; IY
f,r,o,m;F,R,AH,M;s; 
y,ou,r;Y,AO,R;s; AO
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
d,i,d;D,IH,D;s; IH
i;AY;s; AY
th,i,s;DH,IH,S;s; IH
d,ee,d;D,IY,D;s; IY
