y,ea,r,s;Y,IH,R,Z;s; IH
o,f;AH,V;s; 
b,e,f,a,ll;B,IH,F,AO,L;s; IH,AO
m,y;M,AY;s; AY
m,y;M,AY;s; AY
m,o,s,t;M,OW,S,T;s; 
b,e;B,IY;s; IY
th,e;DH,AH;s; 
r,e,c,o,r,d;r,IH,K,AO,R,D;s; IH,AO
t,o;T,UW;s; UW
m,y;M,AY;s; AY
s,p,ee,ch;S,P,IY,CH;s; IY
i,n;IH,N;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
a;AH;s; 
th,e;DH,AH;s; 
p,r,e,c,iou,s;P,R,EH,SH,AH,S;s; 
s,a,f,e,t,y;S,EH,F,T,ǝ,IH;s; IH
o,f;AH,V;s; 
m,y;M,AY;s; AY
a,n,d;AH,N,D;s; 
f,r,ee;F,R,IY;s; IY
f,r,o,m;F,R,AH,M;s; 
i;AY;s; AY
t,o;T,UW;s; UW
th,i,s;DH,IH,S;s; IH
p,r,i,n,c,e,l,y;P,r,IH,N,S,L,ǝ,IH;s; IH,IH
th,o,m,a,s;T,AA,M,AH,S;s; AA
d,o;D,OW;s; 
i;AY;s; AY
t,u,r,n;T,ɐ,R,N;s; 
t,o;T,UW;s; UW
th,ee;DH,IY;s; IY
a,n,d;AH,N,D;s; 
m,a,r,k;M,AA,R,K;s; AA
m,y;M,AY;s; AY
w,e,ll;W,EH,L;s; 
f,o,r;F,AO,R;s; AO
wh,a,t;W,AH,T;s; 
i;AY;s; AY
s,p,ea,k;S,P,IY,K;s; IY
m,y;M,AY;s; AY
b,o,d,y;B,AA,D,IY;s; AA,IY
sh,a,ll;SH,AE,L;s; AE
g,oo,d;G,UH,D;s; UH
u,p,o,n;AH,P,AA,N;s; AA
th,i,s;DH,IH,S;s; IH
o,r;AO,R;s; AO
m,y;M,AY;s; AY
s,ou,l;S,OW,L;s; 
i,t;IH,T;s; IH
i,n;IH,N;s; IH
h,ea,v,e,n;HH,EH,V,AH,N;s; 
th,ou;DH,AW;s; 
a,r,t;AA,R,T;s; AA
a;AH;s; 
a,n,d;AH,N,D;s; 
a;AH;s; 
t,oo;T,UW;s; UW
g,oo,d;G,UH,D;s; UH
t,o;T,UW;s; UW
b,e;B,IY;s; IY
s,o;S,OW;s; 
a,n,d;AH,N,D;s; 
t,oo;T,UW;s; UW
b,a,d;B,AE,D;s; AE
t,o;T,UW;s; UW
th,e;DH,AH;s; 
f,ai,r;F,EH,R;s; 
a,n,d;AH,N,D;s; 
c,r,y,s,t,a,l;K,R,IH,S,T,AH,L;s; IH
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
s,k,y;S,K,AY;s; AY
th,e;DH,AH;s; 
u,g,l,ie,r;AH,G,L,IY,ER;s; IY
s,ee,m;S,IY,M;s; IY
th,e;DH,AH;s; 
c,l,ou,d,s;K,L,AW,D,Z;s; 
th,a,t;DH,AE,T;s; AE
i,n;IH,N;s; IH
i,t;IH,T;s; IH
th,e;DH,AH;s; 
t,o;T,UW;s; UW
a,gg,g,r,a,v,te;AE,G,R,AH,V,EY,T;s; AE,EY
th,e;DH,AH;s; 
w,i,th;W,IH,DH;s; IH
a;AH;s; 
s,t,u,ff;S,T,ɤ,F;s; 
i;AY;s; AY
a,n,d;AH,N,D;s; 
w,i,sh;W,IH,SH;s; IH
s,o;S,OW;s; 
m,y;M,AY;s; AY
i;AY;s; AY
wh,a,t;W,AH,T;s; 
m,y;M,AY;s; AY
