o,l,d;OW,L,D;s; 
o,f;AH,V;s; 
g,au,n,t;G,AO,N,T;s; AO
l,a,n,c,a,s,t,e,r;L,AW,NG,K,AW,S,T,ǝ,R;s; 
h,a,s,t;HH,AE,S,T;s; AE
th,ou;DH,AW;s; 
t,o;T,UW;s; UW
oa,th;OW,TH;s; 
a,n,d;AH,N,D;s; 
b,a,n,d;B,AE,N,D;s; AE
h,e,n,r,y;HH,EH,N,R,IY;s; IY
b,o,l,d;B,OW,L,D;s; 
s,o,n;S,AO,̃;s; AO
t,o;T,UW;s; UW
g,oo,d;G,UH,D;s; UH
th,e;DH,AH;s; 
a,pp,ea,l;ǝ,P,IY,L;s; IY
th,e,n;DH,EH,N;s; 
ou,r;OW,R;s; 
n,o,t;N,AA,T;s; AA
l,e,t;L,EH,T;s; 
u,s;AH,S;s; 
a,g,ai,n,s,t;AH,G,EH,N,S,T;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,o,m,a,s;T,AA,M,AH,S;s; AA
t,e,ll;T,EH,L;s; 
m,e;M,IY;s; IY
h,a,s,t;HH,AE,S,T;s; AE
th,ou;DH,AW;s; 
s,ou,n,d,e,d;S,AW,N,D,AH,D;s; 
h,i,m;HH,IH,M;s; IH
i,f;IH,F;s; IH
h,e;HH,IY;s; IY
a,pp,ea,l;ǝ,P,IY,L;s; IY
th,e;DH,AH;s; 
o,n;AA,N;s; AA
a,n,c,ie,n,t;EY,N,CH,AH,N,T;s; EY
o,r;AO,R;s; AO
a,s;AE,Z;s; AE
a;AH;s; 
g,oo,d;G,UH,D;s; UH
s,u,b,j,e,c,t;S,AH,B,JH,EH,K,T;s; 
o,n;AA,N;s; AA
o,f;AH,V;s; 
i,n;IH,N;s; IH
h,i,m;HH,IH,M;s; IH
th,e,n;DH,EH,N;s; 
c,a,ll;K,AO,L;s; AO
th,e,m;DH,EH,M;s; 
t,o;T,UW;s; UW
ou,r;OW,R;s; 
t,o;T,UW;s; UW
a,n,d;AH,N,D;s; 
b,r,o,w;B,r,ə,UH;s; UH
t,o;T,UW;s; UW
b,r,o,w;B,r,ə,UH;s; UH
w,i,ll;W,IH,L;s; IH
th,e;DH,AH;s; 
a,cc,u,s,e,r;AH,K,Y,UW,Z,ER;s; UW
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
f,r,ee,l,y;F,R,IY,L,IY;s; IY,IY
s,p,ea,k;S,P,IY,K;s; IY
b,o,th;B,OW,TH;s; 
a,n,d;AH,N,D;s; 
f,u,ll;F,UH,L;s; UH
o,f;AH,V;s; 
i,n;IH,N;s; IH
d,ea,f;D,EH,F;s; 
a,s;AE,Z;s; AE
th,e;DH,AH;s; 
s,ea;S,IY;s; IY
h,a,s,t,y;HH,EY,S,T,IY;s; EY,IY
a,s;AE,Z;s; AE
w,e;W,IY;s; IY
th,a,n,k;TH,AE,NG,K;s; AE
y,ou;Y,UW;s; UW
b,o,th;B,OW,TH;s; 
y,e,t;Y,EH,T;s; 
b,u,t;B,AH,T;s; 
u,s;AH,S;s; 
a,s;AE,Z;s; AE
w,e,ll;W,EH,L;s; 
a,pp,ea,r,e,th;ǝ,P,IY,R,ǝ,TH;s; IY
b,y;B,AY;s; AY
th,e;DH,AH;s; 
y,ou;Y,UW;s; UW
n,a,m,e,l,y;N,EH,M,L,ǝ,IH;s; IH
t,o;T,UW;s; UW
a,pp,ea,l;ǝ,P,IY,L;s; IY
ea,ch;IY,CH;s; IY
o,f;AH,V;s; 
t,r,ea,s,o,n;T,R,IY,Z,AH,N;s; IY
c,ou,s,i,n;K,AH,Z,AH,N;s; 
o,f;AH,V;s; 
wh,a,t;W,AH,T;s; 
d,o,s,t;D,AA,S,T;s; AA
th,ou;DH,AW;s; 
o,b,j,e,c,t;AA,B,JH,EH,K,T;s; AA
a,g,ai,n,s,t;AH,G,EH,N,S,T;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,o,m,a,s;T,AA,M,AH,S;s; AA
wh,a,t;W,AH,T;s; 
d,o,th;D,AO,TH;s; AO
ou,r;OW,R;s; 
c,ou,s,i,n;K,AH,Z,AH,N;s; 
t,o;T,UW;s; UW
i,t;IH,T;s; IH
m,u,s,t;M,AH,S,T;s; 
b,e;B,IY;s; IY
g,r,ea,t;G,r,e,T;s; 
th,a,t;DH,AE,T;s; AE
c,a,n;K,AE,N;s; AE
i,n,h,e,r,i,t;IH,N,HH,EH,R,AH,T;s; IH
u,s;AH,S;s; 
s,o;S,OW;s; 
a,s;AE,Z;s; AE
o,f;AH,V;s; 
a;AH;s; 
o,f;AH,V;s; 
i,ll;IH,L;s; IH
i,n;IH,N;s; IH
h,i,m;HH,IH,M;s; IH
a;AH;s; 
h,i,s;HH,IH,Z;s; IH
s,oa,r,s;S,OW,R,Z;s; 
th,o,m,a,s;T,AA,M,AH,S;s; AA
o,f;AH,V;s; 
wh,a,t;W,AH,T;s; 
th,ou;DH,AW;s; 
t,o;T,UW;s; UW
