n,o;N,OW;s; 
b,u,t;B,AH,T;s; 
ou,r;OW,R;s; 
c,r,o,ss,e,s;K,R,AO,S,IH,Z;s; AO,IH
o,n;AA,N;s; AA
th,e;DH,AH;s; 
i,t;IH,T;s; IH
a,n,d;AH,N,D;s; 
h,ea,v,y;e,V,ǝ,IH;s; IH
i;AY;s; AY
w,a,n,t;W,AA,N,T;s; AA
u,n,c,l,e,s;AH,NG,K,AH,L,Z;s; 
t,o;T,UW;s; UW
m,e;M,IY;s; IY
g,o,d;G,AA,D;s; AA
k,ee,p;K,IY,P;s; IY
m,e;M,IY;s; IY
f,r,o,m;F,R,AH,M;s; 
f,r,ie,n,d,s;F,R,EH,N,D,Z;s; 
b,u,t;B,AH,T;s; 
w,re;W,ER;s; 
i;AY;s; AY
th,a,n,k;TH,AE,NG,K;s; AE
y,ou;Y,UW;s; UW
g,oo,d;G,UH,D;s; UH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
a,n,d;AH,N,D;s; 
th,a,n,k;TH,AE,NG,K;s; AE
y,ou;Y,UW;s; UW
a,ll;AA,L;s; AA
i;AY;s; AY
m,y;M,AY;s; AY
a,n,d;AH,N,D;s; 
m,y;M,AY;s; AY
y,o,r,k;Y,AO,R,K;s; AO
th,i,s;DH,IH,S;s; IH
m,e,t;M,EH,T;s; 
u,s;AH,S;s; 
o,n;AA,N;s; AA
th,e;DH,AH;s; 
wh,a,t;W,AH,T;s; 
a;AH;s; 
s,l,u,g;S,L,AH,G;s; 
i,s;IH,Z;s; IH
th,a,t;DH,AE,T;s; AE
h,e;HH,IY;s; IY
n,o,t;N,AA,T;s; AA
t,o;T,UW;s; UW
t,e,ll;T,EH,L;s; 
u,s;AH,S;s; 
w,i,ll;W,IH,L;s; IH
o,r;AO,R;s; AO
n,o;N,OW;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
wh,a,t;W,AH,T;s; 
w,i,ll;W,IH,L;s; IH
ou,r;OW,R;s; 
g,oo,d;G,UH,D;s; UH
l,o,r,d,s;L,AO,R,D,Z;s; AO
a,ll;AA,L;s; AA
th,e;DH,AH;s; 
h,a,te;AW,S,T;s; 
y,ou;Y,UW;s; UW
i,f;IH,F;s; IH
ou,r;OW,R;s; 
sh,a,ll;SH,AE,L;s; AE
w,e;W,IY;s; IY
t,i,ll;T,IH,L;s; IH
ou,r;OW,R;s; 
c,o,r,o,n,a,t,io,n;K,AO,R,AH,N,EY,SH,AH,N;s; AO,EY
i;AY;s; AY
d,o;D,OW;s; 
n,o,t;N,AA,T;s; AA
th,e;DH,AH;s; 
o,f;AH,V;s; 
d,i,d;D,IH,D;s; IH
b,ui,l,d;B,IH,L,D;s; IH
th,a,t;DH,AE,T;s; AE
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
i,s;IH,Z;s; IH
i,t;IH,T;s; IH
u,p,o,n;AH,P,AA,N;s; AA
r,e,c,o,r,d;r,IH,K,AO,R,D;s; IH,AO
o,r;AO,R;s; AO
r,e,p,o,r,t,e,d;R,IY,P,AO,R,T,AH,D;s; IY,AO
f,r,o,m;F,R,AH,M;s; 
t,o;T,UW;s; UW
h,e;HH,IY;s; IY
b,ui,l,t;B,IH,L,T;s; IH
i,t;IH,T;s; IH
b,u,t;B,AH,T;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
i,t;IH,T;s; IH
w,re;W,ER;s; 
n,o,t;N,AA,T;s; AA
m,e,th,i,n,k,s;M,IH,TH,IH,NG,K,S;s; IH,IH
th,e;DH,AH;s; 
t,r,u,th;T,R,UW,TH;s; UW
f,r,o,m;F,R,AH,M;s; 
t,o;T,UW;s; UW
a,s;AE,Z;s; AE
t,o;T,UW;s; UW
a,ll;AA,L;s; AA
p,o,s,t,e,r,i,t,y;P,AA,S,T,EH,R,AH,T,IY;s; AA,IY
e,v,e,n;IY,V,IH,N;s; IY,IH
t,o;T,UW;s; UW
th,e;DH,AH;s; 
wh,a,t;W,AH,T;s; 
y,ou;Y,UW;s; UW
th,a,t;DH,AE,T;s; AE
w,a,s;W,AA,Z;s; AA
a;AH;s; 
f,a,m,ou,s;F,EY,M,AH,S;s; EY
m,a,n;M,AE,N;s; AE
w,i,th;W,IH,DH;s; IH
wh,a,t;W,AH,T;s; 
h,i,s;HH,IH,Z;s; IH
d,i,d;D,IH,D;s; IH
e,n,r,i,ch;EH,N,R,IH,CH;s; IH
h,i,s;HH,IH,Z;s; IH
w,i,t;W,IH,T;s; IH
h,i,s;HH,IH,Z;s; IH
w,i,t;W,IH,T;s; IH
s,e,t;S,EH,T;s; 
d,o,w,n;D,ǝ,UH,N;s; UH
t,o;T,UW;s; UW
h,i,s;HH,IH,Z;s; IH
d,ea,th;D,EH,TH;s; 
n,o;N,OW;s; 
o,f;AH,V;s; 
th,i,s;DH,IH,S;s; IH
f,o,r;F,AO,R;s; AO
h,e;HH,IY;s; IY
i,n;IH,N;s; IH
n,o,t;N,AA,T;s; AA
i,n;IH,N;s; IH
t,e,ll;T,EH,L;s; 
y,ou;Y,UW;s; UW
wh,a,t;W,AH,T;s; 
m,y;M,AY;s; AY
c,ou,s,i,n;K,AH,Z,AH,N;s; 
a,n;AE,N;s; AE
i,f;IH,F;s; IH
i;AY;s; AY
u,n,t,i,l;AH,N,T,IH,L;s; IH
i;AY;s; AY
b,e;B,IY;s; IY
a;AH;s; 
