wh,e,n;ʍ,e,N;s; 
i;AY;s; AY
w,a,s;W,AA,Z;s; AA
m,o,r,t,a,l;M,AO,R,T,AA,L;s; AO,AA
m,y;M,AY;s; AY
b,o,d,y;B,AA,D,IY;s; AA,IY
b,y;B,AY;s; AY
th,ee;DH,IY;s; IY
w,a,s;W,AA,Z;s; AA
f,u,ll;F,UH,L;s; UH
o,f;AH,V;s; 
d,ea,d,l,y;D,EH,D,L,IY;s; IY
th,i,n,k;TH,IH,NG,K;s; IH
o,n;AA,N;s; AA
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
m,e;M,IY;s; IY
d,e,s,p,ai,r;D,IH,S,P,EH,R;s; IH
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
b,i,d,s;B,IH,D,Z;s; IH
th,ee;DH,IY;s; IY
d,e,s,p,ai,r;D,IH,S,P,EH,R;s; IH
a,n,d;AH,N,D;s; 
v,i,r,t,uou,s;V,ER,CH,UW,AH,S;s; UW
a,n,d;AH,N,D;s; 
h,o,l,y;HH,OW,L,IY;s; IY
b,e;B,IY;s; IY
th,ou;DH,AW;s; 
th,a,t;DH,AE,T;s; AE
th,ou;DH,AW;s; 
b,e;B,IY;s; IY
d,o,th;D,AO,TH;s; AO
c,o,m,f,o,r,t;K,ɤ,M,F,ǝ,R,T;s; 
th,ee;DH,IY;s; IY
i,n;IH,N;s; IH
s,l,ee,p;S,L,IY,P;s; IY
a,n,d;AH,N,D;s; 
f,l,ou,r,i,sh;F,L,ɤ,r,IH,SH;s; IH
