when,'ʍ e N', s, 
i,'AY', s, AY
was,'W AA Z', s, AA
mortal,'M AO R T AA L', s, AO AA
my,'M AY', s, AY
body,'B AA D IY', s, AA IY
by,'B AY', s, AY
thee,'DH IY', s, IY
was,'W AA Z', s, AA
full,'F UH L', s, UH
of,'AH V', s, 
deadly,'D EH D L IY', s, IY
think,'TH IH NG K', s, IH
on,'AA N', s, AA
the,'DH AH', s, 
and,'AH N D', s, 
me,'M IY', s, IY
despair,'D IH S P EH R', s, IH
and,'AH N D', s, 
the,'DH AH', s, 
bids,'B IH D Z', s, IH
thee,'DH IY', s, IY
despair,'D IH S P EH R', s, IH
and,'AH N D', s, 
virtuous,'V ER CH UW AH S', s, UW
and,'AH N D', s, 
holy,'HH OW L IY', s, IY
be,'B IY', s, IY
thou,'DH AW', s, 
that,'DH AE T', s, AE
thou,'DH AW', s, 
be,'B IY', s, IY
doth,'D AO TH', s, AO
comfort,'K ɤ M F ǝ R T', s, 
thee,'DH IY', s, IY
in,'IH N', s, IH
sleep,'S L IY P', s, IY
and,'AH N D', s, 
flourish,'F L ɤ r IH SH', s, IH
