thomas,'T AA M AH S',s,'AA'
lovell,'L ɤ V ǝ L',s,''
and,'AH N D',s,''
lord,'L AO R D',s,'AO'
dorset,'D AO R S ǝ T',s,'AO'
said,'S EH D',s,''
my,'M AY',s,'AY'
in,'IH N',s,'IH'
yorkshre,'Y AO R K SH ER',s,'AO'
in,'IH N',s,'IH'
arms,'AA R M Z',s,'AA'
but,'B AH T',s,''
this,'DH IH S',s,'IH'
good,'G UH D',s,'UH'
comfort,'K ɤ M F ǝ R T',s,''
i,'AY',s,'AY'
to,'T UW',s,'UW'
your,'Y AO R',s,'AO'
the,'DH AH',s,''
breton,'B R EH T AH N',s,''
navy,'N EY V IY',s,'EY IY'
is,'IH Z',s,'IH'
by,'B AY',s,'AY'
tempest,'T EH M P AH S T',s,''
in,'IH N',s,'IH'
sent,'S EH N T',s,''
out,'AW T',s,''
a,'AH',s,''
boat,'B OW T',s,''
unto,'AH N T UW',s,'UW'
the,'DH AH',s,''
to,'T UW',s,'UW'
ask,'AW S K',s,''
on,'AA N',s,'AA'
the,'DH AH',s,''
banks,'B AE NG K S',s,'AE'
if,'IH F',s,'IH'
wre,'W ER',s,''
his,'HH IH Z',s,'IH'
assistants,'AH S IH S T AH N T S',s,'IH'
yea,'Y EH',s,''
or,'AO R',s,'AO'
no,'N OW',s,''
who,'HH UW',s,'UW'
him,'HH IH M',s,'IH'
from,'F R AH M',s,''
upon,'AH P AA N',s,'AA'
his,'HH IH Z',s,'IH'
party,'P AA R T IY',s,'AA IY'
he,'HH IY',s,'IY'
them,'DH EH M',s,''
sail,'S EH L',s,''
and,'AH N D',s,''
his,'HH IH Z',s,'IH'
again,'ǝ ɡ EH N',s,''
for,'F AO R',s,'AO'
brittany,'B R IH T AH N IY',s,'IH IY'
