my,'M AY', s, AY
lord,'L AO R D', s, AO
as,'AE Z', s, AE
me,'M IY', s, IY
to,'T UW', s, UW
report,'r IH P AO R T', s, IH AO
well,'W EH L', s, 
madam,'M AE D AH M', s, AE
and,'AH N D', s, 
in,'IH N', s, IH
lord,'L AO R D', s, AO
rivers,'r IH V ǝ R Z', s, IH
and,'AH N D', s, 
lord,'L AO R D', s, AO
sent,'S EH N T', s, 
to,'T UW', s, UW
pomfret,'P ɤ M F r IH T', s, IH
and,'AH N D', s, 
with,'W IH DH', s, IH
them,'DH EH M', s, 
thomas,'T AA M AH S', s, AA
the,'DH AH', s, 
mighty,'M ǝ IH T ǝ IH', s, IH IH
and,'AH N D', s, 
the,'DH AH', s, 
sum,'S ɤ M', s, 
of,'AH V', s, 
all,'AA L', s, AA
i,'AY', s, AY
can,'K AE N', s, AE
i,'AY', s, AY
whhy,'ʍ ǝ IH', s, IH
or,'AO R', s, AO
for,'F AO R', s, AO
what,'W AH T', s, 
the,'DH AH', s, 
nobles,'N OW B AH L Z', s, 
wre,'W ER', s, 
committed,'K AH M IH T AH D', s, IH
is,'IH Z', s, IH
all,'AA L', s, AA
to,'T UW', s, UW
me,'M IY', s, IY
my,'M AY', s, AY
lord,'L AO R D', s, AO
