the,'DH AH', s, 
limit,'L IH M AH T', s, IH
of,'AH V', s, 
your,'Y AO R', s, AO
is,'IH Z', s, IH
out,'AW T', s, 
hate,'AW S T', s, 
the,'DH AH', s, 
of,'AH V', s, 
death,'D EH TH', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
be,'B IY', s, IY
at,'AE T', s, AE
a,'AH', s, 
short,'SH AO R T', s, AO
he,'HH IY', s, IY
to,'T UW', s, UW
see,'S IY', s, IY
your,'Y AO R', s, AO
my,'M AY', s, AY
lord,'L AO R D', s, AO
bad,'B AE D', s, AE
my,'M AY', s, AY
lord,'L AO R D', s, AO
morton,'M AO R T AH N', s, AO
is,'IH Z', s, IH
fled,'F L EH D', s, 
to,'T UW', s, UW
and,'AH N D', s, 
with,'W IH DH', s, IH
the,'DH AH', s, 
hardy,'HH AA R D IY', s, AA IY
is,'IH Z', s, IH
in,'IH N', s, IH
the,'DH AH', s, 
field,'F IY L D', s, IY
and,'AH N D', s, 
still,'S T IH L', s, IH
his,'HH IH Z', s, IH
most,'M OW S T', s, 
mighty,'M ǝ IH T ǝ IH', s, IH IH
on,'AA N', s, AA
the,'DH AH', s, 
western,'W e S T ǝ R N', s, 
coast,'K OW S T', s, 
a,'AH', s, 
puissant,'P W IY S AA ̃', s, IY AA
navy,'N EY V IY', s, EY IY
to,'T UW', s, UW
our,'OW R', s, 
friends,'F R EH N D Z', s, 
and,'AH N D', s, 
to,'T UW', s, UW
beat,'B IY T', s, IY
them,'DH EH M', s, 
back,'B AE K', s, AE
that,'DH AE T', s, AE
is,'IH Z', s, IH
their,'DH EH R', s, 
and,'AH N D', s, 
expecting,'IH K S P EH K T IH NG', s, IH IH
but,'B AH T', s, 
the,'DH AH', s, 
aid,'EH D', s, 
of,'AH V', s, 
to,'T UW', s, UW
them,'DH EH M', s, 
what,'W AH T', s, 
it,'IH T', s, IH
you,'Y UW', s, UW
shall,'SH AE L', s, AE
i,'AY', s, AY
do,'D OW', s, 
at,'AE T', s, AE
your,'Y AO R', s, AO
told,'T OW L D', s, 
me,'M IY', s, IY
i,'AY', s, AY
post,'P OW S T', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
thomas,'T AA M AH S', s, AA
the,'DH AH', s, 
of,'AH V', s, 
surrey,'S ɤ r ǝ IH', s, IH
and,'AH N D', s, 
himself,'HH IH M S EH L F', s, IH
from,'F R AH M', s, 
troop,'T R UW P', s, UW
to,'T UW', s, UW
troop,'T R UW P', s, UW
went,'W EH N T', s, 
the,'DH AH', s, 
up,'AH P', s, 
the,'DH AH', s, 
it,'IH T', s, IH
is,'IH Z', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
my,'M AY', s, AY
lord,'L AO R D', s, AO
my,'M AY', s, AY
lord,'L AO R D', s, AO
i,'AY', s, AY
the,'DH AH', s, 
cock,'K AA K', s, AA
hath,'HH AE TH', s, AE
to,'T UW', s, UW
the,'DH AH', s, 
morn,'M AO R N', s, AO
your,'Y AO R', s, AO
friends,'F R EH N D Z', s, 
up,'AH P', s, 
and,'AH N D', s, 
on,'AA N', s, AA
their,'DH EH R', s, 
no,'N OW', s, 
doubt,'D ǝ UH T', s, UH
my,'M AY', s, AY
lord,'L AO R D', s, AO
good,'G UH D', s, UH
my,'M AY', s, AY
lord,'L AO R D', s, AO
be,'B IY', s, IY
not,'N AA T', s, AA
afraid,'ǝ F r EH D', s, 
of,'AH V', s, 
that,'DH AE T', s, AE
he,'HH IY', s, IY
was,'W AA Z', s, AA
never,'N e V ǝ R', s, 
up,'AH P', s, 
in,'IH N', s, IH
arms,'AA R M Z', s, AA
he,'HH IY', s, IY
smiled,'S M ǝ IH L D', s, IH
and,'AH N D', s, 
said,'S EH D', s, 
the,'DH AH', s, 
better,'B e T ə R', s, 
for,'F AO R', s, AO
our,'OW R', s, 
not,'N AA T', s, AA
i,'AY', s, AY
my,'M AY', s, AY
lord,'L AO R D', s, AO
my,'M AY', s, AY
lord,'L AO R D', s, AO
