is,'IH Z', s, IH
the,'DH AH', s, 
of,'AH V', s, 
our,'OW R', s, 
summer,'S ɤ M ǝ R', s, 
by,'B AY', s, AY
this,'DH IH S', s, IH
son,'S AO ̃', s, AO
of,'AH V', s, 
york,'Y AO R K', s, AO
and,'AH N D', s, 
all,'AA L', s, AA
the,'DH AH', s, 
clouds,'K L AW D Z', s, 
that,'DH AE T', s, AE
loured,'L ǝ UH R D', s, UH
upon,'AH P AA N', s, AA
our,'OW R', s, 
in,'IH N', s, IH
the,'DH AH', s, 
deep,'D IY P', s, IY
bosom,'B UH Z AH M', s, UH
of,'AH V', s, 
the,'DH AH', s, 
ocean,'OW SH AH N', s, 
our,'OW R', s, 
brows,'B r ə UH Z', s, UH
with,'W IH DH', s, IH
our,'OW R', s, 
arms,'AA R M Z', s, AA
up,'AH P', s, 
for,'F AO R', s, AO
our,'OW R', s, 
stern,'S T ɐ R N', s, 
to,'T UW', s, UW
merrry,'M e r ǝ IH', s, IH
our,'OW R', s, 
dreadful,'D R EH D F AH L', s, 
to,'T UW', s, UW
war,'W AO R', s, AO
hath,'HH AE TH', s, AE
smoothed,'S M UW DH IH D', s, UW IH
his,'HH IH Z', s, IH
wrinkled,'R IH NG K AH L D', s, IH
front,'F r ɤ N T', s, 
and,'AH N D', s, 
instead,'IH N S T EH D', s, IH
of,'AH V', s, 
mounting,'M ǝ UH N T IH N', s, UH IH
steeds,'S T IY D Z', s, IY
to,'T UW', s, UW
the,'DH AH', s, 
souls,'S OW L Z', s, 
of,'AH V', s, 
fearful,'F IH R F AH L', s, IH
he,'HH IY', s, IY
capers,'K EH P ǝ R Z', s, 
nimbly,'N IH M B L IY', s, IH IY
in,'IH N', s, IH
a,'AH', s, 
to,'T UW', s, UW
the,'DH AH', s, 
of,'AH V', s, 
a,'AH', s, 
but,'B AH T', s, 
i,'AY', s, AY
that,'DH AE T', s, AE
am,'AE M', s, AE
not,'N AA T', s, AA
for,'F AO R', s, AO
nor,'N AO R', s, AO
to,'T UW', s, UW
court,'K AO R T', s, AO
an,'AE N', s, AE
glass,'G L AW S', s, 
i,'AY', s, AY
that,'DH AE T', s, AE
am,'AE M', s, AE
rudely,'r UW D L ǝ IH', s, UW IH
stamped,'S T AW M P IH D', s, IH
and,'AH N D', s, 
want,'W AA N T', s, AA
majesty,'M AE JH AH S T IY', s, AE IY
to,'T UW', s, UW
strut,'S T R AH T', s, 
a,'AH', s, 
wanton,'W AA N T ǝ N', s, AA
ambling,'AE M B AH L IH NG', s, AE IH
i,'AY', s, AY
that,'DH AE T', s, AE
am,'AE M', s, AE
of,'AH V', s, 
this,'DH IH S', s, IH
fair,'F EH R', s, 
cheated,'CH IY T AH D', s, IY
of,'AH V', s, 
featre,'F IY CH ER', s, IY
by,'B AY', s, AY
natre,'N EY CH ER', s, EY
sent,'S EH N T', s, 
my,'M AY', s, AY
into,'IH N T UW', s, IH UW
this,'DH IH S', s, IH
up,'AH P', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
so,'S OW', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
dogs,'D AA G Z', s, AA
bark,'B AA R K', s, AA
at,'AE T', s, AE
me,'M IY', s, IY
as,'AE Z', s, AE
i,'AY', s, AY
by,'B AY', s, AY
them,'DH EH M', s, 
whhy,'ʍ ǝ IH', s, IH
i,'AY', s, AY
in,'IH N', s, IH
this,'DH IH S', s, IH
weak,'W IY K', s, IY
piping,'P ǝ IH P IH N', s, IH IH
of,'AH V', s, 
no,'N OW', s, 
to,'T UW', s, UW
pass,'P AE S', s, AE
the,'DH AH', s, 
unless,'ɤ N L e S', s, 
to,'T UW', s, UW
see,'S IY', s, IY
my,'M AY', s, AY
in,'IH N', s, IH
the,'DH AH', s, 
sun,'S AH N', s, 
and,'AH N D', s, 
on,'AA N', s, AA
deformity,'D IH F AO R M AH T IY', s, IH AO IY
and,'AH N D', s, 
therefre,'DH EH R F AO R', s, AO
i,'AY', s, AY
cannot,'K AE N AA T', s, AE AA
a,'AH', s, 
to,'T UW', s, UW
fair,'F EH R', s, 
i,'AY', s, AY
am,'AE M', s, AE
to,'T UW', s, UW
a,'AH', s, 
villain,'V IH L AH N', s, IH
and,'AH N D', s, 
the,'DH AH', s, 
of,'AH V', s, 
plots,'P L AA T S', s, AA
i,'AY', s, AY
laid,'L EH D', s, 
by,'B AY', s, AY
drunken,'D R AH NG K AH N', s, 
and,'AH N D', s, 
dreams,'D R IY M Z', s, IY
to,'T UW', s, UW
set,'S EH T', s, 
my,'M AY', s, AY
and,'AH N D', s, 
the,'DH AH', s, 
in,'IH N', s, IH
deadly,'D EH D L IY', s, IY
the,'DH AH', s, 
against,'AH G EH N S T', s, 
the,'DH AH', s, 
and,'AH N D', s, 
if,'IH F', s, IH
edward,'e D W ǝ R D', s, 
be,'B IY', s, IY
as,'AE Z', s, AE
true,'T R UW', s, UW
and,'AH N D', s, 
as,'AE Z', s, AE
i,'AY', s, AY
am,'AE M', s, AE
and,'AH N D', s, 
this,'DH IH S', s, IH
closely,'K L OW S L ǝ IH', s, IH
be,'B IY', s, IY
up,'AH P', s, 
a,'AH', s, 
that,'DH AE T', s, AE
of,'AH V', s, 
the,'DH AH', s, 
shall,'SH AE L', s, AE
be,'B IY', s, IY
down,'D ǝ UH N', s, UH
to,'T UW', s, UW
my,'M AY', s, AY
soul,'S OW L', s, 
good,'G UH D', s, UH
what,'W AH T', s, 
means,'M IY N Z', s, IY
this,'DH IH S', s, IH
guard,'G AA R D', s, AA
that,'DH AE T', s, AE
waits,'W EH T S', s, 
upon,'AH P AA N', s, AA
your,'Y AO R', s, AO
upon,'AH P AA N', s, AA
what,'W AH T', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
that,'DH AE T', s, AE
fault,'F AO L T', s, AO
is,'IH Z', s, IH
of,'AH V', s, 
yours,'Y UH R Z', s, UH
he,'HH IY', s, IY
for,'F AO R', s, AO
that,'DH AE T', s, AE
commit,'K AH M IH T', s, IH
your,'Y AO R', s, AO
godfathers,'G ɒ D F AW DH ǝ R Z', s, 
o,'OW', s, 
his,'HH IH Z', s, IH
majesty,'M AE JH AH S T IY', s, AE IY
hath,'HH AE TH', s, AE
intent,'IH N T EH N T', s, IH
that,'DH AE T', s, AE
you,'Y UW', s, UW
be,'B IY', s, IY
in,'IH N', s, IH
the,'DH AH', s, 
but,'B AH T', s, 
the,'DH AH', s, 
matter,'M AW T ǝ R', s, 
i,'AY', s, AY
whhy,'ʍ ǝ IH', s, IH
this,'DH IH S', s, IH
it,'IH T', s, IH
is,'IH Z', s, IH
when,'ʍ e N', s, 
men,'M EH N', s, 
by,'B AY', s, AY
women,'W IH M AH N', s, IH
not,'N AA T', s, AA
the,'DH AH', s, 
that,'DH AE T', s, AE
sends,'S EH N D Z', s, 
you,'Y UW', s, UW
to,'T UW', s, UW
the,'DH AH', s, 
my,'M AY', s, AY
lady,'L EY D IY', s, EY IY
his,'HH IH Z', s, IH
she,'SH IY', s, IY
that,'DH AE T', s, AE
him,'HH IH M', s, IH
to,'T UW', s, UW
this,'DH IH S', s, IH
was,'W AA Z', s, AA
it,'IH T', s, IH
not,'N AA T', s, AA
she,'SH IY', s, IY
and,'AH N D', s, 
that,'DH AE T', s, AE
good,'G UH D', s, UH
man,'M AE N', s, AE
of,'AH V', s, 
worship,'W AO R SH IH P', s, AO IH
anthony,'AE N TH AH N IY', s, AE IY
that,'DH AE T', s, AE
him,'HH IH M', s, IH
send,'S EH N D', s, 
lord,'L AO R D', s, AO
to,'T UW', s, UW
the,'DH AH', s, 
from,'F R AH M', s, 
this,'DH IH S', s, IH
present,'P r IH Z e N T', s, IH
he,'HH IY', s, IY
is,'IH Z', s, IH
we,'W IY', s, IY
not,'N AA T', s, AA
we,'W IY', s, IY
not,'N AA T', s, AA
humbly,'HH AH M B L IY', s, IY
to,'T UW', s, UW
got,'G AA T', s, AA
my,'M AY', s, AY
lord,'L AO R D', s, AO
his,'HH IH Z', s, IH
tell,'T EH L', s, 
you,'Y UW', s, UW
what,'W AH T', s, 
i,'AY', s, AY
think,'TH IH NG K', s, IH
it,'IH T', s, IH
is,'IH Z', s, IH
our,'OW R', s, 
if,'IH F', s, IH
we,'W IY', s, IY
will,'W IH L', s, IH
keep,'K IY P', s, IY
in,'IH N', s, IH
with,'W IH DH', s, IH
the,'DH AH', s, 
to,'T UW', s, UW
be,'B IY', s, IY
men,'M EH N', s, 
and,'AH N D', s, 
wear,'W EH R', s, 
livery,'L IH V r ǝ IH', s, IH IH
the,'DH AH', s, 
jealous,'JH EH L AH S', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
our,'OW R', s, 
them,'DH EH M', s, 
gentlewomen,'JH EH N T AH L W IH M AH N', s, IH
mighty,'M ǝ IH T ǝ IH', s, IH IH
gossips,'G AA S AH P S', s, AA
in,'IH N', s, IH
our,'OW R', s, 
even,'IY V IH N', s, IY IH
so,'S OW', s, 
an,'AE N', s, AE
your,'Y AO R', s, AO
worship,'W AO R SH IH P', s, AO IH
brakenbury,'B r AW K ə N B r ə IH', s, IH
you,'Y UW', s, UW
of,'AH V', s, 
we,'W IY', s, IY
we,'W IY', s, IY
speak,'S P IY K', s, IY
no,'N OW', s, 
treason,'T R IY Z AH N', s, IY
man,'M AE N', s, AE
we,'W IY', s, IY
the,'DH AH', s, 
is,'IH Z', s, IH
and,'AH N D', s, 
virtuous,'V ER CH UW AH S', s, UW
and,'AH N D', s, 
his,'HH IH Z', s, IH
well,'W EH L', s, 
in,'IH N', s, IH
years,'Y IH R Z', s, IH
fair,'F EH R', s, 
and,'AH N D', s, 
not,'N AA T', s, AA
jealous,'JH EH L AH S', s, 
we,'W IY', s, IY
that,'DH AE T', s, AE
hath,'HH AE TH', s, AE
a,'AH', s, 
prettty,'P r IH T ǝ IH', s, IH IH
foot,'F UH T', s, UH
a,'AH', s, 
lip,'L IH P', s, IH
a,'AH', s, 
bonnny,'B ɒ N ə IH', s, IH
a,'AH', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
the,'DH AH', s, 
queen's,'K W IY N Z', s, IY
you,'Y UW', s, UW
can,'K AE N', s, AE
you,'Y UW', s, UW
all,'AA L', s, AA
this,'DH IH S', s, IH
to,'T UW', s, UW
do,'D OW', s, 
with,'W IH DH', s, IH
mistress,'M IH S T R AH S', s, IH
i,'AY', s, AY
tell,'T EH L', s, 
thee,'DH IY', s, IY
he,'HH IY', s, IY
that,'DH AE T', s, AE
doth,'D AO TH', s, AO
with,'W IH DH', s, IH
wre,'W ER', s, 
best,'B EH S T', s, 
to,'T UW', s, UW
do,'D OW', s, 
it,'IH T', s, IH
secretly,'S IY K R IH T L IY', s, IY IH IY
we,'W IY', s, IY
the,'DH AH', s, 
queen's,'K W IY N Z', s, IY
and,'AH N D', s, 
must,'M AH S T', s, 
i,'AY', s, AY
will,'W IH L', s, IH
unto,'AH N T UW', s, UW
the,'DH AH', s, 
and,'AH N D', s, 
you,'Y UW', s, UW
will,'W IH L', s, IH
employ,'e M P L ǝ IH', s, IH
me,'M IY', s, IY
in,'IH N', s, IH
wre,'W ER', s, 
it,'IH T', s, IH
to,'T UW', s, UW
call,'K AO L', s, AO
i,'AY', s, AY
will,'W IH L', s, IH
perform,'P ǝ R F AO R M', s, AO
it,'IH T', s, IH
to,'T UW', s, UW
you,'Y UW', s, UW
this,'DH IH S', s, IH
deep,'D IY P', s, IY
in,'IH N', s, IH
me,'M IY', s, IY
deeper,'D IY P ǝ R', s, IY
than,'DH AE N', s, AE
you,'Y UW', s, UW
can,'K AE N', s, AE
well,'W EH L', s, 
your,'Y AO R', s, AO
shall,'SH AE L', s, AE
not,'N AA T', s, AA
be,'B IY', s, IY
i,'AY', s, AY
will,'W IH L', s, IH
deliver,'D IH L IH V ǝ R', s, IH IH
you,'Y UW', s, UW
or,'AO R', s, AO
for,'F AO R', s, AO
you,'Y UW', s, UW
go,'G OW', s, 
tread,'T R EH D', s, 
the,'DH AH', s, 
path,'P AW TH', s, 
that,'DH AE T', s, AE
thou,'DH AW', s, 
shalt,'SH AE L T', s, AE
return,'r IH T ɐ R N', s, IH
plain,'P L EH N', s, 
i,'AY', s, AY
do,'D OW', s, 
thee,'DH IY', s, IY
so,'S OW', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
will,'W IH L', s, IH
shortly,'SH AO R T L IY', s, AO IY
send,'S EH N D', s, 
soul,'S OW L', s, 
to,'T UW', s, UW
heaven,'HH EH V AH N', s, 
if,'IH F', s, IH
heaven,'HH EH V AH N', s, 
will,'W IH L', s, IH
the,'DH AH', s, 
present,'P r IH Z e N T', s, IH
at,'AE T', s, AE
our,'OW R', s, 
but,'B AH T', s, 
who,'HH UW', s, UW
the,'DH AH', s, 
as,'AE Z', s, AE
unto,'AH N T UW', s, UW
my,'M AY', s, AY
good,'G UH D', s, UH
lord,'L AO R D', s, AO
well,'W EH L', s, 
you,'Y UW', s, UW
to,'T UW', s, UW
the,'DH AH', s, 
open,'OW P ǝ N', s, 
air,'EH R', s, 
hath,'HH AE TH', s, AE
your,'Y AO R', s, AO
no,'N OW', s, 
doubt,'D ǝ UH T', s, UH
no,'N OW', s, 
doubt,'D ǝ UH T', s, UH
and,'AH N D', s, 
so,'S OW', s, 
shall,'SH AE L', s, AE
too,'T UW', s, UW
for,'F AO R', s, AO
that,'DH AE T', s, AE
wre,'W ER', s, 
your,'Y AO R', s, AO
enemies,'EH N AH M IY Z', s, IY
his,'HH IH Z', s, IH
and,'AH N D', s, 
as,'AE Z', s, AE
on,'AA N', s, AA
him,'HH IH M', s, IH
as,'AE Z', s, AE
you,'Y UW', s, UW
what,'W AH T', s, 
abroad,'AH B R AO D', s, AO
by,'B AY', s, AY
saint,'S EY N T', s, EY
that,'DH AE T', s, AE
is,'IH Z', s, IH
bad,'B AE D', s, AE
indeed,'IH N D IY D', s, IH IY
o,'OW', s, 
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
kept,'K EH P T', s, 
an,'AE N', s, AE
evil,'e V IH L', s, IH
and,'AH N D', s, 
his,'HH IH Z', s, IH
very,'V EH R IY', s, IY
grievous,'G R IY V AH S', s, IY
to,'T UW', s, UW
be,'B IY', s, IY
upon,'AH P AA N', s, AA
is,'IH Z', s, IH
he,'HH IY', s, IY
in,'IH N', s, IH
his,'HH IH Z', s, IH
bed,'B EH D', s, 
go,'G OW', s, 
you,'Y UW', s, UW
and,'AH N D', s, 
i,'AY', s, AY
will,'W IH L', s, IH
you,'Y UW', s, UW
he,'HH IY', s, IY
cannot,'K AE N AA T', s, AE AA
i,'AY', s, AY
and,'AH N D', s, 
must,'M AH S T', s, 
not,'N AA T', s, AA
till,'T IH L', s, IH
be,'B IY', s, IY
with,'W IH DH', s, IH
up,'AH P', s, 
to,'T UW', s, UW
heaven,'HH EH V AH N', s, 
in,'IH N', s, IH
to,'T UW', s, UW
uge,'ER JH', s, 
his,'HH IH Z', s, IH
to,'T UW', s, UW
with,'W IH DH', s, IH
well,'W EH L', s, 
with,'W IH DH', s, IH
and,'AH N D', s, 
if,'IH F', s, IH
i,'AY', s, AY
fail,'F EH L', s, 
not,'N AA T', s, AA
in,'IH N', s, IH
my,'M AY', s, AY
deep,'D IY P', s, IY
intent,'IH N T EH N T', s, IH
hath,'HH AE TH', s, AE
not,'N AA T', s, AA
another,'ǝ N ɤ DH ǝ R', s, 
to,'T UW', s, UW
god,'G AA D', s, AA
edward,'e D W ǝ R D', s, 
to,'T UW', s, UW
his,'HH IH Z', s, IH
and,'AH N D', s, 
the,'DH AH', s, 
for,'F AO R', s, AO
me,'M IY', s, IY
to,'T UW', s, UW
in,'IH N', s, IH
for,'F AO R', s, AO
then,'DH EH N', s, 
marrry,'M AW r ǝ IH', s, IH
youngest,'Y ɒ NG G ǝ S T', s, 
what,'W AH T', s, 
i,'AY', s, AY
and,'AH N D', s, 
the,'DH AH', s, 
to,'T UW', s, UW
the,'DH AH', s, 
amends,'AH M EH N D Z', s, 
is,'IH Z', s, IH
to,'T UW', s, UW
and,'AH N D', s, 
the,'DH AH', s, 
will,'W IH L', s, IH
i,'AY', s, AY
not,'N AA T', s, AA
all,'AA L', s, AA
so,'S OW', s, 
for,'F AO R', s, AO
as,'AE Z', s, AE
for,'F AO R', s, AO
another,'ǝ N ɤ DH ǝ R', s, 
secret,'S IY K R AH T', s, IY
intent,'IH N T EH N T', s, IH
by,'B AY', s, AY
i,'AY', s, AY
must,'M AH S T', s, 
reach,'R IY CH', s, IY
unto,'AH N T UW', s, UW
but,'B AH T', s, 
yet,'Y EH T', s, 
i,'AY', s, AY
run,'r ɤ N', s, 
my,'M AY', s, AY
to,'T UW', s, UW
market,'M AA R K IH T', s, AA IH
still,'S T IH L', s, IH
edward,'e D W ǝ R D', s, 
still,'S T IH L', s, IH
and,'AH N D', s, 
when,'ʍ e N', s, 
then,'DH EH N', s, 
must,'M AH S T', s, 
i,'AY', s, AY
my,'M AY', s, AY
gains,'G EH N Z', s, 
you,'Y UW', s, UW
that,'DH AE T', s, AE
bear,'B EH R', s, 
the,'DH AH', s, 
and,'AH N D', s, 
set,'S EH T', s, 
it,'IH T', s, IH
down,'D ǝ UH N', s, UH
villains,'V IH L AH N Z', s, IH
set,'S EH T', s, 
down,'D ǝ UH N', s, UH
the,'DH AH', s, 
or,'AO R', s, AO
by,'B AY', s, AY
saint,'S EY N T', s, EY
paul,'P AO L', s, AO
a,'AH', s, 
of,'AH V', s, 
him,'HH IH M', s, IH
that,'DH AE T', s, AE
dog,'D AO G', s, AO
stand,'S T AE N D', s, AE
thou,'DH AW', s, 
when,'ʍ e N', s, 
i,'AY', s, AY
command,'K ǝ M AW N D', s, 
than,'DH AE N', s, AE
my,'M AY', s, AY
breast,'B R EH S T', s, 
or,'AO R', s, AO
by,'B AY', s, AY
saint,'S EY N T', s, EY
paul,'P AO L', s, AO
thee,'DH IY', s, IY
to,'T UW', s, UW
my,'M AY', s, AY
foot,'F UH T', s, UH
and,'AH N D', s, 
spurn,'S P ɐ R N', s, 
upon,'AH P AA N', s, AA
thee,'DH IY', s, IY
beggar,'B e ɡ ə R', s, 
for,'F AO R', s, AO
boldness,'B OW L D N ə S', s, 
sweet,'S W IY T', s, IY
saint,'S EY N T', s, EY
for,'F AO R', s, AO
charity,'CH EH R IH T IY', s, IH IY
be,'B IY', s, IY
not,'N AA T', s, AA
so,'S OW', s, 
curst,'K ɐ R S T', s, 
lady,'L EY D IY', s, EY IY
you,'Y UW', s, UW
no,'N OW', s, 
of,'AH V', s, 
charity,'CH EH R IH T IY', s, IH IY
good,'G UH D', s, UH
for,'F AO R', s, AO
bad,'B AE D', s, AE
for,'F AO R', s, AO
but,'B AH T', s, 
i,'AY', s, AY
and,'AH N D', s, 
therefre,'DH EH R F AO R', s, AO
am,'AE M', s, AE
no,'N OW', s, 
beast,'B e S T', s, 
