m,a,d,a,m;M,AE,D,AH,M;s; AE
n,o;N,OW;s; 
d,ou,b,t;D,ǝ,UH,T;s; UH
h,i,s;HH,IH,Z;s; IH
m,a,j,e,s,t,y;M,AE,JH,AH,S,T,IY;s; AE,IY
w,i,ll;W,IH,L;s; IH
s,oo,n;S,UW,N;s; UW
r,e,c,o,v,e,r;r,IH,K,ɤ,V,ǝ,R;s; IH
h,i,s;HH,IH,Z;s; IH
i,s;IH,Z;s; IH
i,t;IH,T;s; IH
c,o,n,c,l,u,d,e,d;K,AH,N,K,L,UW,D,AH,D;s; UW
h,e;HH,IY;s; IY
sh,a,ll;SH,AE,L;s; AE
b,e;B,IY;s; IY
sh,e;SH,IY;s; IY
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
f,o,r;F,AO,R;s; AO
wh,a,t;W,AH,T;s; 
m,a,rr,r,y;M,AW,r,ǝ,IH;s; IH
sh,e;SH,IY;s; IY
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
o,f;AH,V;s; 
i,n;IH,N;s; IH
y,ou;Y,UW;s; UW
u,ge;ER,JH;s; 
t,o;T,UW;s; UW
u,s;AH,S;s; 
e,n,e,m,ie,s;EH,N,AH,M,IY,Z;s; IY
w,e;W,IY;s; IY
th,e,n;DH,EH,N;s; 
ou,r;OW,R;s; 
l,o,r,d;L,AO,R,D;s; AO
ou,r;OW,R;s; 
s,o;S,OW;s; 
w,e;W,IY;s; IY
y,ou;Y,UW;s; UW
i,f;IH,F;s; IH
y,ou;Y,UW;s; UW
b,e;B,IY;s; IY
ou,r;OW,R;s; 
t,y,r,a,n,t,s;T,AY,R,AH,N,T,S;s; AY
w,e,p,t;W,EH,P,T;s; 
wh,e,n;ʍ,e,N;s; 
i,t;IH,T;s; IH
w,a,s;W,AA,Z;s; AA
r,e,p,o,r,t,e,d;R,IY,P,AO,R,T,AH,D;s; IY,AO
w,re;W,ER;s; 
y,ou;Y,UW;s; UW
w,e,ll;W,EH,L;s; 
y,ou;Y,UW;s; UW
b,e;B,IY;s; IY
y,ou,r;Y,AO,R;s; AO
d,u,t,y;D,UW,T,IY;s; UW,IY
a,n,d;AH,N,D;s; 
s,o;S,OW;s; 
d,o,th;D,AO,TH;s; AO
i;AY;s; AY
wh,h,y;ʍ,ǝ,IH;s; IH
a,t;AE,T;s; AE
a;AH;s; 
v,i,r,t,uou,s;V,ER,CH,UW,AH,S;s; UW
a,n,d;AH,N,D;s; 
a;AH;s; 
c,o,n,c,l,u,s,io,n;K,AH,N,K,L,UW,ZH,AH,N;s; UW
t,o;T,UW;s; UW
f,o,r;F,AO,R;s; AO
th,e,m;DH,EH,M;s; 
th,a,t;DH,AE,T;s; AE
sc,a,th,e;S,K,AW,DH;s; 
t,o;T,UW;s; UW
u,s;AH,S;s; 
w,e;W,IY;s; IY
w,ai,t;W,EH,T;s; 
u,p,o,n;AH,P,AA,N;s; AA
y,ou,r;Y,AO,R;s; AO
b,y;B,AY;s; AY
h,ea,v,e,n;HH,EH,V,AH,N;s; 
m,y;M,AY;s; AY
s,ou,l;S,OW,L;s; 
i,s;IH,Z;s; IH
f,r,o,m;F,R,AH,M;s; 
a,n,d;AH,N,D;s; 
w,i,th;W,IH,DH;s; IH
m,y;M,AY;s; AY
i;AY;s; AY
s,ea,l;S,IY,L;s; IY
m,y;M,AY;s; AY
t,r,ue;T,R,UW;s; UW
a,n,d;AH,N,D;s; 
i;AY;s; AY
a,s;AE,Z;s; AE
i;AY;s; AY
w,i,th;W,IH,DH;s; IH
m,y;M,AY;s; AY
h,ea,r,t;HH,AA,R,T;s; AA
m,a,d,a,m;M,AE,D,AH,M;s; AE
b,e,th,i,n,k;B,IH,TH,IH,NG,K;s; IH,IH
y,ou;Y,UW;s; UW
a;AH;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
y,ou,r;Y,AO,R;s; AO
s,o,n;S,AO,̃;s; AO
s,e,n,d;S,EH,N,D;s; 
f,o,r;F,AO,R;s; AO
h,i,m;HH,IH,M;s; IH
l,e,t;L,EH,T;s; 
h,i,m;HH,IH,M;s; IH
b,e;B,IY;s; IY
i,n;IH,N;s; IH
h,i,m;HH,IH,M;s; IH
y,ou,r;Y,AO,R;s; AO
c,o,m,f,o,r,t;K,ɤ,M,F,ǝ,R,T;s; 
d,r,o,w,n;D,r,ǝ,UH,N;s; UH
d,e,s,p,e,r,te;D,EH,S,P,R,IH,T;s; IH
i,n;IH,N;s; IH
d,ea,d;D,EH,D;s; 
a,n,d;AH,N,D;s; 
p,l,a,n,t;P,L,AW,N,T;s; 
y,ou,r;Y,AO,R;s; AO
i,n;IH,N;s; IH
th,h,r,ne;TH,r,OW,N;s; 
wh,h,y;ʍ,ǝ,IH;s; IH
w,i,th;W,IH,DH;s; IH
t,r,ai,n;T,r,EH,N;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
o,f;AH,V;s; 
a,n,d;AH,N,D;s; 
s,o;S,OW;s; 
i,n;IH,N;s; IH
m,e;M,IY;s; IY
a,n,d;AH,N,D;s; 
s,o;S,OW;s; 
i;AY;s; AY
th,i,n,k;TH,IH,NG,K;s; IH
i,n;IH,N;s; IH
a,ll;AA,L;s; AA
y,e,t;Y,EH,T;s; 
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
b,u,t;B,AH,T;s; 
g,r,ee,n;G,R,IY,N;s; IY
i,t;IH,T;s; IH
b,e;B,IY;s; IY
p,u,t;P,UH,T;s; UH
t,o;T,UW;s; UW
n,o;N,OW;s; 
a,pp,a,r,e,n,t;AH,P,EH,R,AH,N,T;s; 
l,i,k,e,l,i,h,oo,d;L,ǝ,IH,K,L,IH,ˌ,UH,D;s; IH,IH,UH
o,f;AH,V;s; 
b,r,ea,ch;B,R,IY,CH;s; IY
h,a,p,l,y;AW,P,L,ǝ,IH;s; IH
b,y;B,AY;s; AY
c,o,m,p,a,n,y;K,AH,M,P,AH,N,IY;s; IY
b,e;B,IY;s; IY
th,e,r,e,f,re;DH,EH,R,F,AO,R;s; AO
i;AY;s; AY
w,i,th;W,IH,DH;s; IH
th,a,t;DH,AE,T;s; AE
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
m,ee,t;M,IY,T;s; IY
s,o;S,OW;s; 
f,e,w;F,Y,UW;s; UW
th,e;DH,AH;s; 
l,e,t;L,EH,T;s; 
m,e;M,IY;s; IY
t,e,ll;T,EH,L;s; 
th,ee;DH,IY;s; IY
th,i,s;DH,IH,S;s; IH
sh,a,l,t;SH,AE,L,T;s; AE
th,ou;DH,AW;s; 
b,e,h,o,l,d;B,IH,HH,OW,L,D;s; IH
a;AH;s; 
s,u,b,j,e,c,t;S,AH,B,JH,EH,K,T;s; 
f,o,r;F,AO,R;s; AO
t,r,u,th;T,R,UW,TH;s; UW
f,o,r;F,AO,R;s; AO
d,u,t,y;D,UW,T,IY;s; UW,IY
a,n,d;AH,N,D;s; 
f,o,r;F,AO,R;s; AO
o;OW;s; 
p,o,m,f,r,e,t;P,ɤ,M,F,r,IH,T;s; IH
p,o,m,f,r,e,t;P,ɤ,M,F,r,IH,T;s; IH
o;OW;s; 
th,ou;DH,AW;s; 
b,l,oo,d,y;B,L,AH,D,IY;s; IY
p,r,i,s,o,n;P,R,IH,Z,AH,N;s; IH
f,a,t,a,l;F,EY,T,AH,L;s; EY
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
p,ee,r,s;P,IY,R,Z;s; IY
w,i,th,i,n;W,IH,DH,IH,N;s; IH,IH
th,e;DH,AH;s; 
g,ui,l,t,y;G,IH,L,T,IY;s; IH,IY
c,l,o,s,re;K,L,OW,ZH,ER;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
s,e,c,o,n,d;S,EH,K,AH,N,D;s; 
w,a,s;W,AA,Z;s; AA
t,o;T,UW;s; UW
d,ea,th;D,EH,TH;s; 
a,n,d;AH,N,D;s; 
f,o,r;F,AO,R;s; AO
s,l,a,n,d,e,r;S,L,AO,N,D,ǝ,R;s; AO
t,o;T,UW;s; UW
d,i,s,m,a,l;D,IH,Z,M,AA,L;s; IH,AA
s,ea,t;S,IY,T;s; IY
w,e;W,IY;s; IY
t,o;T,UW;s; UW
th,ee;DH,IY;s; IY
ou,r;OW,R;s; 
g,ui,l,t,l,e,ss;G,IH,L,T,L,ǝ,S;s; IH
b,l,oo,d;B,L,AH,D;s; 
t,o;T,UW;s; UW
d,r,i,n,k;D,R,IH,NG,K;s; IH
th,e,n;DH,EH,N;s; 
sh,e;SH,IY;s; IY
th,e,n;DH,EH,N;s; 
sh,e;SH,IY;s; IY
th,e,n;DH,EH,N;s; 
sh,e;SH,IY;s; IY
o;OW;s; 
g,o,d;G,AA,D;s; AA
t,o;T,UW;s; UW
f,o,r;F,AO,R;s; AO
th,e,m;DH,EH,M;s; 
a,s;AE,Z;s; AE
f,o,r;F,AO,R;s; AO
u,s;AH,S;s; 
a,n,d;AH,N,D;s; 
f,o,r;F,AO,R;s; AO
m,y;M,AY;s; AY
a,n,d;AH,N,D;s; 
p,r,i,n,c,e,l,y;P,r,IH,N,S,L,ǝ,IH;s; IH,IH
s,o,n,s;S,AH,N,Z;s; 
b,e;B,IY;s; IY
s,a,t,i,s,f,ie,d;S,AE,T,AH,S,F,AY,D;s; AE,AY
d,ea,r;D,IY,R;s; IY
g,o,d;G,AA,D;s; AA
w,i,th;W,IH,DH;s; IH
ou,r;OW,R;s; 
t,r,ue;T,R,UW;s; UW
b,l,oo,d;B,L,AH,D;s; 
a,s;AE,Z;s; AE
th,ou;DH,AW;s; 
m,u,s,t;M,AH,S,T;s; 
b,e;B,IY;s; IY
s,p,i,l,t;S,P,IH,L,T;s; IH
l,e,t;L,EH,T;s; 
u,s;AH,S;s; 
u,n,t,i,l;AH,N,T,IH,L;s; IH
w,e;W,IY;s; IY
m,ee,t;M,IY,T;s; IY
a,g,ai,n;ǝ,ɡ,EH,N;s; 
i,n;IH,N;s; IH
h,ea,v,e,n;HH,EH,V,AH,N;s; 
l,e,t;L,EH,T;s; 
m,e;M,IY;s; IY
s,i,t;S,IH,T;s; IH
h,ea,v,y;e,V,ǝ,IH;s; IH
i,n;IH,N;s; IH
s,ou,l;S,OW,L;s; 
r,i,v,e,r,s;r,IH,V,ǝ,R,Z;s; IH
th,a,t;DH,AE,T;s; AE
d,ie,d;D,AY,D;s; AY
a,t;AE,T;s; AE
