a,t;AE,T;s; AE
o,r;AO,R;s; AO
a,t;AE,T;s; AE
i,n;IH,N;s; IH
a;AH;s; 
t,a,l,b,o,t;T,AE,L,B,AH,T;s; AE
r,e,d,ou,b,t,e,d;r,IH,D,ǝ,UH,T,IH,D;s; IH,UH,IH
j,a,m,e,s;D,ZH,EH,M,S;s; 
b,l,u,n,t;B,L,ɤ,N,T;s; 
a,n,d;AH,N,D;s; 
th,o,m,a,s;T,AA,M,AH,S;s; AA
w,i,th;W,IH,DH;s; IH
a;AH;s; 
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
g,r,ea,t;G,r,e,T;s; 
a,n,d;AH,N,D;s; 
w,o,r,th;W,AO,R,TH;s; AO
a,n,d;AH,N,D;s; 
t,o,w,a,r,d,s;T,AH,W,AO,R,D,Z;s; AO
l,o,n,d,o,n;L,AH,N,D,AH,N;s; 
d,o;D,OW;s; 
b,e,n,d;B,EH,N,D;s; 
th,ei,r;DH,EH,R;s; 
i,f;IH,F;s; IH
b,y;B,AY;s; AY
th,e;DH,AH;s; 
b,e;B,IY;s; IY
n,o,t;N,AA,T;s; AA
w,i,th,a,l;W,IH,DH,AA,L;s; IH,AA
