y,ou;Y,UW;s; UW
th,a,t;DH,AE,T;s; AE
sh,a,ll;SH,AE,L;s; AE
w,oe;W,OW;s; 
f,o,r;F,AO,R;s; AO
th,i,s;DH,IH,S;s; IH
th,i,n,k;TH,IH,NG,K;s; IH
u,p,o,n;AH,P,AA,N;s; AA
a,n,d;AH,N,D;s; 
w,i,th;W,IH,DH;s; IH
g,ui,l,t,y;G,IH,L,T,IY;s; IH,IY
f,ea,r;F,IY,R;s; IY
l,e,t;L,EH,T;s; 
f,a,ll;F,AA,L;s; AA
d,e,s,p,ai,r;D,IH,S,P,EH,R;s; IH
a,n,d;AH,N,D;s; 
a,n,d;AH,N,D;s; 
th,i,n,k;TH,IH,NG,K;s; IH
ou,r;OW,R;s; 
i,n;IH,N;s; IH
b,o,s,o,m;B,UH,Z,AH,M;s; UH
w,i,ll;W,IH,L;s; IH
h,i,m;HH,IH,M;s; IH
a,n,d;AH,N,D;s; 
w,i,n;W,IH,N;s; IH
th,e;DH,AH;s; 
