p,a,r,t;P,AA,R,T;s; AA
f,oo,l,s;F,UW,L,Z;s; UW
p,u,t;P,UH,T;s; UH
u,p;AH,P;s; 
y,ou,r;Y,AO,R;s; AO
y,ou;Y,UW;s; UW
n,o,t;N,AA,T;s; AA
wh,a,t;W,AH,T;s; 
y,ou;Y,UW;s; UW
d,o;D,OW;s; 
i;AY;s; AY
d,o;D,OW;s; 
b,u,t;B,AH,T;s; 
k,ee,p;K,IY,P;s; IY
th,e;DH,AH;s; 
p,u,t;P,UH,T;s; UH
u,p;AH,P;s; 
o,r;AO,R;s; AO
i,t;IH,T;s; IH
t,o;T,UW;s; UW
p,a,r,t;P,AA,R,T;s; AA
m,e,n;M,EH,N;s; 
w,i,th;W,IH,DH;s; IH
m,e;M,IY;s; IY
w,re;W,ER;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
y,ou,r;Y,AO,R;s; AO
a,n,d;AH,N,D;s; 
y,ou,r,s;Y,UH,R,Z;s; UH
i;AY;s; AY
d,i,d;D,IH,D;s; IH
a,pp,p,r,oa,ch;ǝ,P,r,OW,T,SH;s; 
i;AY;s; AY
t,o;T,UW;s; UW
p,a,r,t;P,AA,R,T;s; AA
th,e,m;DH,EH,M;s; 
i,n;IH,N;s; IH
th,e;DH,AH;s; 
i,n,s,t,a,n,t;IH,N,S,T,AH,N,T;s; IH
th,e;DH,AH;s; 
t,y,b,a,l,t;T,IH,B,AH,L,T;s; IH
w,i,th;W,IH,DH;s; IH
h,i,s;HH,IH,Z;s; IH
a,s;AE,Z;s; AE
h,e;HH,IY;s; IY
t,o;T,UW;s; UW
m,y;M,AY;s; AY
ea,r,s;IY,R,Z;s; IY
h,e;HH,IY;s; IY
h,i,s;HH,IH,Z;s; IH
a,n,d;AH,N,D;s; 
c,u,t;K,ɤ,T;s; 
th,e;DH,AH;s; 
wh,o;HH,UW;s; UW
w,i,th,a,l;W,IH,DH,AA,L;s; IH,AA
h,i,m;HH,IH,M;s; IH
i,n;IH,N;s; IH
w,e;W,IY;s; IY
w,re;W,ER;s; 
a,n,d;AH,N,D;s; 
a,n,d;AH,N,D;s; 
a,n,d;AH,N,D;s; 
o,n;AA,N;s; AA
p,a,r,t;P,AA,R,T;s; AA
a,n,d;AH,N,D;s; 
p,a,r,t;P,AA,R,T;s; AA
t,i,ll;T,IH,L;s; IH
th,e;DH,AH;s; 
wh,o;HH,UW;s; UW
p,a,r,t,e,d;P,AA,R,T,IH,D;s; AA,IH
ei,th,e,r;EH,DH,ǝ,R;s; 
p,a,r,t;P,AA,R,T;s; AA
m,a,d,a,m;M,AE,D,AH,M;s; AE
a,n;AE,N;s; AE
th,e;DH,AH;s; 
s,u,n;S,AH,N;s; 
f,o,r,th;F,AO,R,TH;s; AO
th,e;DH,AH;s; 
g,o,l,d,e,n;G,OW,L,D,ǝ,N;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
ea,s,t;e,S,T;s; 
a;AH;s; 
t,r,ou,b,l,e,d;T,r,ɤ,B,ǝ,L,D;s; 
m,e;M,IY;s; IY
t,o;T,UW;s; UW
a,b,r,oa,d;AH,B,R,AO,D;s; AO
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,a,t;DH,AE,T;s; AE
f,r,o,m;F,R,AH,M;s; 
th,i,s;DH,IH,S;s; IH
s,o;S,OW;s; 
d,i,d;D,IH,D;s; IH
i;AY;s; AY
s,ee;S,IY;s; IY
y,ou,r;Y,AO,R;s; AO
s,o,n;S,AO,̃;s; AO
t,o,w,a,r,d,s;T,AH,W,AO,R,D,Z;s; AO
h,i,m;HH,IH,M;s; IH
i;AY;s; AY
b,u,t;B,AH,T;s; 
h,e;HH,IY;s; IY
w,a,s;W,AA,Z;s; AA
o,f;AH,V;s; 
m,e;M,IY;s; IY
a,n,d;AH,N,D;s; 
i,n,t,o;IH,N,T,UW;s; IH,UW
th,e;DH,AH;s; 
c,o,v,e,r,t;K,ɤ,V,ǝ,R,T;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
w,oo,d;W,UH,D;s; UH
i;AY;s; AY
h,i,s;HH,IH,Z;s; IH
a,ff,e,c,t,io,n,s;AH,F,EH,K,SH,AH,N,Z;s; 
b,y;B,AY;s; AY
m,y;M,AY;s; AY
th,e,n;DH,EH,N;s; 
m,o,s,t;M,OW,S,T;s; 
m,o,s,t;M,OW,S,T;s; 
n,o,t;N,AA,T;s; AA
b,e;B,IY;s; IY
b,ei,n,g;B,IY,IH,NG;s; IY,IH
t,oo;T,UW;s; UW
b,y;B,AY;s; AY
m,y;M,AY;s; AY
s,e,l,f;S,EH,L,F;s; 
m,y;M,AY;s; AY
h,u,m,o,r;HH,Y,UW,M,ER;s; UW
n,o,t;N,AA,T;s; AA
h,i,s;HH,IH,Z;s; IH
a,n,d;AH,N,D;s; 
wh,o;HH,UW;s; UW
f,l,e,d;F,L,EH,D;s; 
f,r,o,m;F,R,AH,M;s; 
m,e;M,IY;s; IY
m,y;M,AY;s; AY
d,o;D,OW;s; 
y,ou;Y,UW;s; UW
th,e;DH,AH;s; 
y,ou;Y,UW;s; UW
i,m,p,o,r,t,u,n,e,d;IH,M,P,AO,R,T,Y,ǝ,N,D;s; IH,AO
h,i,m;HH,IH,M;s; IH
b,y;B,AY;s; AY
m,ea,n,s;M,IY,N,Z;s; IY
