holy,'HH OW L IY', s, IY
friar,'F R AY ER', s, AY
ho,'HH OW', s, 
going,'G OW IH N', s, IH
to,'T UW', s, UW
a,'AH', s, 
out,'AW T', s, 
of,'AH V', s, 
our,'OW R', s, 
order,'AO R D ǝ R', s, AO
to,'T UW', s, UW
me,'M IY', s, IY
in,'IH N', s, IH
this,'DH IH S', s, IH
the,'DH AH', s, 
sick,'S IH K', s, IH
and,'AH N D', s, 
finding,'F ǝ IH N D IH N', s, IH IH
him,'HH IH M', s, IH
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
that,'DH AE T', s, AE
we,'W IY', s, IY
both,'B OW TH', s, 
wre,'W ER', s, 
in,'IH N', s, IH
a,'AH', s, 
the,'DH AH', s, 
infectious,'IH N F EH K SH AH S', s, IH
did,'D IH D', s, IH
up,'AH P', s, 
the,'DH AH', s, 
doors,'D AO R Z', s, AO
and,'AH N D', s, 
not,'N AA T', s, AA
let,'L EH T', s, 
us,'AH S', s, 
forth,'F AO R TH', s, AO
so,'S OW', s, 
that,'DH AE T', s, AE
my,'M AY', s, AY
speed,'S P IY D', s, IY
to,'T UW', s, UW
was,'W AA Z', s, AA
i,'AY', s, AY
not,'N AA T', s, AA
send,'S EH N D', s, 
it,'IH T', s, IH
is,'IH Z', s, IH
again,'ǝ ɡ EH N', s, 
nor,'N AO R', s, AO
get,'G EH T', s, 
a,'AH', s, 
to,'T UW', s, UW
it,'IH T', s, IH
thee,'DH IY', s, IY
so,'S OW', s, 
fearful,'F IH R F AH L', s, IH
wre,'W ER', s, 
of,'AH V', s, 
go,'G OW', s, 
and,'AH N D', s, 
it,'IH T', s, IH
thee,'DH IY', s, IY
