th,e;DH,AH;s; 
m,o,r,n;M,AO,R,N;s; AO
s,m,i,l,e,s;S,M,ǝ,IH,L,Z;s; IH
o,n;AA,N;s; AA
th,e;DH,AH;s; 
th,e;DH,AH;s; 
c,l,ou,d,s;K,L,AW,D,Z;s; 
w,i,th;W,IH,DH;s; IH
s,t,r,ea,k,s;S,T,R,IY,K,S;s; IY
o,f;AH,V;s; 
a,n,d;AH,N,D;s; 
d,a,r,k,n,e,ss;D,AA,R,K,N,AH,S;s; AA
a;AH;s; 
d,r,u,n,k,a,r,d;D,r,ɤ,NG,K,ǝ,R,D;s; 
r,ee,l,s;R,IY,L,Z;s; IY
f,r,o,m;F,R,AH,M;s; 
f,o,r,th;F,AO,R,TH;s; AO
p,a,th;P,AW,TH;s; 
a,n,d;AH,N,D;s; 
wh,ee,l,s;ʍ,IY,L,Z;s; IY
th,e;DH,AH;s; 
s,u,n;S,AH,N;s; 
h,i,s;HH,IH,Z;s; IH
th,e;DH,AH;s; 
t,o;T,UW;s; UW
a,n,d;AH,N,D;s; 
d,a,n,k;D,AE,NG,K;s; AE
d,e,w;D,Y,UW;s; UW
t,o;T,UW;s; UW
i;AY;s; AY
m,u,s,t;M,AH,S,T;s; 
th,i,s;DH,IH,S;s; IH
o,f;AH,V;s; 
ou,r,s;OW,R,Z;s; 
w,i,th;W,IH,DH;s; IH
w,ee,d,s;W,IY,D,Z;s; IY
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
i,s;IH,Z;s; IH
wh,a,t;W,AH,T;s; 
i,s;IH,Z;s; IH
th,a,t;DH,AE,T;s; AE
i,s;IH,Z;s; IH
a,n,d;AH,N,D;s; 
f,r,o,m;F,R,AH,M;s; 
ch,i,l,d,r,e,n;CH,IH,L,D,R,AH,N;s; IH
o,f;AH,V;s; 
w,e;W,IY;s; IY
o,n;AA,N;s; AA
b,o,s,o,m;B,UH,Z,AH,M;s; UH
f,o,r;F,AO,R;s; AO
b,u,t;B,AH,T;s; 
f,o,r;F,AO,R;s; AO
a,n,d;AH,N,D;s; 
y,e,t;Y,EH,T;s; 
a,ll;AA,L;s; AA
o;OW;s; 
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
th,a,t;DH,AE,T;s; AE
i,n;IH,N;s; IH
p,l,a,n,t,s;P,L,AW,N,T,S;s; 
a,n,d;AH,N,D;s; 
th,ei,r;DH,EH,R;s; 
t,r,ue;T,R,UW;s; UW
f,o,r;F,AO,R;s; AO
s,o;S,OW;s; 
th,a,t;DH,AE,T;s; AE
o,n;AA,N;s; AA
th,e;DH,AH;s; 
d,o,th;D,AO,TH;s; AO
b,u,t;B,AH,T;s; 
t,o;T,UW;s; UW
th,e;DH,AH;s; 
g,oo,d;G,UH,D;s; UH
d,o,th;D,AO,TH;s; AO
n,o,r;N,AO,R;s; AO
s,o;S,OW;s; 
g,oo,d;G,UH,D;s; UH
b,u,t;B,AH,T;s; 
f,r,o,m;F,R,AH,M;s; 
th,a,t;DH,AE,T;s; AE
f,ai,r;F,EH,R;s; 
r,e,v,o,l,t,s;r,IH,V,ɒ,L,T,S;s; IH
f,r,o,m;F,R,AH,M;s; 
t,r,ue;T,R,UW;s; UW
o,n;AA,N;s; AA
i,t,s,e,l,f;IH,T,S,EH,L,F;s; IH
t,u,r,n,s;T,ɐ,R,N,Z;s; 
b,ei,n,g;B,IY,IH,NG;s; IY,IH
a,n,d;AH,N,D;s; 
s,o,m,e,t,me;S,AH,M,T,AY,M;s; AY
b,y;B,AY;s; AY
a,c,t,io,n;AE,K,SH,AH,N;s; AE
w,i,th,i,n;W,IH,DH,IH,N;s; IH,IH
th,e;DH,AH;s; 
i,n,f,a,n,t;IH,N,F,AH,N,T;s; IH
r,i,n,d;R,AY,N,D;s; AY
o,f;AH,V;s; 
th,i,s;DH,IH,S;s; IH
w,ea,k;W,IY,K;s; IY
h,a,th;HH,AE,TH;s; AE
a,n,d;AH,N,D;s; 
m,e,d,i,c,ne;M,e,D,S,IH,N;s; IH
