a;AH;s; 
c,r,u,t,ch;K,r,ɤ,T,SH;s; 
a;AH;s; 
c,r,u,t,ch;K,r,ɤ,T,SH;s; 
wh,h,y;ʍ,ǝ,IH;s; IH
c,a,ll;K,AO,L;s; AO
y,ou;Y,UW;s; UW
f,o,r;F,AO,R;s; AO
a;AH;s; 
n,u,se;N,ER,S;s; 
m,y;M,AY;s; AY
c,a,ll;K,AO,L;s; AO
f,o,r,th;F,AO,R,TH;s; AO
t,o;T,UW;s; UW
m,e;M,IY;s; IY
th,i,s;DH,IH,S;s; IH
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
w,e;W,IY;s; IY
m,u,s,t;M,AH,S,T;s; 
i,n;IH,N;s; IH
b,a,ck;B,AE,K;s; AE
a,g,ai,n;ǝ,ɡ,EH,N;s; 
i;AY;s; AY
m,e;M,IY;s; IY
th,ou;DH,AW;s; 
',s;EH,S;s; 
ou,r;OW,R;s; 
th,ou;DH,AW;s; 
m,y;M,AY;s; AY
o,f;AH,V;s; 
a;AH;s; 
p,r,e,tt,t,y;P,r,IH,T,ǝ,IH;s; IH,IH
n,o,t;N,AA,T;s; AA
f,ou,r,t,ee,n;F,AO,R,T,IY,N;s; AO,IY
a;AH;s; 
a,n,d;AH,N,D;s; 
o,dd;AA,D;s; AA
o,f;AH,V;s; 
th,i,s;DH,IH,S;s; IH
i;AY;s; AY
th,ee;DH,IY;s; IY
m,a,rr,r,y;M,AW,r,ǝ,IH;s; IH
th,a,t;DH,AE,T;s; AE
m,a,rr,r,y;M,AW,r,ǝ,IH;s; IH
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
v,e,r,y;V,EH,R,IY;s; IY
i;AY;s; AY
t,o;T,UW;s; UW
m,e;M,IY;s; IY
s,t,a,n,d,s;S,T,AE,N,D,Z;s; AE
y,ou,r;Y,AO,R;s; AO
d,i,s,p,o,s,i,t,io,n;D,IH,S,P,AH,Z,IH,SH,AH,N;s; IH,IH
t,o;T,UW;s; UW
b,e;B,IY;s; IY
w,e,ll;W,EH,L;s; 
th,i,n,k;TH,IH,NG,K;s; IH
o,f;AH,V;s; 
th,a,n;DH,AE,N;s; AE
y,ou;Y,UW;s; UW
i,n;IH,N;s; IH
l,a,d,ie,s;L,EY,D,IY,Z;s; EY,IY
o,f;AH,V;s; 
e,s,t,ee,m;AH,S,T,IY,M;s; IY
b,y;B,AY;s; AY
m,y;M,AY;s; AY
i;AY;s; AY
w,a,s;W,AA,Z;s; AA
y,ou,r;Y,AO,R;s; AO
u,p,o,n;AH,P,AA,N;s; AA
y,ea,r,s;Y,IH,R,Z;s; IH
th,a,t;DH,AE,T;s; AE
y,ou;Y,UW;s; UW
a;AH;s; 
m,ai,d;M,EY,D;s; EY
th,u,s;DH,ɤ,S;s; 
th,e,n;DH,EH,N;s; 
i,n;IH,N;s; IH
b,r,ie,f;B,R,IY,F;s; IY
th,e;DH,AH;s; 
p,a,r,i,s;P,EH,R,IH,S;s; IH
s,ee,k,s;S,IY,K,S;s; IY
y,ou;Y,UW;s; UW
f,o,r;F,AO,R;s; AO
h,i,s;HH,IH,Z;s; IH
s,u,mm,e,r;S,ɤ,M,ǝ,R;s; 
h,a,th;HH,AE,TH;s; AE
n,o,t;N,AA,T;s; AA
a;AH;s; 
wh,a,t;W,AH,T;s; 
y,ou;Y,UW;s; UW
c,a,n;K,AE,N;s; AE
y,ou;Y,UW;s; UW
th,e;DH,AH;s; 
g,e,n,t,l,e,m,a,n;JH,EH,N,T,AH,L,M,AH,N;s; 
th,i,s;DH,IH,S;s; IH
y,ou;Y,UW;s; UW
sh,a,ll;SH,AE,L;s; AE
b,e,h,o,l,d;B,IH,HH,OW,L,D;s; IH
h,i,m;HH,IH,M;s; IH
a,t;AE,T;s; AE
ou,r;OW,R;s; 
f,ea,s,t;F,e,S,T;s; 
r,ea,d;r,e,D;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
a,n,d;AH,N,D;s; 
wr,i,t;R,IH,T;s; IH
w,i,th;W,IH,DH;s; IH
p,e,n;P,EH,N;s; 
e,v,e,r,y;e,V,r,ǝ,IH;s; IH
a,n,d;AH,N,D;s; 
s,ee;S,IY;s; IY
a,n,o,th,e,r;ǝ,N,ɤ,DH,ǝ,R;s; 
l,e,n,d,s;L,EH,N,D,Z;s; 
c,o,n,t,e,n,t;K,ǝ,N,T,e,N,T;s; 
a,n,d;AH,N,D;s; 
wh,a,t;W,AH,T;s; 
i,n;IH,N;s; IH
th,i,s;DH,IH,S;s; IH
f,ai,r;F,EH,R;s; 
wr,i,tt,e,n;R,IH,T,AH,N;s; IH
i,n;IH,N;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
h,i,s;HH,IH,Z;s; IH
th,i,s;DH,IH,S;s; IH
