wh,o;HH,UW;s; UW
i,s;IH,Z;s; IH
th,a,t;DH,AE,T;s; AE
s,o;S,OW;s; 
c,o,l,d,l,y;K,OW,L,D,L,IY;s; IY
i,s;IH,Z;s; IH
m,y;M,AY;s; AY
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
a,n,d;AH,N,D;s; 
h,i,s;HH,IH,Z;s; IH
i,s;IH,Z;s; IH
sh,e;SH,IY;s; IY
s,o;S,OW;s; 
h,o,t;HH,AA,T;s; AA
a;AH;s; 
a,s;AE,Z;s; AE
r,e,p,o,r,t,e,d;R,IY,P,AO,R,T,AH,D;s; IY,AO
y,ou;Y,UW;s; UW
f,oo,l;F,UH,L;s; UH
i;AY;s; AY
a,m;AE,M;s; AE
n,o;N,OW;s; 
b,ea,s,t;B,e,S,T;s; 
i;AY;s; AY
p,r,i,th,ee;P,r,e,DH,IY;s; IY
g,oo,d;G,UH,D;s; UH
t,e,ll;T,EH,L;s; 
m,e;M,IY;s; IY
g,oe,s;G,OW,Z;s; 
th,e;DH,AH;s; 
r,ea,d,y;R,EH,D,IY;s; IY
a,n,d;AH,N,D;s; 
th,e,r,e,f,re;DH,EH,R,F,AO,R;s; AO
g,oo,d;G,UH,D;s; UH
th,e;DH,AH;s; 
y,ou;Y,UW;s; UW
s,o;S,OW;s; 
f,u,ll;F,UH,L;s; UH
o,f;AH,V;s; 
a,ll;AA,L;s; AA
r,ea,d,y;R,EH,D,IY;s; IY
a,n,d;AH,N,D;s; 
th,e,r,e,f,re;DH,EH,R,F,AO,R;s; AO
i;AY;s; AY
th,ee;DH,IY;s; IY
g,oo,d;G,UH,D;s; UH
th,i,s;DH,IH,S;s; IH
t,o;T,UW;s; UW
f,ee,l;F,IY,L;s; IY
a;AH;s; 
n,o,t;N,AA,T;s; AA
t,o;T,UW;s; UW
a;AH;s; 
b,o,th;B,OW,TH;s; 
o,f;AH,V;s; 
wh,h,y;ʍ,ǝ,IH;s; IH
a;AH;s; 
b,y;B,AY;s; AY
th,i,s;DH,IH,S;s; IH
h,e;HH,IY;s; IY
i,s;IH,Z;s; IH
th,a,n;DH,AE,N;s; AE
sh,e;SH,IY;s; IY
d,o;D,OW;s; 
y,ou;Y,UW;s; UW
h,o;HH,OW;s; 
y,ou;Y,UW;s; UW
m,u,s,t;M,AH,S,T;s; 
m,ee,t;M,IY,T;s; IY
m,y;M,AY;s; AY
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
t,o;T,UW;s; UW
m,y;M,AY;s; AY
m,i,s,t,r,e,ss;M,IH,S,T,R,AH,S;s; IH
wh,o;HH,UW;s; UW
n,o,t;N,AA,T;s; AA
th,a,t;DH,AE,T;s; AE
i;AY;s; AY
c,a,ll;K,AO,L;s; AO
th,e,m;DH,EH,M;s; 
f,o,r,th;F,AO,R,TH;s; AO
t,o;T,UW;s; UW
c,r,e,d,i,t;K,R,EH,D,AH,T;s; 
i,n;IH,N;s; IH
a;AH;s; 
s,e,r,m,o,n;S,ɐ,R,M,ǝ,N;s; 
o,f;AH,V;s; 
t,o;T,UW;s; UW
a,n,d;AH,N,D;s; 
r,ai,l,s;r,EH,L,Z;s; 
a,n,d;AH,N,D;s; 
s,w,ea,r,s;S,W,EH,R,Z;s; 
a,n,d;AH,N,D;s; 
th,a,t;DH,AE,T;s; AE
sh,e;SH,IY;s; IY
p,oo,r;P,UH,R;s; UH
s,ou,l;S,OW,L;s; 
n,o,t;N,AA,T;s; AA
t,o;T,UW;s; UW
s,t,a,n,d;S,T,AE,N,D;s; AE
t,o;T,UW;s; UW
l,oo,k;L,UH,K;s; UH
t,o;T,UW;s; UW
s,p,ea,k;S,P,IY,K;s; IY
a,n,d;AH,N,D;s; 
s,i,t,s;S,IH,T,S;s; IH
a,s;AE,Z;s; AE
n,e,w,-,r,i,s,e,n;N,Y,UW,-,r,IH,Z,ǝ,N;s; UW,IH
f,r,o,m;F,R,AH,M;s; 
a;AH;s; 
d,r,ea,m;D,R,IY,M;s; IY
f,o,r;F,AO,R;s; AO
h,e;HH,IY;s; IY
i,s;IH,Z;s; IH
