who,'HH UW', s, UW
is,'IH Z', s, IH
that,'DH AE T', s, AE
so,'S OW', s, 
coldly,'K OW L D L IY', s, IY
is,'IH Z', s, IH
my,'M AY', s, AY
master,'M AW S T ǝ R', s, 
and,'AH N D', s, 
his,'HH IH Z', s, IH
is,'IH Z', s, IH
she,'SH IY', s, IY
so,'S OW', s, 
hot,'HH AA T', s, AA
a,'AH', s, 
as,'AE Z', s, AE
reported,'R IY P AO R T AH D', s, IY AO
you,'Y UW', s, UW
fool,'F UH L', s, UH
i,'AY', s, AY
am,'AE M', s, AE
no,'N OW', s, 
beast,'B e S T', s, 
i,'AY', s, AY
prithee,'P r e DH IY', s, IY
good,'G UH D', s, UH
tell,'T EH L', s, 
me,'M IY', s, IY
goes,'G OW Z', s, 
the,'DH AH', s, 
ready,'R EH D IY', s, IY
and,'AH N D', s, 
therefre,'DH EH R F AO R', s, AO
good,'G UH D', s, UH
the,'DH AH', s, 
you,'Y UW', s, UW
so,'S OW', s, 
full,'F UH L', s, UH
of,'AH V', s, 
all,'AA L', s, AA
ready,'R EH D IY', s, IY
and,'AH N D', s, 
therefre,'DH EH R F AO R', s, AO
i,'AY', s, AY
thee,'DH IY', s, IY
good,'G UH D', s, UH
this,'DH IH S', s, IH
to,'T UW', s, UW
feel,'F IY L', s, IY
a,'AH', s, 
not,'N AA T', s, AA
to,'T UW', s, UW
a,'AH', s, 
both,'B OW TH', s, 
of,'AH V', s, 
whhy,'ʍ ǝ IH', s, IH
a,'AH', s, 
by,'B AY', s, AY
this,'DH IH S', s, IH
he,'HH IY', s, IY
is,'IH Z', s, IH
than,'DH AE N', s, AE
she,'SH IY', s, IY
do,'D OW', s, 
you,'Y UW', s, UW
ho,'HH OW', s, 
you,'Y UW', s, UW
must,'M AH S T', s, 
meet,'M IY T', s, IY
my,'M AY', s, AY
master,'M AW S T ǝ R', s, 
to,'T UW', s, UW
my,'M AY', s, AY
mistress,'M IH S T R AH S', s, IH
who,'HH UW', s, UW
not,'N AA T', s, AA
that,'DH AE T', s, AE
i,'AY', s, AY
call,'K AO L', s, AO
them,'DH EH M', s, 
forth,'F AO R TH', s, AO
to,'T UW', s, UW
credit,'K R EH D AH T', s, 
in,'IH N', s, IH
a,'AH', s, 
sermon,'S ɐ R M ǝ N', s, 
of,'AH V', s, 
to,'T UW', s, UW
and,'AH N D', s, 
rails,'r EH L Z', s, 
and,'AH N D', s, 
swears,'S W EH R Z', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
she,'SH IY', s, IY
poor,'P UH R', s, UH
soul,'S OW L', s, 
not,'N AA T', s, AA
to,'T UW', s, UW
stand,'S T AE N D', s, AE
to,'T UW', s, UW
look,'L UH K', s, UH
to,'T UW', s, UW
speak,'S P IY K', s, IY
and,'AH N D', s, 
sits,'S IH T S', s, IH
as,'AE Z', s, AE
new-risen,'N Y UW - r IH Z ǝ N', s, UW IH
from,'F R AH M', s, 
a,'AH', s, 
dream,'D R IY M', s, IY
for,'F AO R', s, AO
he,'HH IY', s, IY
is,'IH Z', s, IH
