god,'G AA D', s, AA
sve,'EH V', s, 
you,'Y UW', s, UW
at,'AE T', s, AE
the,'DH AH', s, 
farthest,'F AA R DH AH S T', s, AA
for,'F AO R', s, AO
a,'AH', s, 
week,'W IY K', s, IY
or,'AO R', s, AO
but,'B AH T', s, 
then,'DH EH N', s, 
up,'AH P', s, 
and,'AH N D', s, 
as,'AE Z', s, AE
far,'F AA R', s, AA
as,'AE Z', s, AE
and,'AH N D', s, 
so,'S OW', s, 
to,'T UW', s, UW
tripoli,'T r IH P ǝ L IY', s, IH IY
if,'IH F', s, IH
god,'G AA D', s, AA
lend,'L EH N D', s, 
me,'M IY', s, IY
of,'AH V', s, 
my,'M AY', s, AY
i,'AY', s, AY
for,'F AO R', s, AO
that,'DH AE T', s, AE
goes,'G OW Z', s, 
alas,'AH L AE S', s, AE
it,'IH T', s, IH
is,'IH Z', s, IH
for,'F AO R', s, AO
me,'M IY', s, IY
than,'DH AE N', s, AE
so,'S OW', s, 
for,'F AO R', s, AO
i,'AY', s, AY
for,'F AO R', s, AO
by,'B AY', s, AY
from,'F R AH M', s, 
and,'AH N D', s, 
must,'M AH S T', s, 
deliver,'D IH L IH V ǝ R', s, IH IH
them,'DH EH M', s, 
in,'IH N', s, IH
pisa,'P IY S AH', s, IY
i,'AY', s, AY
been,'B IH N', s, IH
pisa,'P IY S AH', s, IY
for,'F AO R', s, AO
citizens,'S IH T AH Z AH N Z', s, IH
i,'AY', s, AY
him,'HH IH M', s, IH
not,'N AA T', s, AA
but,'B AH T', s, 
i,'AY', s, AY
of,'AH V', s, 
him,'HH IH M', s, IH
a,'AH', s, 
of,'AH V', s, 
wealth,'W EH L TH', s, 
o,'OW', s, 
i,'AY', s, AY
do,'D OW', s, 
and,'AH N D', s, 
will,'W IH L', s, IH
you,'Y UW', s, UW
the,'DH AH', s, 
patron,'P EY T R AH N', s, EY
of,'AH V', s, 
my,'M AY', s, AY
and,'AH N D', s, 
what,'W AH T', s, 
and,'AH N D', s, 
but,'B AH T', s, 
i,'AY', s, AY
be,'B IY', s, IY
baptista,'B AE P T IH S T AH', s, AE IH
me,'M IY', s, IY
near,'N IY R', s, IY
years,'Y IH R Z', s, IH
ago,'ǝ ɡ OW', s, 
in,'IH N', s, IH
we,'W IY', s, IY
wre,'W ER', s, 
at,'AE T', s, AE
the,'DH AH', s, 
i,'AY', s, AY
warrant,'W AA r ǝ N T', s, AA
you,'Y UW', s, UW
but,'B AH T', s, 
your,'Y AO R', s, AO
good,'G UH D', s, UH
he,'HH IY', s, IY
wre,'W ER', s, 
soft,'S AA F T', s, AA
son,'S AO ̃', s, AO
by,'B AY', s, AY
your,'Y AO R', s, AO
to,'T UW', s, UW
to,'T UW', s, UW
in,'IH N', s, IH
my,'M AY', s, AY
son,'S AO ̃', s, AO
me,'M IY', s, IY
