my,'M AY', s, AY
lord,'L AO R D', s, AO
lord,'L AO R D', s, AO
what,'W AH T', s, 
is,'IH Z', s, IH
will,'W IH L', s, IH
with,'W IH DH', s, IH
my,'M AY', s, AY
and,'AH N D', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
my,'M AY', s, AY
lord,'L AO R D', s, AO
and,'AH N D', s, 
i,'AY', s, AY
am,'AE M', s, AE
your,'Y AO R', s, AO
in,'IH N', s, IH
all,'AA L', s, AA
and,'AH N D', s, 
the,'DH AH', s, 
seems,'S IY M Z', s, IY
unto,'AH N T UW', s, UW
me,'M IY', s, IY
being,'B IY IH NG', s, IY IH
all,'AA L', s, AA
this,'DH IH S', s, IH
from,'F R AH M', s, 
your,'Y AO R', s, AO
bed,'B EH D', s, 
lord,'L AO R D', s, AO
let,'L EH T', s, 
me,'M IY', s, IY
of,'AH V', s, 
you,'Y UW', s, UW
to,'T UW', s, UW
pardon,'P AA R D ǝ N', s, AA
me,'M IY', s, IY
yet,'Y EH T', s, 
for,'F AO R', s, AO
a,'AH', s, 
or,'AO R', s, AO
or,'AO R', s, AO
if,'IH F', s, IH
not,'N AA T', s, AA
so,'S OW', s, 
until,'AH N T IH L', s, IH
the,'DH AH', s, 
sun,'S AH N', s, 
be,'B IY', s, IY
set,'S EH T', s, 
for,'F AO R', s, AO
your,'Y AO R', s, AO
in,'IH N', s, IH
peril,'P EH R AH L', s, 
to,'T UW', s, UW
your,'Y AO R', s, AO
that,'DH AE T', s, AE
i,'AY', s, AY
yet,'Y EH T', s, 
absent,'AE B S AH N T', s, AE
me,'M IY', s, IY
from,'F R AH M', s, 
your,'Y AO R', s, AO
bed,'B EH D', s, 
i,'AY', s, AY
this,'DH IH S', s, IH
reason,'r EH Z ǝ N', s, 
stands,'S T AE N D Z', s, AE
for,'F AO R', s, AO
my,'M AY', s, AY
no,'N OW', s, 
my,'M AY', s, AY
good,'G UH D', s, UH
lord,'L AO R D', s, AO
it,'IH T', s, IH
is,'IH Z', s, IH
stuff,'S T ɤ F', s, 
it,'IH T', s, IH
is,'IH Z', s, IH
a,'AH', s, 
of,'AH V', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
but,'B AH T', s, 
begun,'B IH G AH N', s, IH
