what,'W AH T', s, 
will,'W IH L', s, IH
your,'Y AO R', s, AO
wear,'W EH R', s, 
o,'OW', s, 
this,'DH IH S', s, IH
it,'IH T', s, IH
is,'IH Z', s, IH
that,'DH AE T', s, AE
your,'Y AO R', s, AO
lady,'L EY D IY', s, EY IY
mourn,'M AO R N', s, AO
or,'AO R', s, AO
a,'AH', s, 
thorny,'TH AO R N IY', s, AO IY
wood,'W UH D', s, UH
legs,'L EH G Z', s, 
that,'DH AE T', s, AE
shall,'SH AE L', s, AE
swear,'S W EH R', s, 
she,'SH IY', s, IY
bleeds,'B L IY D Z', s, IY
and,'AH N D', s, 
at,'AE T', s, AE
that,'DH AE T', s, AE
shall,'SH AE L', s, AE
sad,'S AE D', s, AE
apollo,'AH P AA L OW', s, AA
weep,'W IY P', s, IY
so,'S OW', s, 
the,'DH AH', s, 
blood,'B L AH D', s, 
and,'AH N D', s, 
tears,'T EH R Z', s, 
whhy,'ʍ ǝ IH', s, IH
you,'Y UW', s, UW
no,'N OW', s, 
nor,'N AO R', s, AO
no,'N OW', s, 
maid,'M EY D', s, EY
nor,'N AO R', s, AO
no,'N OW', s, 
men,'M EH N', s, 
as,'AE Z', s, AE
you,'Y UW', s, UW
up,'AH P', s, 
as,'AE Z', s, AE
sly,'S L AY', s, AY
and,'AH N D', s, 
old,'OW L D', s, 
naps,'N AE P S', s, AE
of,'AH V', s, 
and,'AH N D', s, 
and,'AH N D', s, 
henry,'HH EH N R IY', s, IY
and,'AH N D', s, 
and,'AH N D', s, 
men,'M EH N', s, 
as,'AE Z', s, AE
never,'N e V ǝ R', s, 
wre,'W ER', s, 
nor,'N AO R', s, AO
no,'N OW', s, 
man,'M AE N', s, AE
amen,'EY M EH N', s, EY
