of,'AH V', s, 
his,'HH IH Z', s, IH
your,'Y AO R', s, AO
son,'S AO ̃', s, AO
he,'HH IY', s, IY
that,'DH AE T', s, AE
your,'Y AO R', s, AO
suffer,'S ɤ F ǝ R', s, 
him,'HH IH M', s, IH
to,'T UW', s, UW
spend,'S P EH N D', s, 
his,'HH IH Z', s, IH
youth,'Y UW TH', s, UW
at,'AE T', s, AE
hme,'OW M', s, 
men,'M EH N', s, 
of,'AH V', s, 
slender,'S L e N D ǝ R', s, 
put,'P UH T', s, UH
forth,'F AO R TH', s, AO
their,'DH EH R', s, 
sons,'S AH N Z', s, 
to,'T UW', s, UW
seek,'S IY K', s, IY
out,'AW T', s, 
to,'T UW', s, UW
the,'DH AH', s, 
wars,'W AO R Z', s, AO
to,'T UW', s, UW
their,'DH EH R', s, 
to,'T UW', s, UW
discover,'D IH S K AH V ER', s, IH
islands,'ǝ IH L ǝ N D Z', s, IH
far,'F AA R', s, AA
to,'T UW', s, UW
the,'DH AH', s, 
universities,'Y UW N AH V ER S AH T IY Z', s, UW IY
for,'F AO R', s, AO
or,'AO R', s, AO
for,'F AO R', s, AO
all,'AA L', s, AA
he,'HH IY', s, IY
said,'S EH D', s, 
that,'DH AE T', s, AE
your,'Y AO R', s, AO
son,'S AO ̃', s, AO
was,'W AA Z', s, AA
meet,'M IY T', s, IY
and,'AH N D', s, 
did,'D IH D', s, IH
me,'M IY', s, IY
to,'T UW', s, UW
you,'Y UW', s, UW
to,'T UW', s, UW
let,'L EH T', s, 
him,'HH IH M', s, IH
spend,'S P EH N D', s, 
his,'HH IH Z', s, IH
no,'N OW', s, 
at,'AE T', s, AE
hme,'OW M', s, 
be,'B IY', s, IY
great,'G r e T', s, 
to,'T UW', s, UW
his,'HH IH Z', s, IH
in,'IH N', s, IH
no,'N OW', s, 
travel,'T R AE V AH L', s, AE
in,'IH N', s, IH
his,'HH IH Z', s, IH
youth,'Y UW TH', s, UW
i,'AY', s, AY
think,'TH IH NG K', s, IH
your,'Y AO R', s, AO
is,'IH Z', s, IH
not,'N AA T', s, AA
ignorant,'IH G N ǝ r ǝ N T', s, IH
his,'HH IH Z', s, IH
attends,'AH T EH N D Z', s, 
the,'DH AH', s, 
in,'IH N', s, IH
his,'HH IH Z', s, IH
court,'K AO R T', s, AO
good,'G UH D', s, UH
i,'AY', s, AY
think,'TH IH NG K', s, IH
your,'Y AO R', s, AO
sent,'S EH N T', s, 
him,'HH IH M', s, IH
shall,'SH AE L', s, AE
he,'HH IY', s, IY
tilts,'T IH L T S', s, IH
and,'AH N D', s, 
sweet,'S W IY T', s, IY
with,'W IH DH', s, IH
and,'AH N D', s, 
be,'B IY', s, IY
in,'IH N', s, IH
of,'AH V', s, 
every,'e V r ǝ IH', s, IH
his,'HH IH Z', s, IH
youth,'Y UW TH', s, UW
and,'AH N D', s, 
of,'AH V', s, 
it,'IH T', s, IH
you,'Y UW', s, UW
don,'D AA N', s, AA
with,'W IH DH', s, IH
gentlemen,'JH EH N T AH L M IH N', s, IH
of,'AH V', s, 
good,'G UH D', s, UH
esteem,'AH S T IY M', s, IY
to,'T UW', s, UW
the,'DH AH', s, 
and,'AH N D', s, 
to,'T UW', s, UW
commend,'K AH M EH N D', s, 
their,'DH EH R', s, 
to,'T UW', s, UW
his,'HH IH Z', s, IH
will,'W IH L', s, IH
your,'Y AO R', s, AO
for,'F AO R', s, AO
you,'Y UW', s, UW
he,'HH IY', s, IY
is,'IH Z', s, IH
in,'IH N', s, IH
hate,'AW S T', s, 
therefre,'DH EH R F AO R', s, AO
i,'AY', s, AY
you,'Y UW', s, UW
go,'G OW', s, 
you,'Y UW', s, UW
for,'F AO R', s, AO
aboard,'AH B AO R D', s, AO
master,'M AW S T ǝ R', s, 
is,'IH Z', s, IH
and,'AH N D', s, 
thou,'DH AW', s, 
art,'AA R T', s, AA
to,'T UW', s, UW
post,'P OW S T', s, 
after,'AW F T ǝ R', s, 
with,'W IH DH', s, IH
oars,'AO R Z', s, AO
the,'DH AH', s, 
matter,'M AW T ǝ R', s, 
whhy,'ʍ ǝ IH', s, IH
thou,'DH AW', s, 
man,'M AE N', s, AE
ass,'AE S', s, AE
the,'DH AH', s, 
if,'IH F', s, IH
you,'Y UW', s, UW
tarrry,'T AW r ǝ IH', s, IH
longer,'L ɒ NG G ǝ R', s, 
the,'DH AH', s, 
unkindest,'AH N K AY N D IH S T', s, AY IH
tut,'T ɤ T', s, 
man,'M AE N', s, AE
i,'AY', s, AY
mean,'M IY N', s, IY
thou,'DH AW', s, 
the,'DH AH', s, 
flood,'F L AH D', s, 
and,'AH N D', s, 
in,'IH N', s, IH
the,'DH AH', s, 
flood,'F L AH D', s, 
voyge,'V OY AH JH', s, 
and,'AH N D', s, 
in,'IH N', s, IH
voyge,'V OY AH JH', s, 
master,'M AW S T ǝ R', s, 
and,'AH N D', s, 
in,'IH N', s, IH
master,'M AW S T ǝ R', s, 
and,'AH N D', s, 
in,'IH N', s, IH
whhy,'ʍ ǝ IH', s, IH
dost,'D AA S T', s, AA
thou,'DH AW', s, 
stop,'S T AA P', s, AA
my,'M AY', s, AY
i,'AY', s, AY
my,'M AY', s, AY
in,'IH N', s, IH
tail,'T EH L', s, 
man,'M AE N', s, AE
i,'AY', s, AY
was,'W AA Z', s, AA
sent,'S EH N T', s, 
to,'T UW', s, UW
call,'K AO L', s, AO
thee,'DH IY', s, IY
wilt,'W IH L T', s, IH
thou,'DH AW', s, 
go,'G OW', s, 
