r,o,s,e,s;r,OW,Z,IH,Z;s; IH
th,ei,r;DH,EH,R;s; 
sh,a,r,p;SH,AA,R,P;s; AA
b,ei,n,g;B,IY,IH,NG;s; IY,IH
n,o,t;N,AA,T;s; AA
i,n;IH,N;s; IH
th,ei,r;DH,EH,R;s; 
b,u,t;B,AH,T;s; 
i,n;IH,N;s; IH
th,ei,r;DH,EH,R;s; 
h,ue;Y,UW;s; UW
m,ai,d,e,n;M,EY,D,AH,N;s; EY
p,i,n,k,s;P,IH,NG,K,S;s; IH
o,f;AH,V;s; 
f,ai,n,t;F,EH,N,T;s; 
d,ai,s,ie,s;D,EY,Z,IY,Z;s; EY,IY
y,e,t;Y,EH,T;s; 
m,o,s,t;M,OW,S,T;s; 
a,n,d;AH,N,D;s; 
s,w,ee,t;S,W,IY,T;s; IY
th,h,me;TH,AY,M;s; AY
t,r,ue;T,R,UW;s; UW
ch,i,l,d;CH,AY,L,D;s; AY
o,f;AH,V;s; 
m,e,rr,r,y;M,e,r,ǝ,IH;s; IH
w,i,th;W,IH,DH;s; IH
d,i,m;D,IH,M;s; IH
i,n;IH,N;s; IH
th,ei,r;DH,EH,R;s; 
c,r,a,d,l,e,s;K,R,EY,D,AH,L,Z;s; EY
m,a,r,i,g,o,l,d,s;M,EH,R,AH,G,OW,L,D,Z;s; 
o,n;AA,N;s; AA
t,r,i,m;T,R,IH,M;s; IH
a,ll;AA,L;s; AA
d,ea,r;D,IY,R;s; IY
ch,i,l,d,r,e,n;CH,IH,L,D,R,AH,N;s; IH
s,w,ee,t;S,W,IY,T;s; IY
a,n,d;AH,N,D;s; 
f,ee,t;F,IY,T;s; IY
th,ei,r;DH,EH,R;s; 
n,o,t;N,AA,T;s; AA
a,n;AE,N;s; AE
a,n,g,e,l;EY,N,JH,AH,L;s; EY
o,f;AH,V;s; 
th,e;DH,AH;s; 
ai,r;EH,R;s; 
b,i,r,d;B,ɐ,R,D;s; 
o,r;AO,R;s; AO
b,i,r,d;B,ɐ,R,D;s; 
f,ai,r;F,EH,R;s; 
i,s;IH,Z;s; IH
a,b,s,e,n,t;AE,B,S,AH,N,T;s; AE
th,e;DH,AH;s; 
th,e;DH,AH;s; 
c,u,ck,oo;K,AH,K,UW;s; UW
n,o,r;N,AO,R;s; AO
th,e;DH,AH;s; 
r,a,v,e,n;R,EY,V,AH,N;s; EY
n,o,r;N,AO,R;s; AO
n,o,r;N,AO,R;s; AO
o,n;AA,N;s; AA
ou,r;OW,R;s; 
o,r;AO,R;s; AO
o,r;AO,R;s; AO
w,i,th;W,IH,DH;s; IH
th,e,m;DH,EH,M;s; 
b,u,t;B,AH,T;s; 
f,r,o,m;F,R,AH,M;s; 
i,t;IH,T;s; IH
