n,o;N,OW;s; 
t,o;T,UW;s; UW
m,e;M,IY;s; IY
wh,a,t;W,AH,T;s; 
w,o,m,a,n;W,UH,M,AH,N;s; UH
i;AY;s; AY
s,t,ea,d;S,T,EH,D;s; 
th,a,t;DH,AE,T;s; AE
i,s;IH,Z;s; IH
d,i,s,t,r,e,ss,e,d;D,IH,S,T,r,e,S,IH,D;s; IH,IH
d,oe,s;D,AH,Z;s; 
b,i,n,d;B,AY,N,D;s; AY
m,e;M,IY;s; IY
t,o;T,UW;s; UW
s,t,a,n,d;S,T,AE,N,D;s; AE
u,p;AH,P;s; 
y,ou,r;Y,AO,R;s; AO
g,r,ie,f;G,R,IY,F;s; IY
i,s;IH,Z;s; IH
wr,i,tt,e,n;R,IH,T,AH,N;s; IH
i,n;IH,N;s; IH
y,ou,r;Y,AO,R;s; AO
ch,ee,k;CH,IY,K;s; IY
y,ou;Y,UW;s; UW
y,ou;Y,UW;s; UW
wh,o;HH,UW;s; UW
c,a,nn,o,t;K,AE,N,AA,T;s; AE,AA
f,ee,l;F,IY,L;s; IY
n,o,r;N,AO,R;s; AO
s,ee;S,IY;s; IY
th,e;DH,AH;s; 
r,ai,n;r,EH,N;s; 
b,ei,n,g;B,IY,IH,NG;s; IY,IH
i,n;IH,N;s; IH
n,ei,th,e,r;N,EH,DH,ǝ,R;s; 
w,e,t;W,EH,T;s; 
n,o,r;N,AO,R;s; AO
i,f;IH,F;s; IH
th,a,t;DH,AE,T;s; AE
y,ou;Y,UW;s; UW
w,re;W,ER;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
p,ai,n,t,e,r;P,EH,N,T,ǝ,R;s; 
i;AY;s; AY
b,u,y;B,ə,IH;s; IH
y,ou;Y,UW;s; UW
i,n,s,t,r,u,c,t;IH,N,S,T,R,AH,K,T;s; IH
m,e;M,IY;s; IY
a;AH;s; 
c,a,p,i,t,a,l;K,AE,P,AH,T,AH,L;s; AE
b,u,t;B,AH,T;s; 
a,l,a,s;AH,L,AE,S;s; AE
b,ei,n,g;B,IY,IH,NG;s; IY,IH
a;AH;s; 
o,f;AH,V;s; 
ou,r;OW,R;s; 
y,ou,r;Y,AO,R;s; AO
b,ea,t,s;B,IY,T,S;s; IY
s,o;S,OW;s; 
a,r,d,e,n,t,l,y;AA,R,D,AH,N,T,L,IY;s; AA,IY
u,p,o,n;AH,P,AA,N;s; AA
m,e;M,IY;s; IY
th,a,t;DH,AE,T;s; AE
i,t;IH,T;s; IH
sh,a,ll;SH,AE,L;s; AE
a;AH;s; 
m,y;M,AY;s; AY
h,ea,r,t;HH,AA,R,T;s; AA
a,n,d;AH,N,D;s; 
w,a,r,m;W,AA,R,M;s; AA
i,t;IH,T;s; IH
t,o;T,UW;s; UW
i,t;IH,T;s; IH
w,re;W,ER;s; 
o,f;AH,V;s; 
g,oo,d;G,UH,D;s; UH
c,o,m,f,o,r,t;K,ɤ,M,F,ǝ,R,T;s; 
i,f;IH,F;s; IH
y,ou;Y,UW;s; UW
g,r,a,n,t;G,r,AO,N,T;s; AO
n,o,t;N,AA,T;s; AA
m,y;M,AY;s; AY
i,n;IH,N;s; IH
th,a,t;DH,AE,T;s; AE
w,i,th;W,IH,DH;s; IH
th,a,t;DH,AE,T;s; AE
c,e,l,e,r,i,t,y;S,AH,L,EH,R,AH,T,IY;s; IY
a,n,d;AH,N,D;s; 
n,a,t,re;N,EY,CH,ER;s; EY
sh,e;SH,IY;s; IY
i,t;IH,T;s; IH
i,n;IH,N;s; IH
f,r,o,m;F,R,AH,M;s; 
n,o,t;N,AA,T;s; AA
t,o;T,UW;s; UW
a,s,k;AW,S,K;s; 
y,ou;Y,UW;s; UW
n,o,r;N,AO,R;s; AO
b,e;B,IY;s; IY
s,o;S,OW;s; 
h,a,r,d,y;HH,AA,R,D,IY;s; AA,IY
t,o;T,UW;s; UW
a;AH;s; 
th,a,n,k,s;TH,AE,NG,K,S;s; AE
m,e;M,IY;s; IY
t,o;T,UW;s; UW
ou,r;OW,R;s; 
f,o,r;F,AO,R;s; AO
s,p,ee,d;S,P,IY,D;s; IY
th,e;DH,AH;s; 
g,r,ea,t;G,r,e,T;s; 
s,o,l,i,c,i,t;S,AH,L,IH,S,IH,T;s; IH,IH
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
ou,r;OW,R;s; 
p,e,t,i,t,io,n,s;P,AH,T,IH,SH,AH,N,Z;s; IH
n,o,t;N,AA,T;s; AA
g,i,f,t,s;G,IH,F,T,S;s; IH
o,ff,e,r;ɒ,F,ǝ,R;s; 
t,o;T,UW;s; UW
wh,a,t;W,AH,T;s; 
i;AY;s; AY
sh,a,ll;SH,AE,L;s; AE
b,e;B,IY;s; IY
a,d,v,i,s,e,d;ǝ,D,V,ǝ,IH,Z,D;s; IH
sh,e;SH,IY;s; IY
ou,r;OW,R;s; 
h,ea,r,t,s;HH,AA,R,T,S;s; AA
i,n;IH,N;s; IH
h,i,s;HH,IH,Z;s; IH
i,n;IH,N;s; IH
h,i,s;HH,IH,Z;s; IH
t,e,n,t;T,EH,N,T;s; 
h,i,s;HH,IH,Z;s; IH
h,i,s;HH,IH,Z;s; IH
f,r,ie,n,d;F,R,EH,N,D;s; 
