s,o;S,OW;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
i;AY;s; AY
n,o,t;N,AA,T;s; AA
b,e;B,IY;s; IY
a,d,m,i,tt,e,d;AH,D,M,IH,T,AH,D;s; IH
b,u,t;B,AH,T;s; 
f,r,o,m;F,R,AH,M;s; 
d,o;D,OW;s; 
r,e,t,u,r,n;r,IH,T,ɐ,R,N;s; IH
th,i,s;DH,IH,S;s; IH
th,e;DH,AH;s; 
i,t,s,e,l,f;IH,T,S,EH,L,F;s; IH
t,i,ll;T,IH,L;s; IH
s,e,v,e,n;S,EH,V,AH,N;s; 
sh,a,ll;SH,AE,L;s; AE
n,o,t;N,AA,T;s; AA
b,e,h,o,l,d;B,IH,HH,OW,L,D;s; IH
a,t;AE,T;s; AE
v,ie,w;V,Y,UW;s; UW
b,u,t;B,AH,T;s; 
a;AH;s; 
sh,e;SH,IY;s; IY
w,i,ll;W,IH,L;s; IH
a,n,d;AH,N,D;s; 
w,a,t,e,r;W,AA,T,ǝ,R;s; AA
a;AH;s; 
w,i,th;W,IH,DH;s; IH
th,i,s;DH,IH,S;s; IH
t,o;T,UW;s; UW
s,ea,s,o,n;S,IY,Z,AH,N;s; IY
a;AH;s; 
d,ea,d;D,EH,D;s; 
sh,e;SH,IY;s; IY
k,ee,p;K,IY,P;s; IY
f,r,e,sh;F,R,EH,SH;s; 
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
s,a,d;S,AE,D;s; AE
i,f;IH,F;s; IH
th,e;DH,AH;s; 
t,o,w,a,r,d,s;T,AH,W,AO,R,D,Z;s; AO
y,ou;Y,UW;s; UW
y,ou;Y,UW;s; UW
t,o;T,UW;s; UW
b,e;B,IY;s; IY
h,e;HH,IY;s; IY
h,a,th;HH,AE,TH;s; AE
y,ou;Y,UW;s; UW
b,u,t;B,AH,T;s; 
a,n,d;AH,N,D;s; 
y,ou;Y,UW;s; UW
n,o;N,OW;s; 
n,o;N,OW;s; 
m,e;M,IY;s; IY
