th,i,s;DH,IH,S;s; IH
i,s;IH,Z;s; IH
l,a,d,y;L,EY,D,IY;s; EY,IY
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
p,e,r,ch,a,ce;P,ER,CH,AE,N,S;s; AE
th,a,t;DH,AE,T;s; AE
y,ou;Y,UW;s; UW
w,re;W,ER;s; 
t,r,ue;T,R,UW;s; UW
m,a,d,a,m;M,AE,D,AH,M;s; AE
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
c,o,m,f,o,r,t;K,ɤ,M,F,ǝ,R,T;s; 
y,ou;Y,UW;s; UW
w,i,th;W,IH,DH;s; IH
a,f,t,e,r;AW,F,T,ǝ,R;s; 
ou,r;OW,R;s; 
sh,i,p;SH,IH,P;s; IH
d,i,d;D,IH,D;s; IH
s,p,l,i,t;S,P,L,IH,T;s; IH
wh,e,n;ʍ,e,N;s; 
y,ou;Y,UW;s; UW
a,n,d;AH,N,D;s; 
p,oo,r;P,UH,R;s; UH
w,i,th;W,IH,DH;s; IH
y,ou;Y,UW;s; UW
o,n;AA,N;s; AA
ou,r;OW,R;s; 
d,r,i,v,i,n,g;D,r,ǝ,IH,V,IH,N;s; IH,IH
b,oa,t;B,OW,T;s; 
i;AY;s; AY
y,ou,r;Y,AO,R;s; AO
m,o,s,t;M,OW,S,T;s; 
p,r,o,v,i,d,e,n,t;P,R,AA,V,IH,D,AH,N,T;s; AA,IH
i,n;IH,N;s; IH
p,e,r,i,l;P,EH,R,AH,L;s; 
b,i,n,d;B,AY,N,D;s; AY
h,i,m,s,e,l,f;HH,IH,M,S,EH,L,F;s; IH
a,n,d;AH,N,D;s; 
b,o,th;B,OW,TH;s; 
t,ea,ch,i,n,g;T,IY,T,SH,IH,N;s; IY,IH
h,i,m;HH,IH,M;s; IH
th,e;DH,AH;s; 
t,o;T,UW;s; UW
a;AH;s; 
m,a,s,t;M,AW,S,T;s; 
th,a,t;DH,AE,T;s; AE
u,p,o,n;AH,P,AA,N;s; AA
th,e;DH,AH;s; 
s,ea;S,IY;s; IY
o,n;AA,N;s; AA
th,e;DH,AH;s; 
b,a,ck;B,AE,K;s; AE
i;AY;s; AY
h,i,m;HH,IH,M;s; IH
w,i,th;W,IH,DH;s; IH
th,e;DH,AH;s; 
s,o;S,OW;s; 
a,s;AE,Z;s; AE
i;AY;s; AY
s,ee;S,IY;s; IY
m,a,d,a,m;M,AE,D,AH,M;s; AE
w,e,ll;W,EH,L;s; 
f,o,r;F,AO,R;s; AO
i;AY;s; AY
w,a,s;W,AA,Z;s; AA
b,r,e,d;B,R,EH,D;s; 
a,n,d;AH,N,D;s; 
b,o,r,n;B,AO,R,N;s; AO
n,o,t;N,AA,T;s; AA
t,r,a,v,e,l;T,R,AE,V,AH,L;s; AE
f,r,o,m;F,R,AH,M;s; 
th,i,s;DH,IH,S;s; IH
v,e,r,y;V,EH,R,IY;s; IY
a;AH;s; 
i,n;IH,N;s; IH
n,a,t,re;N,EY,CH,ER;s; EY
a,s;AE,Z;s; AE
i,n;IH,N;s; IH
o,r,s,i,n,o;AO,R,S,IY,N,OW;s; AO,IY
a,n,d;AH,N,D;s; 
s,o;S,OW;s; 
i,s;IH,Z;s; IH
o,r;AO,R;s; AO
w,a,s;W,AA,Z;s; AA
s,o;S,OW;s; 
v,e,r,y;V,EH,R,IY;s; IY
f,o,r;F,AO,R;s; AO
b,u,t;B,AH,T;s; 
a;AH;s; 
m,o,n,th;M,AH,N,TH;s; 
a,g,o;ǝ,ɡ,OW;s; 
i;AY;s; AY
w,e,n,t;W,EH,N,T;s; 
f,r,o,m;F,R,AH,M;s; 
a,n,d;AH,N,D;s; 
th,e,n;DH,EH,N;s; 
f,r,e,sh;F,R,EH,SH;s; 
i,n;IH,N;s; IH
m,u,r,m,u,r;M,ɐ,R,M,ǝ,R;s; 
a,s;AE,Z;s; AE
y,ou;Y,UW;s; UW
wh,a,t;W,AH,T;s; 
g,r,ea,t;G,r,e,T;s; 
o,n,e,s;W,AH,N,Z;s; 
d,o;D,OW;s; 
th,e;DH,AH;s; 
l,e,ss;L,EH,S;s; 
w,i,ll;W,IH,L;s; IH
o,f;AH,V;s; 
th,a,t;DH,AE,T;s; AE
h,e;HH,IY;s; IY
d,i,d;D,IH,D;s; IH
s,ee,k;S,IY,K;s; IY
th,e;DH,AH;s; 
o,f;AH,V;s; 
f,ai,r;F,EH,R;s; 
a;AH;s; 
v,i,r,t,uou,s;V,ER,CH,UW,AH,S;s; UW
m,ai,d;M,EY,D;s; EY
th,e;DH,AH;s; 
o,f;AH,V;s; 
a;AH;s; 
th,a,t;DH,AE,T;s; AE
d,ie,d;D,AY,D;s; AY
th,e,n;DH,EH,N;s; 
i,n;IH,N;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
h,i,s;HH,IH,Z;s; IH
s,o,n;S,AO,̃;s; AO
wh,o;HH,UW;s; UW
sh,o,r,t,l,y;SH,AO,R,T,L,IY;s; AO,IY
a,l,s,o;AO,L,S,OW;s; AO
d,ie,d;D,AY,D;s; AY
f,o,r;F,AO,R;s; AO
d,ea,r;D,IY,R;s; IY
sh,e;SH,IY;s; IY
h,a,th;HH,AE,TH;s; AE
a,b,j,u,r,e,d;ǝ,B,D,ZH,UW,R,D;s; UW
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
c,o,m,p,a,n,y;K,AH,M,P,AH,N,IY;s; IY
o,f;AH,V;s; 
m,e,n;M,EH,N;s; 
th,a,t;DH,AE,T;s; AE
w,re;W,ER;s; 
t,o;T,UW;s; UW
c,o,m,p,a,ss;K,ɤ,M,P,ǝ,S;s; 
sh,e;SH,IY;s; IY
w,i,ll;W,IH,L;s; IH
a,d,m,i,t;AH,D,M,IH,T;s; IH
n,o;N,OW;s; 
o,f;AH,V;s; 
s,ui,t;SH,UW,T;s; UW
n,o;N,OW;s; 
n,o,t;N,AA,T;s; AA
th,e;DH,AH;s; 
b,e;B,IY;s; IY
y,ou;Y,UW;s; UW
h,i,s;HH,IH,Z;s; IH
a,n,d;AH,N,D;s; 
y,ou,r;Y,AO,R;s; AO
b,e;B,IY;s; IY
wh,e,n;ʍ,e,N;s; 
m,y;M,AY;s; AY
th,e,n;DH,EH,N;s; 
l,e,t;L,EH,T;s; 
n,o,t;N,AA,T;s; AA
s,ee;S,IY;s; IY
