o,f;AH,V;s; 
l,o,r,d;L,AO,R,D;s; AO
m,e,n;M,EH,N;s; 
a;AH;s; 
g,i,f,t;G,IH,F,T;s; IH
i;AY;s; AY
w,a,rr,a,n,t;W,AA,r,ǝ,N,T;s; AA
wh,h,y;ʍ,ǝ,IH;s; IH
th,i,s;DH,IH,S;s; IH
i;AY;s; AY
d,r,ea,m,t;D,R,EH,M,T;s; 
o,f;AH,V;s; 
a;AH;s; 
b,a,s,i,n;B,EH,S,ə,N;s; 
a,n,d;AH,N,D;s; 
e,w,e,r;Y,UW,ǝ,R;s; UW
y,ou;Y,UW;s; UW
v,e,r,y;V,EH,R,IY;s; IY
r,e,s,p,e,c,t,i,v,e,l,y;r,IH,S,P,e,K,T,IH,V,L,ǝ,IH;s; IH,IH,IH
f,i,ll;F,IH,L;s; IH
m,e;M,IY;s; IY
a,n,d;AH,N,D;s; 
d,oe,s;D,AH,Z;s; 
th,a,t;DH,AE,T;s; AE
h,o,n,o,r,a,le;AA,N,ER,AH,B,AH,L;s; AA
f,r,ee,-,h,ea,r,t,e,d;ˌ,F,r,IY,-,AA,R,T,IH,D;s; IY,AA,IH
g,e,n,t,l,e,m,a,n;JH,EH,N,T,AH,L,M,AH,N;s; 
o,f;AH,V;s; 
a,th,e,n,s;AW,T,ǝ,N,Z;s; 
v,e,r,y;V,EH,R,IY;s; IY
g,oo,d;G,UH,D;s; UH
l,o,r,d;L,AO,R,D;s; AO
a,n,d;AH,N,D;s; 
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
i;AY;s; AY
a,m;AE,M;s; AE
g,l,a,d;G,L,AE,D;s; AE
th,a,t;DH,AE,T;s; AE
h,i,s;HH,IH,Z;s; IH
i,s;IH,Z;s; IH
w,e,ll;W,EH,L;s; 
a,n,d;AH,N,D;s; 
wh,a,t;W,AH,T;s; 
h,a,s,t;HH,AE,S,T;s; AE
th,ou;DH,AW;s; 
u,n,d,e,r;ɤ,N,D,ǝ,R;s; 
c,l,oa,k;K,L,OW,K;s; 
p,r,e,tt,t,y;P,r,IH,T,ǝ,IH;s; IH,IH
l,a;L,AA;s; AA
l,a;L,AA;s; AA
l,a;L,AA;s; AA
l,a;L,AA;s; AA
d,ou,b,t,i,n,g;D,ǝ,UH,T,·,IH,N;s; UH,IH
h,e;HH,IY;s; IY
a,l,a,s;AH,L,AE,S;s; AE
g,oo,d;G,UH,D;s; UH
l,o,r,d;L,AO,R,D;s; AO
a;AH;s; 
g,e,n,t,l,e,m,a,n;JH,EH,N,T,AH,L,M,AH,N;s; 
i,f;IH,F;s; IH
h,e;HH,IY;s; IY
n,o,t;N,AA,T;s; AA
k,ee,p;K,IY,P;s; IY
s,o;S,OW;s; 
g,oo,d;G,UH,D;s; UH
a;AH;s; 
a;AH;s; 
a,n,d;AH,N,D;s; 
i;AY;s; AY
d,i,n,e,d;D,ǝ,IH,N,D;s; IH
w,i,th;W,IH,DH;s; IH
h,i,m;HH,IH,M;s; IH
a,n,d;AH,N,D;s; 
t,o,l,d;T,OW,L,D;s; 
h,i,m;HH,IH,M;s; IH
o,n;AA,N;s; AA
a,n,d;AH,N,D;s; 
a,g,ai,n;ǝ,ɡ,EH,N;s; 
t,o;T,UW;s; UW
s,u,pp,e,r;S,ɤ,P,ǝ,R;s; 
t,o;T,UW;s; UW
h,i,m;HH,IH,M;s; IH
o,f;AH,V;s; 
t,o;T,UW;s; UW
h,i,m;HH,IH,M;s; IH
s,p,e,n,d;S,P,EH,N,D;s; 
l,e,ss;L,EH,S;s; 
a,n,d;AH,N,D;s; 
y,e,t;Y,EH,T;s; 
h,e;HH,IY;s; IY
n,o;N,OW;s; 
n,o;N,OW;s; 
b,y;B,AY;s; AY
m,y;M,AY;s; AY
e,v,e,r,y;e,V,r,ǝ,IH;s; IH
m,a,n;M,AE,N;s; AE
h,i,s;HH,IH,Z;s; IH
f,au,l,t;F,AO,L,T;s; AO
a,n,d;AH,N,D;s; 
i,s;IH,Z;s; IH
h,i,s;HH,IH,Z;s; IH
i;AY;s; AY
t,o,l,d;T,OW,L,D;s; 
h,i,m;HH,IH,M;s; IH
o,n;AA,N;s; AA
b,u,t;B,AH,T;s; 
i;AY;s; AY
g,e,t;G,EH,T;s; 
h,i,m;HH,IH,M;s; IH
f,r,o,m;F,R,AH,M;s; 
i;AY;s; AY
n,o,t,e,d;N,OW,T,AH,D;s; 
th,ee;DH,IY;s; IY
t,o;T,UW;s; UW
th,ee;DH,IY;s; IY
i;AY;s; AY
th,ee;DH,IY;s; IY
f,o,r;F,AO,R;s; AO
a;AH;s; 
th,ee;DH,IY;s; IY
th,a,t;DH,AE,T;s; AE
wh,a,t;W,AH,T;s; 
t,o;T,UW;s; UW
r,ea,s,o,n;r,EH,Z,ǝ,N;s; 
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
w,e,ll;W,EH,L;s; 
i,f;IH,F;s; IH
th,e;DH,AH;s; 
th,ee;DH,IY;s; IY
w,e,ll;W,EH,L;s; 
g,oo,d;G,UH,D;s; UH
p,a,r,t,s;P,AA,R,T,S;s; AA
i,n;IH,N;s; IH
y,ou;Y,UW;s; UW
a;AH;s; 
g,e,n,t,l,e,m,a,n;JH,EH,N,T,AH,L,M,AH,N;s; 
b,u,t;B,AH,T;s; 
th,ou;DH,AW;s; 
a,r,t;AA,R,T;s; AA
a,n,d;AH,N,D;s; 
th,ou;DH,AW;s; 
w,e,ll;W,EH,L;s; 
th,ou;DH,AW;s; 
t,o;T,UW;s; UW
m,e;M,IY;s; IY
th,a,t;DH,AE,T;s; AE
th,i,s;DH,IH,S;s; IH
i,s;IH,Z;s; IH
n,o;N,OW;s; 
t,o;T,UW;s; UW
l,e,n,d;L,EH,N,D;s; 
u,p,o,n;AH,P,AA,N;s; AA
f,r,ie,n,d,sh,i,p;F,R,EH,N,D,SH,IH,P;s; IH
f,o,r;F,AO,R;s; AO
th,ee;DH,IY;s; IY
g,oo,d;G,UH,D;s; UH
w,i,n,k;W,IH,NG,K;s; IH
a,t;AE,T;s; AE
m,e;M,IY;s; IY
a,n,d;AH,N,D;s; 
th,ou;DH,AW;s; 
m,e;M,IY;s; IY
n,o,t;N,AA,T;s; AA
th,ee;DH,IY;s; IY
w,e,ll;W,EH,L;s; 
i;AY;s; AY
s,ee;S,IY;s; IY
th,ou;DH,AW;s; 
a,r,t;AA,R,T;s; AA
a;AH;s; 
f,oo,l;F,UH,L;s; UH
a,n,d;AH,N,D;s; 
f,i,t;F,IH,T;s; IH
f,o,r;F,AO,R;s; AO
m,a,s,t,e,r;M,AW,S,T,ǝ,R;s; 
