m,u,s,t;M,AH,S,T;s; 
h,e;HH,IY;s; IY
n,ee,d,s;N,IY,D,Z;s; IY
m,e;M,IY;s; IY
i,n;IH,N;s; IH
a,ll;AA,L;s; AA
h,e;HH,IY;s; IY
l,o,r,d;L,AO,R,D;s; AO
l,u,c,iu,s;L,UW,SH,AH,S;s; UW
o,r;AO,R;s; AO
a,n,d;AH,N,D;s; 
i,s;IH,Z;s; IH
w,ea,l,th,h,y;W,e,L,TH,ǝ,IH;s; IH
t,oo;T,UW;s; UW
wh,o,m;HH,UW,M;s; UW
h,e;HH,IY;s; IY
f,r,o,m;F,R,AH,M;s; 
p,r,i,s,o,n;P,R,IH,Z,AH,N;s; IH
a,ll;AA,L;s; AA
th,ei,r;DH,EH,R;s; 
u,n,t,o;AH,N,T,UW;s; UW
h,i,m;HH,IH,M;s; IH
h,i,m;HH,IH,M;s; IH
a,n,d;AH,N,D;s; 
h,i,m;HH,IH,M;s; IH
a,n,d;AH,N,D;s; 
d,oe,s;D,AH,Z;s; 
h,e;HH,IY;s; IY
s,e,n,d;S,EH,N,D;s; 
t,o;T,UW;s; UW
m,e;M,IY;s; IY
i,t;IH,T;s; IH
b,u,t;B,AH,T;s; 
o,r;AO,R;s; AO
i,n;IH,N;s; IH
h,i,m;HH,IH,M;s; IH
m,u,s,t;M,AH,S,T;s; 
i;AY;s; AY
b,e;B,IY;s; IY
h,i,s;HH,IH,Z;s; IH
l,a,s,t;L,AE,S,T;s; AE
h,i,s;HH,IH,Z;s; IH
f,r,ie,n,d,s;F,R,EH,N,D,Z;s; 
th,h,r,ve;TH,R,AY,V;s; AY
h,i,m;HH,IH,M;s; IH
o,v,e,r;OW,V,ǝ,R;s; 
m,u,s,t;M,AH,S,T;s; 
i;AY;s; AY
u,p,o,n;AH,P,AA,N;s; AA
m,e;M,IY;s; IY
m,e;M,IY;s; IY
i,n;IH,N;s; IH
a,n,g,r,y;AE,NG,G,R,IY;s; AE,IY
a,t;AE,T;s; AE
h,i,m;HH,IH,M;s; IH
th,a,t;DH,AE,T;s; AE
m,y;M,AY;s; AY
i;AY;s; AY
s,ee;S,IY;s; IY
n,o;N,OW;s; 
f,o,r;F,AO,R;s; AO
b,u,t;B,AH,T;s; 
h,i,s;HH,IH,Z;s; IH
w,ooe,d;W,UW,D;s; UW
m,e;M,IY;s; IY
f,o,r;F,AO,R;s; AO
i,n;IH,N;s; IH
m,y;M,AY;s; AY
i;AY;s; AY
w,a,s;W,AA,Z;s; AA
th,e;DH,AH;s; 
m,a,n;M,AE,N;s; AE
th,a,t;DH,AE,T;s; AE
g,i,f,t;G,IH,F,T;s; IH
f,r,o,m;F,R,AH,M;s; 
h,i,m;HH,IH,M;s; IH
a,n,d;AH,N,D;s; 
d,oe,s;D,AH,Z;s; 
h,e;HH,IY;s; IY
th,i,n,k;TH,IH,NG,K;s; IH
s,o;S,OW;s; 
o,f;AH,V;s; 
m,e;M,IY;s; IY
th,a,t;DH,AE,T;s; AE
i,t;IH,T;s; IH
l,a,s,t;L,AE,S,T;s; AE
n,o;N,OW;s; 
s,o;S,OW;s; 
i,t;IH,T;s; IH
a,n;AE,N;s; AE
o,f;AH,V;s; 
t,o;T,UW;s; UW
r,e,s,t;R,EH,S,T;s; 
a,n,d;AH,N,D;s; 
i;AY;s; AY
l,o,r,d,s;L,AO,R,D,Z;s; AO
b,e;B,IY;s; IY
a;AH;s; 
f,oo,l;F,UH,L;s; UH
th,a,n;DH,AE,N;s; AE
th,e;DH,AH;s; 
w,o,r,th;W,AO,R,TH;s; AO
o,f;AH,V;s; 
th,e;DH,AH;s; 
s,u,m;S,ɤ,M;s; 
h,a,d;HH,AE,D;s; AE
s,e,n,t;S,EH,N,T;s; 
t,o;T,UW;s; UW
m,e;M,IY;s; IY
b,u,t;B,AH,T;s; 
f,o,r;F,AO,R;s; AO
m,y;M,AY;s; AY
a;AH;s; 
t,o;T,UW;s; UW
d,o;D,OW;s; 
h,i,m;HH,IH,M;s; IH
g,oo,d;G,UH,D;s; UH
b,u,t;B,AH,T;s; 
r,e,t,u,r,n;r,IH,T,ɐ,R,N;s; IH
a,n,d;AH,N,D;s; 
w,i,th;W,IH,DH;s; IH
th,ei,r;DH,EH,R;s; 
f,ai,n,t;F,EH,N,T;s; 
r,e,p,l,y;R,IH,P,L,AY;s; IH,AY
th,i,s;DH,IH,S;s; IH
j,oi,n;JH,OY,N;s; 
wh,o;HH,UW;s; UW
sh,a,ll;SH,AE,L;s; AE
n,o,t;N,AA,T;s; AA
m,y;M,AY;s; AY
