my,'M AY', s, AY
lord,'L AO R D', s, AO
yes,'Y IH S', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
yet,'Y EH T', s, 
is,'IH Z', s, IH
no,'N OW', s, 
him,'HH IH M', s, IH
in,'IH N', s, IH
's,'EH S', s, 
humor,'HH Y UW M ER', s, UW
i,'AY', s, AY
tell,'T EH L', s, 
him,'HH IH M', s, IH
well,'W EH L', s, 
faith,'F EY TH', s, EY
i,'AY', s, AY
when,'ʍ e N', s, 
spent,'S P EH N T', s, 
be,'B IY', s, IY
then,'DH EH N', s, 
an,'AE N', s, AE
he,'HH IY', s, IY
had,'HH AE D', s, AE
not,'N AA T', s, AA
behind,'B IH ə IH N D', s, IH IH
that,'DH AE T', s, AE
man,'M AE N', s, AE
be,'B IY', s, IY
for,'F AO R', s, AO
his,'HH IH Z', s, IH
i,'AY', s, AY
beseech,'B IY S IY CH', s, IY IY
your,'Y AO R', s, AO
me,'M IY', s, IY
a,'AH', s, 
it,'IH T', s, IH
does,'D AH Z', s, 
you,'Y UW', s, UW
near,'N IY R', s, IY
i,'AY', s, AY
what,'W AH T', s, 
will,'W IH L', s, IH
this,'DH IH S', s, IH
to,'T UW', s, UW
he,'HH IY', s, IY
commands,'K ǝ M AW N D Z', s, 
us,'AH S', s, 
to,'T UW', s, UW
and,'AH N D', s, 
great,'G r e T', s, 
gifts,'G IH F T S', s, IH
and,'AH N D', s, 
all,'AA L', s, AA
out,'AW T', s, 
of,'AH V', s, 
an,'AE N', s, AE
empty,'e M T ǝ IH', s, IH
nor,'N AO R', s, AO
will,'W IH L', s, IH
he,'HH IY', s, IY
his,'HH IH Z', s, IH
or,'AO R', s, AO
yield,'Y IY L D', s, IY
me,'M IY', s, IY
this,'DH IH S', s, IH
to,'T UW', s, UW
him,'HH IH M', s, IH
what,'W AH T', s, 
a,'AH', s, 
beggar,'B e ɡ ə R', s, 
his,'HH IH Z', s, IH
heart,'HH AA R T', s, AA
is,'IH Z', s, IH
being,'B IY IH NG', s, IY IH
of,'AH V', s, 
no,'N OW', s, 
to,'T UW', s, UW
his,'HH IH Z', s, IH
wishes,'W IH SH IH Z', s, IH IH
good,'G UH D', s, UH
his,'HH IH Z', s, IH
promises,'P R AA M AH S AH Z', s, AA
so,'S OW', s, 
his,'HH IH Z', s, IH
that,'DH AE T', s, AE
what,'W AH T', s, 
he,'HH IY', s, IY
speaks,'S P IY K S', s, IY
is,'IH Z', s, IH
all,'AA L', s, AA
in,'IH N', s, IH
he,'HH IY', s, IY
for,'F AO R', s, AO
he,'HH IY', s, IY
is,'IH Z', s, IH
so,'S OW', s, 
that,'DH AE T', s, AE
he,'HH IY', s, IY
for,'F AO R', s, AO
his,'HH IH Z', s, IH
put,'P UH T', s, UH
to,'T UW', s, UW
their,'DH EH R', s, 
books,'B UH K S', s, UH
well,'W EH L', s, 
i,'AY', s, AY
wre,'W ER', s, 
put,'P UH T', s, UH
out,'AW T', s, 
of,'AH V', s, 
i,'AY', s, AY
wre,'W ER', s, 
forced,'F AO R S IH D', s, AO IH
out,'AW T', s, 
is,'IH Z', s, IH
he,'HH IY', s, IY
that,'DH AE T', s, AE
no,'N OW', s, 
friend,'F R EH N D', s, 
to,'T UW', s, UW
feed,'F IY D', s, IY
than,'DH AE N', s, AE
that,'DH AE T', s, AE
do,'D OW', s, 
enemies,'EH N AH M IY Z', s, IY
exceed,'IH K S IY D', s, IH IY
i,'AY', s, AY
bleed,'B L IY D', s, IY
for,'F AO R', s, AO
my,'M AY', s, AY
lord,'L AO R D', s, AO
no,'N OW', s, 
no,'N OW', s, 
stop,'S T AA P', s, AA
so,'S OW', s, 
of,'AH V', s, 
that,'DH AE T', s, AE
he,'HH IY', s, IY
will,'W IH L', s, IH
neither,'N EH DH ǝ R', s, 
to,'T UW', s, UW
maintain,'M EY N T EY N', s, EY EY
it,'IH T', s, IH
nor,'N AO R', s, AO
his,'HH IH Z', s, IH
of,'AH V', s, 
no,'N OW', s, 
go,'G OW', s, 
from,'F R AH M', s, 
him,'HH IH M', s, IH
nor,'N AO R', s, AO
no,'N OW', s, 
of,'AH V', s, 
what,'W AH T', s, 
is,'IH Z', s, IH
to,'T UW', s, UW
never,'N e V ǝ R', s, 
was,'W AA Z', s, AA
to,'T UW', s, UW
be,'B IY', s, IY
so,'S OW', s, 
to,'T UW', s, UW
be,'B IY', s, IY
so,'S OW', s, 
what,'W AH T', s, 
shall,'SH AE L', s, AE
be,'B IY', s, IY
he,'HH IY', s, IY
will,'W IH L', s, IH
not,'N AA T', s, AA
till,'T IH L', s, IH
feel,'F IY L', s, IY
i,'AY', s, AY
must,'M AH S T', s, 
be,'B IY', s, IY
with,'W IH DH', s, IH
him,'HH IH M', s, IH
he,'HH IY', s, IY
from,'F R AH M', s, 
you,'Y UW', s, UW
gentlemen,'JH EH N T AH L M IH N', s, IH
the,'DH AH', s, 
is,'IH Z', s, IH
to,'T UW', s, UW
this,'DH IH S', s, IH
your,'Y AO R', s, AO
till,'T IH L', s, IH
after,'AW F T ǝ R', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
his,'HH IH Z', s, IH
you,'Y UW', s, UW
not,'N AA T', s, AA
paid,'P EY D', s, EY
near,'N IY R', s, IY
you,'Y UW', s, UW
near,'N IY R', s, IY
speak,'S P IY K', s, IY
with,'W IH DH', s, IH
you,'Y UW', s, UW
you,'Y UW', s, UW
not,'N AA T', s, AA
me,'M IY', s, IY
at,'AE T', s, AE
i,'AY', s, AY
proposed,'P r ǝ P OW Z IH D', s, IH
o,'OW', s, 
my,'M AY', s, AY
good,'G UH D', s, UH
lord,'L AO R D', s, AO
at,'AE T', s, AE
i,'AY', s, AY
in,'IH N', s, IH
my,'M AY', s, AY
accounts,'AH K AW N T S', s, 
laid,'L EH D', s, 
them,'DH EH M', s, 
you,'Y UW', s, UW
you,'Y UW', s, UW
them,'DH EH M', s, 
off,'AO F', s, AO
and,'AH N D', s, 
you,'Y UW', s, UW
them,'DH EH M', s, 
in,'IH N', s, IH
when,'ʍ e N', s, 
for,'F AO R', s, AO
present,'P r IH Z e N T', s, IH
you,'Y UW', s, UW
bid,'B IH D', s, IH
me,'M IY', s, IY
return,'r IH T ɐ R N', s, IH
so,'S OW', s, 
i,'AY', s, AY
shook,'SH UH K', s, UH
my,'M AY', s, AY
and,'AH N D', s, 
wept,'W EH P T', s, 
yea,'Y EH', s, 
of,'AH V', s, 
you,'Y UW', s, UW
to,'T UW', s, UW
your,'Y AO R', s, AO
i,'AY', s, AY
did,'D IH D', s, IH
not,'N AA T', s, AA
seldom,'S EH L D AH M', s, 
nor,'N AO R', s, AO
no,'N OW', s, 
when,'ʍ e N', s, 
i,'AY', s, AY
you,'Y UW', s, UW
in,'IH N', s, IH
the,'DH AH', s, 
