d,o;D,OW;s; 
y,ou;Y,UW;s; UW
g,e,n,t,l,e,m,e,n;JH,EH,N,T,AH,L,M,IH,N;s; IH
o,n;AA,N;s; AA
w,a,t,e,r;W,AA,T,ǝ,R;s; AA
t,o;T,UW;s; UW
ch,i,ck,e,n,s;CH,IH,K,AH,N,Z;s; IH
a,s;AE,Z;s; AE
y,ou;Y,UW;s; UW
w,e;W,IY;s; IY
s,ee;S,IY;s; IY
y,ou;Y,UW;s; UW
a,t;AE,T;s; AE
c,o,r,i,n,th;K,ɒ,r,IH,N,T;s; IH
l,oo,k;L,UH,K;s; UH
y,ou;Y,UW;s; UW
m,y;M,AY;s; AY
w,i,ll;W,IH,L;s; IH
y,ou;Y,UW;s; UW
m,e;M,IY;s; IY
y,ou;Y,UW;s; UW
m,e,n;M,EH,N;s; 
i;AY;s; AY
th,i,n,k;TH,IH,NG,K;s; IH
n,o;N,OW;s; 
b,u,t;B,AH,T;s; 
a;AH;s; 
f,oo,l;F,UH,L;s; UH
t,o;T,UW;s; UW
h,i,s;HH,IH,Z;s; IH
s,e,r,v,a,n,t;S,ɐ,R,V,ǝ,N,T;s; 
m,y;M,AY;s; AY
m,i,s,t,r,e,ss;M,IH,S,T,R,AH,S;s; IH
i,s;IH,Z;s; IH
a,n,d;AH,N,D;s; 
i;AY;s; AY
a,m;AE,M;s; AE
f,oo,l;F,UH,L;s; UH
wh,e,n;ʍ,e,N;s; 
m,e,n;M,EH,N;s; 
t,o;T,UW;s; UW
o,f;AH,V;s; 
y,ou,r;Y,AO,R;s; AO
m,a,s,t,e,r,s;M,AW,S,T,ǝ,R,Z;s; 
a,pp,p,r,oa,ch;ǝ,P,r,OW,T,SH;s; 
s,a,d,l,y;S,AE,D,L,IY;s; AE,IY
a,n,d;AH,N,D;s; 
g,o;G,OW;s; 
m,e,rr,r,y;M,e,r,ǝ,IH;s; IH
b,u,t;B,AH,T;s; 
e,n,t,e,r;e,N,T,ǝ,R;s; 
m,y;M,AY;s; AY
m,e,rr,i,l,y;M,EH,R,AH,L,IY;s; IY
a,n,d;AH,N,D;s; 
g,o;G,OW;s; 
s,a,d,l,y;S,AE,D,L,IY;s; AE,IY
th,e;DH,AH;s; 
r,ea,s,o,n;r,EH,Z,ǝ,N;s; 
o,f;AH,V;s; 
th,i,s;DH,IH,S;s; IH
a;AH;s; 
f,oo,l;F,UH,L;s; UH
i,n;IH,N;s; IH
g,oo,d;G,UH,D;s; UH
a,n,d;AH,N,D;s; 
th,ee;DH,IY;s; IY
a;AH;s; 
s,p,i,r,i,t;S,P,IH,R,AH,T;s; IH
s,o,m,e,t,me;S,AH,M,T,AY,M;s; AY
a,pp,ea,r,s;ǝ,P,IY,R,Z;s; IY
a;AH;s; 
l,o,r,d;L,AO,R,D;s; AO
s,o,m,e,t,me;S,AH,M,T,AY,M;s; AY
a;AH;s; 
s,o,m,e,t,me;S,AH,M,T,AY,M;s; AY
a;AH;s; 
w,i,th;W,IH,DH;s; IH
th,a,n;DH,AE,N;s; AE
',s;EH,S;s; 
a,r,t,i,f,i,c,ia,l;AA,R,T,AH,F,IH,SH,AH,L;s; AA,IH
h,e;HH,IY;s; IY
i,s;IH,Z;s; IH
v,e,r,y;V,EH,R,IY;s; IY
a;AH;s; 
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
a,ll;AA,L;s; AA
th,a,t;DH,AE,T;s; AE
m,a,n;M,AE,N;s; AE
g,oe,s;G,OW,Z;s; 
u,p;AH,P;s; 
a,n,d;AH,N,D;s; 
d,o,w,n;D,ǝ,UH,N;s; UH
i,n;IH,N;s; IH
f,r,o,m;F,R,AH,M;s; 
t,o;T,UW;s; UW
th,i,r,t,ee,n;TH,ɐ,R,T,IY,N;s; IY
th,i,s;DH,IH,S;s; IH
s,p,i,r,i,t;S,P,IH,R,AH,T;s; IH
i,n;IH,N;s; IH
n,o,r;N,AO,R;s; AO
th,ou;DH,AW;s; 
a,l,t,o,g,e,th,e,r;AA,L,T,ǝ,G,e,DH,ǝ,R;s; AA
a;AH;s; 
m,a,n;M,AE,N;s; AE
a,s;AE,Z;s; AE
a,s;AE,Z;s; AE
i;AY;s; AY
s,o;S,OW;s; 
w,i,t;W,IH,T;s; IH
th,ou;DH,AW;s; 
i;AY;s; AY
d,o;D,OW;s; 
n,o,t;N,AA,T;s; AA
e,l,d,e,r;e,L,D,ǝ,R;s; 
a,n,d;AH,N,D;s; 
w,o,m,a,n;W,UH,M,AH,N;s; UH
s,o,m,e,t,me;S,AH,M,T,AY,M;s; AY
th,e;DH,AH;s; 
