o,'OW', s, 
a,'AH', s, 
lord,'L AO R D', s, AO
a,'AH', s, 
most,'M OW S T', s, 
man,'M AE N', s, AE
as,'AE Z', s, AE
it,'IH T', s, IH
wre,'W ER', s, 
to,'T UW', s, UW
an,'AE N', s, AE
and,'AH N D', s, 
goodness,'G UH D N AH S', s, UH
he,'HH IY', s, IY
passes,'P AE S AH Z', s, AE
o,'OW', s, 
see,'S IY', s, IY
for,'F AO R', s, AO
the,'DH AH', s, 
lord,'L AO R D', s, AO
a,'AH', s, 
good,'G UH D', s, UH
form,'F AO R M', s, AO
no,'N OW', s, 
my,'M AY', s, AY
good,'G UH D', s, UH
lord,'L AO R D', s, AO
he,'HH IY', s, IY
speaks,'S P IY K S', s, IY
the,'DH AH', s, 
common,'K AA M AH N', s, AA
all,'AA L', s, AA
men,'M EH N', s, 
speak,'S P IY K', s, IY
with,'W IH DH', s, IH
him,'HH IH M', s, IH
if,'IH F', s, IH
traffic,'T R AE F IH K', s, AE IH
do,'D OW', s, 
it,'IH T', s, IH
the,'DH AH', s, 
gods,'G AA D Z', s, AA
do,'D OW', s, 
it,'IH T', s, IH
