by,'B AY', s, AY
your,'Y AO R', s, AO
no,'N OW', s, 
matter,'M AW T ǝ R', s, 
what,'W AH T', s, 
poor,'P UH R', s, UH
and,'AH N D', s, 
who,'HH UW', s, UW
can,'K AE N', s, AE
speak,'S P IY K', s, IY
than,'DH AE N', s, AE
he,'HH IY', s, IY
that,'DH AE T', s, AE
no,'N OW', s, 
to,'T UW', s, UW
put,'P UH T', s, UH
his,'HH IH Z', s, IH
in,'IH N', s, IH
rail,'r EH L', s, 
against,'AH G EH N S T', s, 
great,'G r e T', s, 
and,'AH N D', s, 
ours,'OW R Z', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
my,'M AY', s, AY
lord,'L AO R D', s, AO
