top,'T AA P',s,'AA'
out,'AW T',s,''
of,'AH V',s,''
shot,'SH AA T',s,'AA'
and,'AH N D',s,''
sits,'S IH T S',s,'IH'
aloft,'AH L AO F T',s,'AO'
of,'AH V',s,''
crack,'K R AE K',s,'AE'
or,'AO R',s,'AO'
flash,'F L AE SH',s,'AE'
reach,'R IY CH',s,'IY'
as,'AE Z',s,'AE'
when,'ʍ e N',s,''
the,'DH AH',s,''
golden,'G OW L D ǝ N',s,''
sun,'S AH N',s,''
the,'DH AH',s,''
morn,'M AO R N',s,'AO'
and,'AH N D',s,''
gilt,'G IH L T',s,'IH'
the,'DH AH',s,''
ocean,'OW SH AH N',s,''
with,'W IH DH',s,'IH'
his,'HH IH Z',s,'IH'
beams,'B IY M Z',s,'IY'
the,'DH AH',s,''
in,'IH N',s,'IH'
his,'HH IH Z',s,'IH'
coach,'K OW CH',s,''
and,'AH N D',s,''
overlooks,'OW V ǝ R L UH K S',s,'UH'
the,'DH AH',s,''
so,'S OW',s,''
upon,'AH P AA N',s,'AA'
wit,'W IH T',s,'IH'
doth,'D AO TH',s,'AO'
wait,'W EH T',s,''
and,'AH N D',s,''
stoops,'S T UW P S',s,'UW'
and,'AH N D',s,''
at,'AE T',s,'AE'
frown,'F r ǝ UH N',s,'UH'
then,'DH EH N',s,''
aaron,'EH R AH N',s,''
arm,'AA R M',s,'AA'
heart,'HH AA R T',s,'AA'
and,'AH N D',s,''
fit,'F IH T',s,'IH'
to,'T UW',s,'UW'
aloft,'AH L AO F T',s,'AO'
with,'W IH DH',s,'IH'
mistress,'M IH S T R AH S',s,'IH'
and,'AH N D',s,''
whom,'HH UW M',s,'UW'
thou,'DH AW',s,''
in,'IH N',s,'IH'
hast,'HH AE S T',s,'AE'
held,'HH EH L D',s,''
in,'IH N',s,'IH'
and,'AH N D',s,''
to,'T UW',s,'UW'
than,'DH AE N',s,'AE'
is,'IH Z',s,'IH'
tied,'T AY D',s,'AY'
to,'T UW',s,'UW'
caucasus,'K AO K AH S AH S',s,'AO'
with,'W IH DH',s,'IH'
slavish,'S L EY V IH SH',s,'EY IH'
weeds,'W IY D Z',s,'IY'
and,'AH N D',s,''
i,'AY',s,'AY'
will,'W IH L',s,'IH'
be,'B IY',s,'IY'
and,'AH N D',s,''
in,'IH N',s,'IH'
pearl,'P ɐ R L',s,''
and,'AH N D',s,''
gold,'G OW L D',s,''
to,'T UW',s,'UW'
wait,'W EH T',s,''
upon,'AH P AA N',s,'AA'
this,'DH IH S',s,'IH'
to,'T UW',s,'UW'
wait,'W EH T',s,''
said,'S EH D',s,''
i,'AY',s,'AY'
to,'T UW',s,'UW'
wanton,'W AA N T ǝ N',s,'AA'
with,'W IH DH',s,'IH'
this,'DH IH S',s,'IH'
this,'DH IH S',s,'IH'
goddess,'G ɒ D e S',s,''
this,'DH IH S',s,'IH'
this,'DH IH S',s,'IH'
this,'DH IH S',s,'IH'
siren,'S AY R AH N',s,'AY'
that,'DH AE T',s,'AE'
will,'W IH L',s,'IH'
and,'AH N D',s,''
see,'S IY',s,'IY'
his,'HH IH Z',s,'IH'
and,'AH N D',s,''
his,'HH IH Z',s,'IH'
what,'W AH T',s,''
storm,'S T AO R M',s,'AO'
is,'IH Z',s,'IH'
this,'DH IH S',s,'IH'
clubs,'K L ɤ B Z',s,''
clubs,'K L ɤ B Z',s,''
will,'W IH L',s,'IH'
not,'N AA T',s,'AA'
keep,'K IY P',s,'IY'
the,'DH AH',s,''
whhy,'ʍ ǝ IH',s,'IH'
lords,'L AO R D Z',s,'AO'
so,'S OW',s,''
near,'N IY R',s,'IY'
the,'DH AH',s,''
you,'Y UW',s,'UW'
and,'AH N D',s,''
maintain,'M EY N T EY N',s,'EY EY'
a,'AH',s,''
full,'F UH L',s,'UH'
well,'W EH L',s,''
i,'AY',s,'AY'
the,'DH AH',s,''
of,'AH V',s,''
all,'AA L',s,'AA'
this,'DH IH S',s,'IH'
i,'AY',s,'AY'
not,'N AA T',s,'AA'
for,'F AO R',s,'AO'
a,'AH',s,''
of,'AH V',s,''
gold,'G OW L D',s,''
the,'DH AH',s,''
wre,'W ER',s,''
to,'T UW',s,'UW'
them,'DH EH M',s,''
it,'IH T',s,'IH'
most,'M OW S T',s,''
nor,'N AO R',s,'AO'
your,'Y AO R',s,'AO'
for,'F AO R',s,'AO'
be,'B IY',s,'IY'
so,'S OW',s,''
in,'IH N',s,'IH'
the,'DH AH',s,''
court,'K AO R T',s,'AO'
of,'AH V',s,''
for,'F AO R',s,'AO'
put,'P UH T',s,'UH'
up,'AH P',s,''
i,'AY',s,'AY'
by,'B AY',s,'AY'
the,'DH AH',s,''
gods,'G AA D Z',s,'AA'
that,'DH AE T',s,'AE'
this,'DH IH S',s,'IH'
will,'W IH L',s,'IH'
undo,'AH N D UW',s,'UW'
us,'AH S',s,''
all,'AA L',s,'AA'
whhy,'ʍ ǝ IH',s,'IH'
lords,'L AO R D Z',s,'AO'
and,'AH N D',s,''
think,'TH IH NG K',s,'IH'
you,'Y UW',s,'UW'
not,'N AA T',s,'AA'
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
to,'T UW',s,'UW'
jet,'JH EH T',s,''
upon,'AH P AA N',s,'AA'
a,'AH',s,''
what,'W AH T',s,''
is,'IH Z',s,'IH'
then,'DH EH N',s,''
so,'S OW',s,''
or,'AO R',s,'AO'
so,'S OW',s,''
degenerte,'D IH JH EH N ER AH T',s,'IH'
that,'DH AE T',s,'AE'
for,'F AO R',s,'AO'
be,'B IY',s,'IY'
or,'AO R',s,'AO'
lords,'L AO R D Z',s,'AO'
and,'AH N D',s,''
the,'DH AH',s,''
empress,'EH M P R EH S',s,''
this,'DH IH S',s,'IH'
the,'DH AH',s,''
not,'N AA T',s,'AA'
whhy,'ʍ ǝ IH',s,'IH'
you,'Y UW',s,'UW'
mad,'M AE D',s,'AE'
or,'AO R',s,'AO'
you,'Y UW',s,'UW'
not,'N AA T',s,'AA'
in,'IH N',s,'IH'
and,'AH N D',s,''
be,'B IY',s,'IY'
and,'AH N D',s,''
cannot,'K AE N AA T',s,'AE AA'
brook,'B R UH K',s,'UH'
in,'IH N',s,'IH'
i,'AY',s,'AY'
tell,'T EH L',s,''
you,'Y UW',s,'UW'
lords,'L AO R D Z',s,'AO'
you,'Y UW',s,'UW'
do,'D OW',s,''
but,'B AH T',s,''
plot,'P L AA T',s,'AA'
your,'Y AO R',s,'AO'
by,'B AY',s,'AY'
this,'DH IH S',s,'IH'
to,'T UW',s,'UW'
and,'AH N D',s,''
as,'AE Z',s,'AE'
good,'G UH D',s,'UH'
as,'AE Z',s,'AE'
whhy,'ʍ ǝ IH',s,'IH'
then,'DH EH N',s,''
it,'IH T',s,'IH'
seems,'S IY M Z',s,'IY'
certain,'S ɐ R T ǝ N',s,''
or,'AO R',s,'AO'
so,'S OW',s,''
seve,'S ER V',s,''
your,'Y AO R',s,'AO'
turns,'T ɐ R N Z',s,''
you,'Y UW',s,'UW'
had,'HH AE D',s,'AE'
it,'IH T',s,'IH'
too,'T UW',s,'UW'
then,'DH EH N',s,''
not,'N AA T',s,'AA'
we,'W IY',s,'IY'
be,'B IY',s,'IY'
tired,'T ǝ IH R D',s,'IH'
with,'W IH DH',s,'IH'
this,'DH IH S',s,'IH'
ado,'AH D UW',s,'UW'
whhy,'ʍ ǝ IH',s,'IH'
you,'Y UW',s,'UW'
you,'Y UW',s,'UW'
and,'AH N D',s,''
you,'Y UW',s,'UW'
fools,'F UW L Z',s,'UW'
to,'T UW',s,'UW'
for,'F AO R',s,'AO'
this,'DH IH S',s,'IH'
it,'IH T',s,'IH'
offend,'AH F EH N D',s,''
you,'Y UW',s,'UW'
then,'DH EH N',s,''
that,'DH AE T',s,'AE'
both,'B OW TH',s,''
speed,'S P IY D',s,'IY'
for,'F AO R',s,'AO'
be,'B IY',s,'IY'
friends,'F R EH N D Z',s,''
and,'AH N D',s,''
join,'JH OY N',s,''
for,'F AO R',s,'AO'
that,'DH AE T',s,'AE'
you,'Y UW',s,'UW'
and,'AH N D',s,''
stratagem,'S T R AE T AH JH AH M',s,'AE'
must,'M AH S T',s,''
do,'D OW',s,''
that,'DH AE T',s,'AE'
you,'Y UW',s,'UW'
affect,'ǝ F e K T',s,''
and,'AH N D',s,''
so,'S OW',s,''
must,'M AH S T',s,''
you,'Y UW',s,'UW'
that,'DH AE T',s,'AE'
what,'W AH T',s,''
you,'Y UW',s,'UW'
cannot,'K AE N AA T',s,'AE AA'
as,'AE Z',s,'AE'
you,'Y UW',s,'UW'
you,'Y UW',s,'UW'
must,'M AH S T',s,''
perfoce,'P ER F AO R S',s,'AO'
accomplish,'AH K AA M P L IH SH',s,'AA IH'
as,'AE Z',s,'AE'
you,'Y UW',s,'UW'
this,'DH IH S',s,'IH'
of,'AH V',s,''
me,'M IY',s,'IY'
was,'W AA Z',s,'AA'
not,'N AA T',s,'AA'
than,'DH AE N',s,'AE'
this,'DH IH S',s,'IH'
a,'AH',s,''
than,'DH AE N',s,'AE'
must,'M AH S T',s,''
we,'W IY',s,'IY'
and,'AH N D',s,''
i,'AY',s,'AY'
the,'DH AH',s,''
path,'P AW TH',s,''
my,'M AY',s,'AY'
lords,'L AO R D Z',s,'AO'
a,'AH',s,''
is,'IH Z',s,'IH'
in,'IH N',s,'IH'
will,'W IH L',s,'IH'
the,'DH AH',s,''
lovely,'L ɤ V L ǝ IH',s,'IH'
roman,'r OW M ǝ N',s,''
ladies,'L EY D IY Z',s,'EY IY'
troop,'T R UW P',s,'UW'
the,'DH AH',s,''
forest,'F AO R AH S T',s,'AO'
and,'AH N D',s,''
and,'AH N D',s,''
plots,'P L AA T S',s,'AA'
fitted,'F IH T AH D',s,'IH'
by,'B AY',s,'AY'
for,'F AO R',s,'AO'
and,'AH N D',s,''
you,'Y UW',s,'UW'
then,'DH EH N',s,''
this,'DH IH S',s,'IH'
doe,'D OW',s,''
and,'AH N D',s,''
hme,'OW M',s,''
by,'B AY',s,'AY'
if,'IH F',s,'IH'
not,'N AA T',s,'AA'
by,'B AY',s,'AY'
this,'DH IH S',s,'IH'
or,'AO R',s,'AO'
not,'N AA T',s,'AA'
at,'AE T',s,'AE'
all,'AA L',s,'AA'
stand,'S T AE N D',s,'AE'
you,'Y UW',s,'UW'
in,'IH N',s,'IH'
our,'OW R',s,''
empress,'EH M P R EH S',s,''
with,'W IH DH',s,'IH'
sacred,'S EY K R AH D',s,'EY'
wit,'W IH T',s,'IH'
to,'T UW',s,'UW'
and,'AH N D',s,''
will,'W IH L',s,'IH'
we,'W IY',s,'IY'
acquaint,'AH K W EY N T',s,'EY'
withal,'W IH DH AA L',s,'IH AA'
what,'W AH T',s,''
we,'W IY',s,'IY'
intend,'IH N T EH N D',s,'IH'
and,'AH N D',s,''
she,'SH IY',s,'IY'
shall,'SH AE L',s,'AE'
our,'OW R',s,''
with,'W IH DH',s,'IH'
that,'DH AE T',s,'AE'
will,'W IH L',s,'IH'
not,'N AA T',s,'AA'
suffer,'S ɤ F ǝ R',s,''
you,'Y UW',s,'UW'
to,'T UW',s,'UW'
but,'B AH T',s,''
to,'T UW',s,'UW'
your,'Y AO R',s,'AO'
you,'Y UW',s,'UW'
both,'B OW TH',s,''
the,'DH AH',s,''
court,'K AO R T',s,'AO'
is,'IH Z',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
the,'DH AH',s,''
full,'F UH L',s,'UH'
of,'AH V',s,''
of,'AH V',s,''
and,'AH N D',s,''
ears,'IY R Z',s,'IY'
the,'DH AH',s,''
woods,'W UH D Z',s,'UH'
dreadful,'D R EH D F AH L',s,''
deaf,'D EH F',s,''
and,'AH N D',s,''
dull,'D ɤ L',s,''
speak,'S P IY K',s,'IY'
and,'AH N D',s,''
and,'AH N D',s,''
your,'Y AO R',s,'AO'
turns,'T ɐ R N Z',s,''
seve,'S ER V',s,''
your,'Y AO R',s,'AO'
lust,'L AH S T',s,''
from,'F R AH M',s,''
and,'AH N D',s,''
revel,'R EH V AH L',s,''
in,'IH N',s,'IH'
he,'HH IY',s,'IY'
that,'DH AE T',s,'AE'
had,'HH AE D',s,'AE'
wit,'W IH T',s,'IH'
think,'TH IH NG K',s,'IH'
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
had,'HH AE D',s,'AE'
to,'T UW',s,'UW'
so,'S OW',s,''
gold,'G OW L D',s,''
under,'ɤ N D ǝ R',s,''
a,'AH',s,''
tree,'T R IY',s,'IY'
and,'AH N D',s,''
never,'N e V ǝ R',s,''
after,'AW F T ǝ R',s,''
to,'T UW',s,'UW'
inherit,'IH N HH EH R AH T',s,'IH'
it,'IH T',s,'IH'
let,'L EH T',s,''
him,'HH IH M',s,'IH'
that,'DH AE T',s,'AE'
thinks,'TH IH NG K S',s,'IH'
of,'AH V',s,''
me,'M IY',s,'IY'
so,'S OW',s,''
that,'DH AE T',s,'AE'
this,'DH IH S',s,'IH'
gold,'G OW L D',s,''
must,'M AH S T',s,''
a,'AH',s,''
stratagem,'S T R AE T AH JH AH M',s,'AE'
effected,'IH F EH K T AH D',s,'IH'
will,'W IH L',s,'IH'
beget,'B IH G EH T',s,'IH'
a,'AH',s,''
very,'V EH R IY',s,'IY'
of,'AH V',s,''
and,'AH N D',s,''
so,'S OW',s,''
sweet,'S W IY T',s,'IY'
gold,'G OW L D',s,''
for,'F AO R',s,'AO'
their,'DH EH R',s,''
unrest,'ɤ N r e S T',s,''
that,'DH AE T',s,'AE'
their,'DH EH R',s,''
alms,'AA L M Z',s,'AA'
out,'AW T',s,''
of,'AH V',s,''
the,'DH AH',s,''
chest,'CH EH S T',s,''
madam,'M AE D AH M',s,'AE'
venus,'V IY N AH S',s,'IY'
govern,'G ɤ V ǝ R N',s,''
your,'Y AO R',s,'AO'
desires,'D IH Z ǝ IH R Z',s,'IH IH'
saturn,'S AW T ǝ R N',s,''
is,'IH Z',s,'IH'
over,'OW V ǝ R',s,''
what,'W AH T',s,''
signifies,'S IH G N AH F AY Z',s,'IH AY'
my,'M AY',s,'AY'
deadly,'D EH D L IY',s,'IY'
my,'M AY',s,'AY'
and,'AH N D',s,''
my,'M AY',s,'AY'
my,'M AY',s,'AY'
of,'AH V',s,''
woollly,'W UH L ǝ IH',s,'UH IH'
hair,'HH EH R',s,''
that,'DH AE T',s,'AE'
even,'IY V IH N',s,'IY IH'
as,'AE Z',s,'AE'
an,'AE N',s,'AE'
when,'ʍ e N',s,''
she,'SH IY',s,'IY'
doth,'D AO TH',s,'AO'
to,'T UW',s,'UW'
do,'D OW',s,''
fatal,'F EY T AH L',s,'EY'
no,'N OW',s,''
madam,'M AE D AH M',s,'AE'
no,'N OW',s,''
signs,'S ǝ IH N Z',s,'IH'
is,'IH Z',s,'IH'
in,'IH N',s,'IH'
my,'M AY',s,'AY'
heart,'HH AA R T',s,'AA'
death,'D EH TH',s,''
in,'IH N',s,'IH'
my,'M AY',s,'AY'
blood,'B L AH D',s,''
and,'AH N D',s,''
in,'IH N',s,'IH'
my,'M AY',s,'AY'
the,'DH AH',s,''
empress,'EH M P R EH S',s,''
of,'AH V',s,''
my,'M AY',s,'AY'
soul,'S OW L',s,''
never,'N e V ǝ R',s,''
heaven,'HH EH V AH N',s,''
than,'DH AE N',s,'AE'
rests,'R EH S T S',s,''
in,'IH N',s,'IH'
thee,'DH IY',s,'IY'
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
doom,'D ɤ M',s,''
for,'F AO R',s,'AO'
his,'HH IH Z',s,'IH'
must,'M AH S T',s,''
sons,'S AH N Z',s,''
of,'AH V',s,''
chastity,'CH AE S T AH T IY',s,'AE IY'
and,'AH N D',s,''
wash,'W AA SH',s,'AA'
their,'DH EH R',s,''
in,'IH N',s,'IH'
blood,'B L AH D',s,''
thou,'DH AW',s,''
this,'DH IH S',s,'IH'
it,'IH T',s,'IH'
up,'AH P',s,''
i,'AY',s,'AY'
thee,'DH IY',s,'IY'
and,'AH N D',s,''
the,'DH AH',s,''
this,'DH IH S',s,'IH'
sccroll,'S K R OW L',s,''
me,'M IY',s,'IY'
no,'N OW',s,''
we,'W IY',s,'IY'
a,'AH',s,''
parcel,'P AA R S ǝ L',s,'AA'
of,'AH V',s,''
our,'OW R',s,''
dreads,'D R EH D Z',s,''
not,'N AA T',s,'AA'
yet,'Y EH T',s,''
their,'DH EH R',s,''
destruction,'D IH S T R AH K SH AH N',s,'IH'
no,'N OW',s,''
great,'G r e T',s,''
empress,'EH M P R EH S',s,''
be,'B IY',s,'IY'
cross,'K R AO S',s,'AO'
with,'W IH DH',s,'IH'
him,'HH IH M',s,'IH'
and,'AH N D',s,''
go,'G OW',s,''
sons,'S AH N Z',s,''
to,'T UW',s,'UW'
back,'B AE K',s,'AE'
be,'B IY',s,'IY'
on,'AA N',s,'AA'
my,'M AY',s,'AY'
lords,'L AO R D Z',s,'AO'
the,'DH AH',s,''
better,'B e T ə R',s,''
foot,'F UH T',s,'UH'
will,'W IH L',s,'IH'
i,'AY',s,'AY'
you,'Y UW',s,'UW'
to,'T UW',s,'UW'
the,'DH AH',s,''
loathhsme,'L OW DH S AH M',s,''
pit,'P IH T',s,'IH'
i,'AY',s,'AY'
the,'DH AH',s,''
